Group,Name,Points,Description,Reward
Defeat Enemies,To Crush Your Enemies I,5,Defeat 100 enemies.
Defeat Enemies,To Crush Your Enemies II,5,Defeat 500 enemies.
Defeat Enemies,To Crush Your Enemies III,10,Defeat 1000 enemies.
Defeat Enemies,To Crush Your Enemies IV,10,Defeat 5000 enemies.
Defeat Enemies,To Crush Your Enemies V,10,Defeat 10000 enemies.
Defeat Enemies,To Crush Your Enemies VI,10,Defeat 50000 enemies.,Title: The Exterminator
Defeat Enemies,Let the Bodies Hit the Floor,30,Defeat 100000 enemies.
Defeat Enemies,To Crush Your Enemies VII,30,Defeat 200000 enemies.
Resurrection,The Kindness of Strangers,5,Resurrect a player who is not in your party or alliance. ,
Resurrection,The Kindness of Strangers II,10,Resurrect a player who is not in your party or alliance 20 times.
Resurrection,The Kindness of Strangers III,10,Resurrect a player who is not in your party or alliance 50 times.
Resurrection,The Kindness of Strangers IV,10,Resurrect a player who is not in your party or alliance 100 times.
Resurrection,The Kindness of Strangers V,10,Resurrect a player who is not in your party or alliance 200 times.,Title: Good Samaritan 
Paladin,A Tankless Job I (Paladin),5,Complete 50 high-level full party duties as a paladin.,Title: The Meat Shield 
Paladin,A Tankless Job II (Paladin),10,Complete 100 high-level full party duties as a paladin.,Title: Of the Stalwart Shield 
Paladin,But Somebody's Gotta Do It (Paladin),20,Complete 200 high-level full party duties as a paladin.,Mount: Warlion 
Paladin,"Tank You, Paladin I",5,"Complete 50 dungeons (lv. 61 and above), extreme trials (lv. 61 and above). level 50/60 duty roulette dungeons, or duty roulette duties as a paladin. *Each roulette only counts with daily award bonus." 
Paladin,"Tank You, Paladin II",10,"Complete 100 dungeons (lv. 61 and above), extreme trials (lv. 61 and above). level 50/60 duty roulette dungeons, or duty roulette duties as a paladin. *Each roulette only counts with daily award bonus." 
Paladin,"Tank You, Paladin III",20,"Complete 300 dungeons (lv. 61 and above), extreme trials (lv. 61 and above). level 50/60 duty roulette dungeons, or duty roulette duties as a paladin. *Each roulette only counts with daily award bonus.",Mount: Battle Lion
Paladin,"Tank You, Paladin IV",20,"Complete 500 dungeons (lv. 61 and above), extreme trials (lv. 61 and above). level 50/60 duty roulette dungeons, or duty roulette duties as a paladin. *Each roulette only counts with daily award bonus.",Title: Of Unyielding Oath  
Warrior,A Tankless Job I (Warrior),5,Complete 50 high-level full party duties as a warrior.,Title: The Meat Axe 
Warrior,A Tankless Job II (Warrior),10,Complete 100 high-level full party duties as a warrior.,Title: Of the Stalwart Axe 
Warrior,But Somebody's Gotta Do It (Warrior),20,Complete 200 high-level full party duties as a warrior.,Mount: Warbear
Warrior,"Tank You, Warrior I",5,"Complete 50 dungeons (lv. 61 and above), extreme trials (lv. 61 and above). level 50/60 duty roulette dungeons, or duty roulette duties as a warrior. *Each roulette only counts with daily award bonus." 
Warrior,"Tank You, Warrior II",10,"Complete 100 dungeons (lv. 61 and above), extreme trials (lv. 61 and above). level 50/60 duty roulette dungeons, or duty roulette duties as a warrior. *Each roulette only counts with daily award bonus." 
Warrior,"Tank You, Warrior III",20,"Complete 300 dungeons (lv. 61 and above), extreme trials (lv. 61 and above). level 50/60 duty roulette dungeons, or duty roulette duties as a warrior. *Each roulette only counts with daily award bonus.",Mount: Battle Bear
