Group,Name,Points,Description,Reward
Dungeons,Mapping the Realm: Sastasha,10,Discover every location within Sastasha.
Dungeons,Mapping the Realm: Brayflox's Longstop,10,Discover every location within Brayflox's Longstop.
Dungeons,Mapping the Realm: The Wanderer's Palace,10,Discover every location within the Wanderer's Palace.
Dungeons,Mapping the Realm: Copperbell Mines,10,Discover every location within Copperbell Mines.
Dungeons,Mapping the Realm: Halatali,10,Discover every location within Halatali.
Dungeons,Mapping the Realm: Sunken Temple of Qarn,10,Discover every location within the Sunken Temple of Qarn.
Dungeons,Mapping the Realm: Tam-Tara Deepcroft,10,Discover every location within the Tam-Tara Deepcroft.
Dungeons,Mapping the Realm: Haukke Manor,10,Discover every location within Haukke Manor.
Dungeons,Mapping the Realm: Amdapor Keep,10,Discover every location within Amdapor Keep.
Dungeons,Mapping the Realm: Stone Vigil,10,Discover every location within the Stone Vigil.
Dungeons,Mapping the Realm: Thousand Maws of Toto-Rak,10,Discover every location within the Thousand Maws of Toto-Rak.
Dungeons,Mapping the Realm: Cutter's Cry,10,Discover every location within Cutter's Cry.
Dungeons,Mapping the Realm: Dzemael Darkhold,10,Discover every location within Dzemael Darkhold.
Dungeons,Mapping the Realm: Aurum Vale,10,Discover every location within the Aurum Vale.
Dungeons,Mapping the Realm: Castrum Meridianum,10,Discover every location within Castrum Meridianum.
Dungeons,Mapping the Realm: Praetorium,10,Discover every location within the Praetorium.
The Binding Coil of Bahamut,Mapping the Realm: The Binding Coil of Bahamut I,10,Discover every location within the first turn of the Binding Coil of Bahamut.
The Binding Coil of Bahamut,Mapping the Realm: The Binding Coil of Bahamut II,10,Discover every location within the second turn of the Binding Coil of Bahamut.
The Binding Coil of Bahamut,Mapping the Realm: The Binding Coil of Bahamut III,10,Discover every location within the third turn of the Binding Coil of Bahamut.
The Binding Coil of Bahamut,Mapping the Realm: The Binding Coil of Bahamut V,10,Discover every location within the fifth turn of the Binding Coil of Bahamut.
Dungeons,Remapping the Realm: Copperbell Mines,10,Discover every location within Copperbell Mines (Hard).
Dungeons,Remapping the Realm: Haukke Manor,10,Discover every location within Haukke Manor (Hard).
Dungeons,Mapping the Realm: Pharos Sirius,10,Discover every location within Pharos Sirius.
Crystal Tower,Mapping the Realm: Labyrinth of the Ancients,10,Discover every location in the Labyrinth of the Ancients.
The Second Coil of Bahamut,Mapping the Realm: The Second Coil of Bahamut I,10,Discover every location within the first turn of the Second Coil of Bahamut.
The Second Coil of Bahamut,Mapping the Realm: The Second Coil of Bahamut II,10,Discover every location within the second turn of the Second Coil of Bahamut.
The Second Coil of Bahamut,Mapping the Realm: The Second Coil of Bahamut III,10,Discover every location within the third turn of the Second Coil of Bahamut.
Dungeons,Remapping the Realm: Halatali,10,Discover every location within Halatali (Hard).
Dungeons,Remapping the Realm: Brayflox's Longstop,10,Discover every location within Brayflox's Longstop (Hard).
Dungeons,Mapping the Realm: The Lost City of Amdapor,10,Discover every location within the Lost City of Amdapor.
Dungeons,Remapping the Realm: Tam-Tara Deepcroft,10,Discover every location in the Tam-Tara Deepcroft (Hard).
Dungeons,Remapping the Realm: Stone Vigil,10,Discover every location in the Stone Vigil (Hard).
Dungeons,Mapping the Realm: Hullbreaker Isle,10,Discover every location on Hullbreaker Isle.
Crystal Tower,Mapping the Realm: Syrcus Tower,10,Discover every location in Syrcus Tower.
Dungeons,Remapping the Realm: Sunken Temple of Qarn,10,Discover every location within the Sunken Temple of Qarn (Hard).
Dungeons,Remapping the Realm: Sastasha,10,Discover every location within Sastasha (Hard).
Dungeons,Mapping the Realm: Snowcloak,10,Discover every location within Snowcloak.
The Final Coil of Bahamut,Mapping the Realm: The Final Coil of Bahamut I,10,Discover every location within the first turn of the Final Coil of Bahamut.
The Final Coil of Bahamut,Mapping the Realm: The Final Coil of Bahamut II,10,Discover every location within the second turn of the Final Coil of Bahamut.
Crystal Tower,Mapping the Realm: The World of Darkness,10,Discover every location within the World of Darkness.
Dungeons,Remapping the Realm: Amdapor Keep,10,Discover every location within Amdapor Keep (Hard).
Dungeons,Remapping the Realm: The Wanderer's Palace,10,Discover every location within the Wanderer's Palace (Hard).
Dungeons,Mapping the Realm: The Keeper of the Lake,10,Discover every location within the fallen Agrius.
Dungeons,Mapping the Realm: Dusk Vigil,10,Discover every location in the Dusk Vigil.
Dungeons,Mapping the Realm: Sohm Al,10,Discover every location within Sohm Al.
Dungeons,Mapping the Realm: The Aery,10,Discover every location in the Aery.
Dungeons,Mapping the Realm: The Vault,10,Discover every location within the Vault.
Dungeons,Mapping the Realm: Great Gubal Library,10,Discover every location in the Great Gubal Library.
Dungeons,Mapping the Realm: Aetherochemical Research Facility,10,Discover every location in the Aetherochemical Research Facility.
Dungeons,Mapping the Realm: Neverreap,10,Discover every location on Neverreap.
Dungeons,Mapping the Realm: Fractal Continuum,10,Discover every location in the Fractal Continuum.
Alexander,Mapping the Realm: Gordias I,10,Discover every location within Alexander: Gordias - the Fist of the Father.
Alexander,Mapping the Realm: Gordias II,10,Discover every location within Alexander: Gordias - the Cuff of the Father.
Alexander,Mapping the Realm: Gordias III,10,Discover every location within Alexander: Gordias - the Arm of the Father.
Shadow of Mhach,Mapping the Realm: The Void Ark,10,Discover every location on the Void Ark.
Location Discovery,Mapping the Realm: Saint Mocianne's Arboretum,10,Discover every location within Saint Mocianne's Arboretum.
Location Discovery,Remapping the Realm: Pharos Sirius,10,Discover every location within Pharos Sirius (Hard).
Location Discovery,Mapping the Realm: The Diadem,10,Discover every location in the Diadem.
Diadem,Foot in the Clouds I,5,Receive an evaluation of 200 or better on an exploratory mission to the Diadem.
Diadem,Foot in the Clouds II,10,Receive an evaluation of 200 or better on a total of 10 exploratory missions to the Diadem.
Diadem,Foot in the Clouds III,20,Receive an evaluation of 200 or better on a total of 100 exploratory missions to the Diadem.
Diadem,Hand in the Clouds I,5,Receive an evaluation of 400 or better on an exploratory mission to the Diadem.
Diadem,Hand in the Clouds II,10,Receive an evaluation of 400 or better on a total of 10 exploratory missions to the Diadem.
Diadem,Hand in the Clouds III,20,Receive an evaluation of 400 or better on a total of 10 exploratory missions to the Diadem.
Diadem,Head in the Clouds I,5,Receive an evaluation of 600 or better on an exploratory mission to the Diadem.
Diadem,Head in the Clouds II,10,Receive an evaluation of 600 or better on a total of 10 exploratory missions to the Diadem.
Diadem,Head in the Clouds III,20,Receive an evaluation of 600 or better on a total of 10 exploratory missions to the Diadem.
Diadem,Crown of Thorns I,5,Slay a notorious monster on an exploratory mission to the Diadem of any difficulty.
Diadem,Crown of Thorns II,5,Slay a total of 5 notorious monsters on exploratory missions to the Diadem of any difficulty.
Diadem,Crown of Thorns III,5,Slay a total of 10 notorious monsters on exploratory missions to the Diadem of any difficulty.
Diadem,Crown of Thorns IV,10,Slay a total of 50 notorious monsters on exploratory missions to the Diadem of any difficulty.
Diadem,Crown of Thorns V,20,Slay a total of 100 notorious monsters on exploratory missions to the Diadem of any difficulty.,Title: Notorious Monster Slayer
Alexander,Mapping the Realm: Midas I,10,Discover every location within Alexander: Midas - the Fist of the Son.
Alexander,Mapping the Realm: Midas II,10,Discover every location within Alexander: Midas - the Cuff of the Son.
Alexander,Mapping the Realm: Midas III,10,Discover every location within Alexander: Midas - the Arm of the Son.
Dungeons,Mapping the Realm: The Antitower,10,Discover every location within the Antitower.
Dungeons,Remapping the Realm: The Lost City of Amdapor,10,Discover every location within the Lost City of Amdapor (Hard).
Dungeons,Mapping the Realm: Sohr Khai,10,Discover every location in Sohr Khai.
Dungeons,Remapping the Realm: Hullbreaker Isle,10,Discover every location on Hullbreaker Isle (Hard).
Shadow of Mhach,Mapping the Realm: The Weeping City of Mhach,10,Discover every location in the Weeping City of Mhach.
Dungeons,Mapping the Realm: Xelphatol,10,Discover every location within Xelphatol.
Dungeons,Remapping the Realm: Great Gubal Library,10,Discover every location within the Great Gubal Library (Hard).
Alexander,Mapping the Realm: Alexander I,10,Discover every location within Alexander - the Eyes of the Creator.
Alexander,Mapping the Realm: Alexander II,10,Discover every location within Alexander - the Breath of the Creator.
Alexander,Mapping the Realm: Alexander III,10,Discover every location within Alexander - the Heart of the Creator.
Dungeons,Mapping the Realm: Baelsar's Wall,10,Discover every location within Baelsar's Wall.
Dungeons,Remapping the Realm: Sohm Al,10,Discover every location within the Sohm Al (Hard).
Shadow of Mhach,Mapping the Realm: Dun Scaith,10,Discover every location within Dun Scaith.
Diadem,Have a Haillenarte I,5,Complete a Haillenarte exploratory operation in the Diadem.
Diadem,Have a Haillenarte II,5,Complete 10 Haillenarte exploratory operations in the Diadem.
Diadem,Have a Haillenarte III,10,Complete 30 Haillenarte exploratory operations in the Diadem.
Diadem,Have a Haillenarte IV,20,Complete 100 Haillenarte exploratory operations in the Diadem.
Diadem,Crowning Achievement I,5,Successfully complete 30 FATEs in the Diadem.
Diadem,Crowning Achievement II,5,Successfully complete 100 FATEs in the Diadem.
Diadem,Crowning Achievement III,10,Successfully complete 300 FATEs in the Diadem.
Diadem,Gem and the Hallowed Lands,10,Successfully complete a Haillenarte exploratory operation on the Missing Gem.
Dungeons,Mapping the Realm: The Ship Graveyard,10,Discover every location within the Ship Graveyard.
Dungeons,Mapping the Realm: Shisui of the Violet Tides,10,Discover every location within Shisui of the Violet Tide.
Dungeons,Mapping the Realm: Bardam's Mettle,10,Discover every location within Bardam's Mettle.
Dungeons,Mapping the Realm: Doma Castle,10,Discover every location within Doma Castle.
Dungeons,Mapping the Realm: Castrum Abania,10,Discover every location within Castrum Abania.
Dungeons,Mapping the Realm: Ala Mhigo,10,Discover every location within Ala Mhigo.
Dungeons,Mapping the Realm: Kugane Castle,10,Discover every location within Kugane Castle.
Dungeons,Mapping the Realm: The Temple of the Fist,10,Discover every location within the Temple of the Fist.
Dungeons,Mapping the Realm: Skalla,10,Discover every location within the Drowned City of Skalla.
Ivalice,Mapping the Realm: Rabanastre,10,Discover every location within the Royal City of Rabanastre.
Dungeons,Mapping the Realm: Hells' Lid,10,Discover every location within Hells' Lid.
Dungeons,Remapping the Realm: Fractal Continuum,10,Discover every location within the Fractal Continuum (Hard).
Eureka Anemos,Making the Most of Anemos,10,"Complete all the scenario quests within the Forbidden Land, Eureka Anemos."
Eureka Anemos,Mapping the Realm: Eureka Anemos,10,"Discover every location within the Forbidden Land, Eureka Anemos."
Dungeons,Mapping the Realm: The Swallow's Compass,10,Discover every location within the Swallow's Compass.
