Group,Name,Points,Description,Reward
Battlecraft,All the More Region to Leve I,5,Complete 10 regional battlecraft levequests.
Battlecraft,All the More Region to Leve II,5,Complete 20 regional battlecraft levequests.
Battlecraft,All the More Region to Leve III,5,Complete 50 regional battlecraft levequests.
Battlecraft,All the More Region to Leve IV,5,Complete 100 regional battlecraft levequests.
Battlecraft,All the More Region to Leve V,5,Complete 200 regional battlecraft levequests.
Battlecraft,All the More Region to Leve VI,10,Complete 500 regional battlecraft levequests.,Title: Lord/Lady Protector
Battlecraft,Region d'Etre,20,"Complete 1,000 regional battlecraft levequests."
Battlecraft,All the More Region to Leve VII,20,"Complete 5,000 regional battlecraft levequests."
Tradecraft,"Think Global, Quest Local I",5,Complete 10 local tradecraft levequests.
Tradecraft,"Think Global, Quest Local II",5,Complete 20 local tradecraft levequests.
Tradecraft,"Think Global, Quest Local III",5,Complete 50 local tradecraft levequests.
Tradecraft,"Think Global, Quest Local IV",5,Complete 100 local tradecraft levequests.
Tradecraft,"Think Global, Quest Local V",5,Complete 200 local tradecraft levequests.
Tradecraft,"Think Global, Quest Local VI",10,Complete 500 local tradecraft levequests.,Title: Lord/Lady Creator
Tradecraft,Lost in Localization,20,"Complete 1,000 local tradecraft levequests."
Tradecraft,"Think Global, Quest Local VII",20,"Complete 5,000 local tradecraft levequests."
Fieldcraft,In the Outfield I,5,Complete 10 fieldcraft levequests.
Fieldcraft,In the Outfield II,5,Complete 20 fieldcraft levequests.
Fieldcraft,In the Outfield III,5,Complete 50 fieldcraft levequests.
Fieldcraft,In the Outfield IV,5,Complete 100 fieldcraft levequests.
Fieldcraft,In the Outfield V,5,Complete 200 fieldcraft levequests.
Fieldcraft,In the Outfield VI,10,Complete 500 fieldcraft levequests.,Title: The Reaper
Fieldcraft,Field of Dreams,20,"Complete 1,000 fieldcraft levequests."
Fieldcraft,In the Outfield VII,20,"Complete 5,000 fieldcraft levequests."
Battlecraft,Uphill Battle I,5,Complete 10 unique battlecraft levequests.
Battlecraft,Uphill Battle II,5,Complete 50 unique battlecraft levequests.
Battlecraft,Uphill Battle III,10,Complete 100 unique battlecraft levequests.
Battlecraft,Uphill Battle IV,10,Complete 150 unique battlecraft levequests.
Carpenter,With Saw in Hand I,5,Complete 5 unique carpenter levequests.
Carpenter,With Saw in Hand II,5,Complete 20 unique carpenter levequests.
Carpenter,With Saw in Hand III,10,Complete 40 unique carpenter levequests.
Carpenter,With Saw in Hand IV,10,Complete 80 unique carpenter levequests.
Carpenter,With Saw in Hand V,10,Complete 100 unique carpenter levequests.
Carpenter,With Saw in Hand VI,10,Complete 110 unique carpenter levequests.
Blacksmith,With Hammer in Hand I,5,Complete 5 unique blacksmith levequests.
Blacksmith,With Hammer in Hand II,5,Complete 20 unique blacksmith levequests.
Blacksmith,With Hammer in Hand III,10,Complete 40 unique blacksmith levequests.
Blacksmith,With Hammer in Hand IV,10,Complete 80 unique blacksmith levequests.
Blacksmith,With Hammer in Hand V,10,Complete 100 unique blacksmith levequests.
Blacksmith,With Hammer in Hand VI,10,Complete 110 unique blacksmith levequests.
Armorer,With Steel in Hand I,5,Complete 5 unique armorer levequests.
Armorer,With Steel in Hand II,5,Complete 20 unique armorer levequests.
Armorer,With Steel in Hand III,10,Complete 40 unique armorer levequests.
Armorer,With Steel in Hand IV,10,Complete 80 unique armorer levequests.
Armorer,With Steel in Hand V,10,Complete 100 unique armorer levequests.
Armorer,With Steel in Hand VI,10,Complete 110 unique armorer levequests.
Goldsmith,With Gem in Hand I,5,Complete 5 unique goldsmith levequests.
Goldsmith,With Gem in Hand II,5,Complete 20 unique goldsmith levequests.
Goldsmith,With Gem in Hand III,10,Complete 40 unique goldsmith levequests.
Goldsmith,With Gem in Hand IV,10,Complete 80 unique goldsmith levequests.
Goldsmith,With Gem in Hand V,10,Complete 100 unique goldsmith levequests.
Goldsmith,With Gem in Hand VI,10,Complete 110 unique goldsmith levequests.
Leatherworker,With Skin in Hand I,5,Complete 5 unique leatherworker levequests.
Leatherworker,With Skin in Hand II,5,Complete 20 unique leatherworker levequests.
