Group,Name,Points,Description,Reward
The Feast,Head of the Table,20,Complete a Feast season ranked #1 (solo).,Title: Leader of the Pack
The Feast,Dinner for Two (to Ten),10,Complete a Feast season ranked #2-10 (solo).,Title: Beta Wolf
The Feast,Dinner for Elever (to One Hundred),10,Complete a Feast season ranked #11-100 (solo).,Title: Hunter Wolf
The Feast,It's My Party,20,Complete a Feast season ranked #1 (party).,Title: Of the First Pack
The Feast,Party of Two (to Ten),20,Complete a Feast season ranked #2-10 (party).,Title: Of the Second Pack
The Feast,Party of Elevern (to Thirty),20,Complete a Feast season ranked #11-30 (party).,Title: Of the Hungry Pack
The Feast,Dining Solo: Bronze,10,Complete a Feast season in the Bronze tier (solo).,Title: Bronze Wolf
The Feast,Dining Solo: Silver,10,Complete a Feast season in the Silver tier (solo).,Title: Silver Wolf
The Feast,Dining Solo: Gold,10,Complete a Feast season in the Gold tier (solo).,Title: Gold Wolf
The Feast,Dining Solo: Platinum,10,Complete a Feast season in the Platinum tier (solo).,Title: Platinum Wolf
The Feast,Dining Solo: Diamond,20,Complete a Feast season in the Diamond tier (solo).,Title: Diamond Wolf
The Feast,Diner's Club: Bronze,20,Complete a Feast season in the Bronze tier (party).,Title: Of the Bronze Pack
The Feast,Diner's Club: Silver,20,Complete a Feast season in the Silver tier (party).,Title: Of the Silver Pack
The Feast,Diner's Club: Gold,20,Complete a Feast season in the Gold tier (party).,Title: Of the Gold Pack
The Feast,Diner's Club: Platinum,20,Complete a Feast season in the Platinum tier (party).,Title: Of the Platinum Pack
The Feast,Diner's Club: Diamond,20,Complete a Feast season in the Diamond tier (party).,Title: Of the Diamond Pack
