Group,Name,Points,Description,Reward
A Realm Reborn,Going Up in Flames,10,Defeat Ifrit in the Bowl of Embers (Extreme). 
A Realm Reborn,Gone with the Wind,10,Defeat Garuda in the Howling Eye (Extreme). 
A Realm Reborn,Earth to Earth,10,Defeat Titan in the Navel (Extreme). 
A Realm Reborn,I Eat Whorls for Breakfast,10,Defeat Leviathan on the Whorleater (Extreme). 
A Realm Reborn,Good Kingslayer,10,Defeat Good King Moggle Mog XII in Thornmarch (Extreme). 
A Realm Reborn,Contempt of Court,10,Defeat Ramuh at the Striking Tree (Extreme). 
A Realm Reborn,Let It Go,10,Defeat Shiva in the Akh Afah Amphitheatre (Extreme). 
A Realm Reborn,Missed the Cut,10,Defeat Odin at Urth's Fount.,Title: The Unsevered 
A Realm Reborn,Broken Bridges,10,Defeat Vishap on the Steps of Faith. 
A Realm Reborn,Enough Expository Banter,10,Defeat Gilgamesh and Enkidu at the Battle in the Big Keep. 
A Realm Reborn,Secret Ascian Man,10,Defeat Nabriales in the Chrysalis. 
Heavensward,Limitless,10,Defeat Bismarck in the Limitless Blue (Extreme). 
Heavensward,Hive Mind,10,Defeat Ravana on Thok ast Thok (Extreme) 
Heavensward,The King and Die,10,Defeat King Thordan in The Minstrel's Ballad: Thordan's Reign.,Title: Myth Breaker 
Heavensward,Veni Veni Venias,10,Defeat Sephirot in Containment Bay S1T7 (Extreme). 
Heavensward,Let Me Be Your Hogg,10,Defeat Nidhogg in the The Minstrel's Ballad: Nidhogg's Rage. 
Heavensward,Sophia's Choice,10,Defeat Sophia in Containment Bay P1T6 (Extreme). 
Heavensward,Zurvan Safari,10,Defeat Zurvan in Containment Bay Z1T9 (Extreme). 
Stormblood,Lakshmi Intolerant,10,Defeat Lakshmi in Emanation (Extreme). 
Stormblood,Just Say the Word,10,Defeat Susano in the Pool of Tribute (Extreme). 
Stormblood,How to Slay Your Dragon 2,10,Defeat Shinryu in the Minstrel's Ballad: Shinryu's Domain 
Stormblood,Rock Warrior,10,Defeat Byakko in the Jade Stoa (Extreme) 
Stormblood,Happy Death Day To Who,10,Defeat Tsukuyomi in the Minstrel's Ballad: Tsukuyomi's Pain 
Stormblood,Extreme Rathalos Hunter,10,Defeat the Rathalos in the Great Hunt (Extreme) 
Stormblood,"Seiryu, Say Me",10,Defeat Seiryu in the Wreath of Snakes (Extreme). 
Stormblood,The Scarlet Bloodletter,10,Defeat Suzaku in Hells' Kier (Extreme). 
Stormblood,Bite Me,10,Defeat Yojimbo on Kugane Ohashi. 
Shadowbringers,Ill Met by Moonlight,10,Defeat Titania in the Dancing Plague. 
Shadowbringers,Proven Guilty,10,Defeat Innocence in the Crown of the Immaculate. 
Shadowbringers,Don't Look Back,10,Defeat Hades in the Minstrel's Ballad: Hades's Elegy. 
