Group,Name,Points,Description,Reward
Join Company,Snakebitten,5,Officially enlist in the Order of the Twin Adder.,
Earn Flame Seals,A Snake in the Brass I,5,"Earn 10,000 Serpent Seals.",
Earn Flame Seals,A Snake in the Brass II,5,"Earn 50,000 Serpent Seals.",
Earn Flame Seals,A Snake in the Brass III,10,"Earn 100,000 Serpent Seals.",Title: Serpentlord/Serpentlady
Earn Flame Seals,The Mahogany Leaf,20,"Earn 500,000 Serpent Seals.",Item: Twin Adder Escutcheon
Levequests,In Good Company: Twin Adder I,5,Complete 10 company levequests for the Order of the Twin Adder.,
Levequests,In Good Company: Twin Adder II,5,Complete 100 company levequests for the Order of the Twin Adder.,
Levequests,In Good Company: Twin Adder III,10,Complete 200 company levequests for the Order of the Twin Adder.,Title: The Serpentsworn
Levequests,The Ironwood Leaf,20,Complete 500 company levequests for the Order of the Twin Adder.,Item: Lily and Serpent Bracelet
Missions,Feeding the Serpent I,5,Complete 10 supply missions for the Order of the Twin Adder.,
Missions,Feeding the Serpent II,5,Complete 50 supply missions for the Order of the Twin Adder.,
Missions,Feeding the Serpent III,10,Complete 200 supply missions for the Order of the Twin Adder.,Title: Serpentcarrier
Missions,The Sycamore Leaf,20,Complete 500 supply missions for the Order of the Twin Adder.,Item: Lily and Serpent Earring
Missions,To Each According to His Need: Twin Adder I,5,Complete 10 provisioning missions for the Order of the Twin Adder.,
Missions,To Each According to His Need: Twin Adder II,5,Complete 30 provisioning missions for the Order of the Twin Adder.,
Missions,To Each According to His Need: Twin Adder III,10,Complete 100 provisioning missions for the Order of the Twin Adder.,Title: Serpentbringer
Missions,The Willow Leaf,20,Complete 200 provisioning missions for the Order of the Twin Adder.,Item: Lily and Serpent Ring
Levequests,In the Yellow I,5,Complete 5 unique Order of the Twin Adder levequests.,
Levequests,In the Yellow II,5,Complete 10 unique Order of the Twin Adder levequests.,
Levequests,In the Yellow III,10,Complete 15 unique Order of the Twin Adder levequests.,
Hunting Log,Bump on a Log: Order of the Twin Adder,20,Complete all Order of the Twin Adder entries in the hunting log.,Minion: Mammet 003G
