Group,Name,Method
Deep Dungeon,Abigail Barding,"From Gold and Silver Trimmed Sacks found in Palace of the Dead."
FATEs,Ala Mhigan Barding,"Acquired through the ""Rattle and Humbaba"" FATE in The Peaks."
Purchased,Angelic Barding,"Purchased from the Mog Station for EUR 7 or $10."
Achievement,Barding of Light,"3x Achievement Certificate from Jonathas in Apkallu Falls."
Purchased,Behemoth Barding,"Acquired through the purchase of Final Fantasy XIV A Realm Reborn Collector's Edition."
Achievement,Black Mage Barding,"3x Achievement Certificate from Jonathas in Apkallu Falls."
Crafted,Blissful Barding,"Can be crafted by Goldsmith Recipe 70?"
Purchased,Butlery Barding,"Purchased from the Mog Station for EUR 7 or $10."
Crafted,Byakko Barding,"Can be crafted by Goldsmith Recipe 70???"
Scrips,Chocobo Raincoat,"Trade 1,650 Yellow Gatherers' Scrip at an Exchange"
FATEs,Dancer Barding,"Purchased with 350x Bicolour Gemstone (Eulmore)"
FATEs,Deepshadow Barding,"Purchased with 350x Bicolour Gemstone (Lakeland)"
Purchased,Demonic Barding,"Purchased from the Mog Station for EUR 7 or $10."
Companion,Dragoon Barding,"Obtain a level 10 Attacker Chocobo Companion."
Purchased,Eerie Barding,"Purchased from the Mog Station for EUR 4.90 or $7."
Miscellaneous,Egg Harness,"Acquired through 2014 Hatching-tide seasonal event."
Purchased,Egg Hunter Barding,"Purchased from the Mog Station for EUR 4.90 or $7."
Crafted,Expanse Barding,"Can be crafted by Armorer Recipe 60?"
Purchased,Far East Barding,"Purchased from the Mog Station for EUR 7 or $10."
Quests,Flyer Shaffron,"Complete ""I Believe I Can Fly"" Quest"
Gold Saucer,Gambler Barding,"Purchase from Gold Saucer Attendant for 20,000 MGP."
Grand Company,Gridanian Barding,"Purchased from The Order of the Twin Adder vendor for 6000 Company Seals."
Grand Company,Gridanian Crested Barding,"Purchased from The Order of the Twin Adder vendor for 8000 Company Seals."
Grand Company,Gridanian Half Barding,"Purchased from The Order of the Twin Adder vendor for 4000 Company Seals."
Grand Company,Gridanian Saddle,"Order of the Twin Adder Default Barding"
Crafted,Hades Barding,"Can be crafted by Armorer Recipe 80??"
Crafted,Highland Barding,"Can be crafted by a Level 40 Leatherworker Recipe"
The Hunt,Hingan Barding,"Obtained from Eschina in Rhalgr's Reach for 4 Veteran Clan Mark Logs."
Crafted,Hive Barding,"Can be crafted by Armorer Recipe 60?"
Crafted,Horde Barding,"Can be crafted by Leatherworker Recipe 60???"
Crafted,Ice Barding,"Can be crafted by Leatherworker Recipe 50????"
Crafted,Innocence Barding,"Level 80? Armorer recipe."
The Hunt,Ishgardian Barding,"Purchased with 350 Centurio Seals, obtained from Clan Hunts from Ardolain in Foundation"
FATEs,Ishgardian Half Barding,"Obtained from Level 56 FATE Vedrfolnir Devoteth in The Churning Mists (11,36)."
