Group,Name,Method
Free Company,Abroader Otter,Deep Sea Site 7 Voyage
Quests,Accompaniment Node,Complete the Level 60 sidequest Do It for Gilly.
Purchased,Angel of Mercy,Acquired in Valentione's Day (2017). MogStation: 5 USD / 3.5 EUR
Quests,Anima,Body and Soul Anima Relic Weapon Quest
Duty,Armadillo Bowler,Drops from Malikah's Well Duty
Desynth,Assassin Fry,Obtained from Desynthesizing of Ninja Betta.
Crafted,Atrophied Atomos,Crafted by Level 60★ Alchemist.
Beast Tribe,Attendee #777,Bought for 7 Namazu Koban from Gyosho at Trusted (or higher) Beast Tribe Reputation.
Free Company,Aurelia Polyp,Subaquatic Voyages
Ventures,Axolotl Eft,Waterside Exploration XXII Fisher Retainer Venture or Quick Exploration
NPC,Baby Bat,"From Junkmonger Nonoroon for 2,400 gil in Poor Maid's Mill, Upper La Noscea (11.8,24.7)."
Purchased,Baby Behemoth,Purchase the collectors edition of FFXIV (1.0 or ARR)
FATEs,Baby Brachiosaur,Randomly received from completing the Secret of the Lost Legend Boss FATE in The Diadem
FATEs,Baby Bun,Complete the FATE: Lazy for You with Gold Medal rating in East Shroud (23x y29).
Purchased,Baby Gremlin,Preordering Shadowbringers
Duty,Baby Opo-opo,Found in chest after final boss of Brayflox's Longstop (Hard).
NPC,Baby Raptor,Boughbury Trader for 2400 if Clearing the Hive has been won.
Ventures,Bacon Bits,Woodland Exploration XXV Botanist Retainer Venture or Quick Exploration
Achievements,Beady Eye,Obtained from Jonathas in Old Gridania for 2 Achievement Certificates.
The Hunt,Behemoth Heir,400 Centurio Seals from Ardolain
Duty,Bite-Sized Pudding,Randomly drops from chest in The Wanderer's Palace.
The Hunt,Bitty Duckbill,800x Sacks of Nuts
Achievements,Black Chocobo Chick,Obtained from Jonathas in Old Gridania for 2 Achievement Certificates.
Gold Saucer,Black Coeurl,"Purchased from Gold Saucer Attendant for 20,000 MGP "
Duty,Black Hayate,Drops from Holminster Switch Duty
Miscellaneous,Blizzaria,"Acquired from Yo-kai Watch: Gather One, Gather All!."
Treasure Hunt,Bluebird,Obtained from Timeworn Peisteskin Map.
Ventures,Bom Boko,Heaven-on-High Silver-haloed Sack or Field Exploration XX and XXII Combat Retainer Venture or Quick Exploration
Duty,Bomb Fish,Rare drop from Shisui of the Violet Tides
Miscellaneous,Brave New Y'shtola,The Rising 2019
Miscellaneous,Bridesmoogle,Gift for attendees of an Eternal Bonding Anniversary
Duty,Brina,Found in chest after final boss of The Antitower.
Quests,Buffalo Calf,"Complete the Level 50 Main Scenario Quest ""You're Gonna Carry That""."
Duty,Bullpup,Rarely found in chest after final boss of Baelsar's Wall.
FATEs,Butterfly Effect,Purchased from Nacille in Fanow for 400 Bicolor Gemstones
Crafted,Byakko Cub,Levle 70★★ Weaver recipe.
Quests,Cactuar Cutting,Complete the quest Zombies Are People Too in Southern Thanalan
Purchased,Cait Sith Doll,Received for pre-ordering FFXIV: ARR (CE or SE)
Duty,Calamari,Rarely found in chest after final boss of Hullbreaker Isle (Hard).
Duty,Calca,Found in chest after final boss of The Antitower.
Treasure Hunt,Capybara Pup,The Lost Canals of Uznair
Gathered,Castaway Chocobo Chick,Fished from Fishing Log: Isle of Endless Summer North Shore
Duty,Chameleon,Drops from The Qitana Ravel Duty
NPC,Cherry Bomb,"Purchased from Bango Zango in Limsa Lominsa, Roarich in Ul'dah, or Maisenta in New Gridania."
Quests,Chigoe Larva,"Complete the quest Occupational Hazards from Yoenne in South Shroud, Quarrymill"
Purchased,Chocobo Chick Courier,Heavensward Pre-order
Duty,Clionid Larva,Akadaemia Anyder
Crafted,Clockwork Barrow,Crafted by Level 60★ Carpenter
PvP,Clockwork Lantern,"15,000 Wolf Mark from Storm Sergeant (Materia Provisioner)."
Achievements,Clockwork Twintania,Complete the Challenge Accepted achievement
Gathered,Coblyn Larva,"Unspoiled Deposit, level 46-50 Miner"
Quests,Coeurl Kitten,Curiosity Killed the Coeurl quest in Aleport from Skribyld.
Duty,Conditional Virtue,The Baldesion Arsenal
Duty,Construct 8,Raid-wide drop in The Ridorana Lighthouse
Purchased,Continental Eye,Acquired from All Saints' Wake (2016). MogStation: 5 USD / 3.5 EUR
Duty,Copycat Bulb,Rare drop from lockboxes in Eureka: Pagos
NPC,Cute Justice,Purchased from Maudlin Latool Ja in Ul'dah for 400 Allied Seals (Requires Level 60 BLU)
Purchased,Demon Box,Attending an Eternal Bond ceremony of Gold or Platinum tier.
Duty,Demon Brick,Found in first chest of Amdapor Keep.
Duty,Dhalmel Calf,"Forbidden Land, Eureka Pyros"
Ventures,Domakin,Waterside Exploration XXV Fisher Retainer Venture or Quick Exploration
Purchased,Doman Magpie,MogStation: 5 USD / 3.5 EUR
Wondrous Tails,Dress-up Alisaie,Wondrous Tails 2-line Reward
NPC,Dress-up Estinien,"Purchased from Enie in The Firmament for 1,200 Skybuilders' Scrips"
Quests,Dress-up Raubahn,Complete the Level 70 Main Scenario Quest Return of the Bull.
Purchased,Dress-up Tataru,Bonus code from the Art of the Revolution - Eastern Memories Art Book
Wondrous Tails,Dress-up Thancred,Wondrous Tails 2-line Reward
Purchased,Dress-up Y'shtola,Acquired from The Rising (2016). MogStation: 5 USD / 3.5 EUR
Duty,Dress-up Yugiri,Rarely found in the final chest of Kugane Castle
NPC,Dust Bunny,"Purchased from Auriana for Tomestones, or from Hatching-tide (2016)"
Duty,Dwarf Rabbit,Dropped in The Aquapolis.
Duty,Eden Minor,Dropped in Eden's Gate: Sepulture
Gardening,Eggplant Knight,By intercrossing: Krakka Root with Star Anise OR Wizard Eggplant with Mandrake
Duty,Enkidu,Obtained from Battle in the Big Keep.
Achievements,Faepup,How Can I Help III (300 assists in The Feast)
Ventures,Fat Cat,Waterside Exploration XIV-XIX Fisher Retainer Venture
Duty,Faustlet,Obtained from Alexander - The Burden of the Son (Savage)
The Feast,Fenrir Pup,Randomly dropped after The Feast matches.
Grand Company,Flame Hatchling,"Purchased for 20,000 Flame Seals"
Sightseeing,Fledgling Apkallu,Completing all 80 A Realm Reborn Sightseeing Log Entries
NPC,Fledgling Dodo,Purchased from Auriana for 7 Allagan Tomestones of Soldiery
Duty,Forgiven Hate,Drops from Mt. Gulg
NPC,"Fox Kit ",Purchased for 3x Sassho-seki Fragments from Eschina
NPC,Frilled Dragon,10 Empyrean Potsherds from Confederate Custodian
Duty,Gaelikitten,Found in chest after final boss of Sohm Al.
Gardening,Garlic Jester,By intercrossing:   Garlic Clove with Mandrake
Ventures,Gestahl,Heaven-on-High Silver-haloed Sack or Waterside Exploration XVIII or XIX Fisher Retainer Venture
Duty,Ghido,Rare drop from The Sirensong Sea
NPC,Giant Beaver,1x Dancing Wing from Dancing Plague
Gathered,Gigantpole,Rare fishing catch from The Burning Wall in Eastern Thanalan (28-25) with Topwater Frog.
Quests,Gigi,Complete Further Hildibrand Adventures Quest: If I Could Turn Back Time.
FATEs,Gold Rush Minecart,Complete On Dangerous Ground with a Gold Medal rating.
Quests,Goobbue Sproutling,"Complete the Level 33 Main Scenario Quest ""It Was a Very Good Year""."
Crafted,Gravel Golem,Crafted by Level 50 Goldsmith.
The Hunt,Griffin Hatchling,400 Centurio Seals from Ardolain
Gold Saucer,Heavy Hatchling,"Purchased from Gold Saucer Attendant for 20,000 MGP"
NPC,Hecteye,3 Gelmorran Potsherds from E-Una-Kotor in Quarrymill
