Level,Name
1,Bronze Ingot
2,Bronze Rings
2,Bronze Rivets
3,Bronze Plate
3,Bronze Alembic
4,Bronze Skillet
5,Bronze Hoplon
6,Bronze Haubergeon
7,Bronze Sollerets
8,Bronze Chain Coif
8,Bronze Sallet
9,Amateur's Alembic
9,Bronze Mitt Gauntlets
10,Bronze Scutum
10,Bronze Barbut
11,Amateur's Skillet
11,Bronze Plate Belt
12,Bronze Celata
12,Bronze Cuirass
13,Iron Ingot
13,Bronze Sabatons
14,Iron Plate
14,Iron Rivets
14,Bronze Gauntlets
15,Iron Rings
15,Iron Joint Plate
15,Brass Alembic
15,Iron Skillet
15,Bronze Buckler
16,Decorated Bronze Barbut
16,Decorated Bronze Mitt Gauntlets
17,Iron Hoplon
18,Initiate's Alembic
18,Initiate's Skillet
19,Iron Sallet
19,Iron Plate Belt
19,Iron Sabatons
20,Ironclad Bronze Buckler
20,Iron Celata
20,Iron Cuirass
20,Iron Gauntlets
21,Iron Lantern Shield
21,Iron Vambraces
22,Iron Elmo
22,Iron Headgear
22,Iron-plated Jackboots
23,Iron Alembic
23,Iron Frypan
23,Iron Scale Mail
23,Iron Scale Fingers
23,Iron Scale Greaves
24,Iron Scutum
24,Reinforced Iron Sallet
24,Reinforced Iron Plate Belt
25,Heavy Iron Armor
25,Heavy Iron Gauntlets
25,Heavy Iron Flanchard
26,Steel Ingot
26,Steel Hinge
26,Conical Alembic
27,Steel Plate
27,Steel Rivets
27,Steel Joint Plate
27,Bomb Frypan
27,Iron Kite Shield
28,Steel Rings
28,Steel Chainmail
28,Steel Tassets
29,Steel Alembic
29,Steel Skillet
29,Steel Sallet
30,Steel Celata
30,Steel Cuirass
30,Steel Gauntlets
30,Steel Sabatons
30,Steel-plated Jackboots
31,Bull Hoplon
31,Steel Elmo
31,Steel Vambraces
31,Steel Plate Belt
32,Steel Headgear
32,Steel Scale Mail
32,Steel Scale Fingers
32,Steel Scale Greaves
33,White Skillet
33,Decorated Buckler
34,Silver Alembic
34,Decorated Iron Scutum
34,Heavy Steel Armor
34,Heavy Steel Gauntlets
34,Reinforced Steel Plate Belt
35,Steel Barbut
35,Altered Heavy Steel Armor
35,Steel Mitt Gauntlets
35,Heavy Steel Flanchard
35,Steel-plated Caligae
35,Vintage Hoplon
36,Mythril Ingot
36,Steel Frypan
37,Mythril Rings
37,Mythril Rivets
37,Bladed Lantern Shield
37,Horn Scale Greaves
38,Mythril Plate
38,Mythril Celata
38,Horn Scale Fingers
38,Mythril Plate Belt
38,Vintage Celata
39,Mythril Cuirass
39,Mythril Gauntlets
39,Mythril Sabatons
40,Mythril Alembic
40,Mythril Elmo
40,Altered Mythril Elmo
40,Horn Scale Mail
40,Vintage Scutum
41,Mythril Barbut
41,Mythril Vambraces
41,Mythril-plated Jackboots
41,Vintage Scale Mail
42,Cobalt Ingot
42,Electrum Alembic
42,Mythril Mesail
42,Mythril Chain Coif
42,Mythril Haubergeon
42,Mythril-plated Caligae
42,Mythril Sollerets
43,Cobalt Plate
43,Cobalt Rings
43,Cobalt Skillet
43,Mythril Mitt Gauntlets
43,High Mythril Gauntlets
43,High Mythril Plate Belt
43,High Mythril Flanchard
43,Vintage Buckler
44,Cobalt Rivets
44,Cobalt Joint Plate
44,Cobalt Scutum
44,Reinforced Mythril Elmo
44,Altered Mythril Chain Coif
44,High Mythril Armor
44,Altered High Mythril Armor
44,Cobalt Vambraces
45,Cobalt Elmo
45,Altered Cobalt Elmo
45,Tortoiseshell Scale Mail
45,Tortoiseshell Scale Fingers
45,Cobalt-plated Jackboots
45,Tortoiseshell Scale Greaves
45,Vintage Kite Shield
46,Cobalt Barbut
46,Cobalt-plated Caligae
46,Vintage Haubergeon
47,Hells' Kitchen
47,Mosshorn Scale Mail
48,Cobalt Mitt Gauntlets
49,Cobalt Bladed Lantern Shield
49,Cobalt Mesail
49,Cobalt Sallet
50,Thermal Alembic
50,Kite Shield
50,Cobalt Chain Coif
50,Cobalt Celata
50,Cobalt Mask
50,Cobalt Haubergeon
50,Cobalt Cuirass
50,Altered Cobalt Cuirass
50,Cobalt Gauntlets
50,Altered Cobolt Gauntlets
50,Cobalt Plate Belt
50,Cobalt Sollerets
50,Cobalt Sabatons
50,Altered Cobalt Sabatons
50,Wind-up Dullahan
50★,Darksteel Nugget
50★,Darksteel Plate
50★,Darksteel Rings
50★,Darksteel Rivets
50★,Militia Armet
50★,Militia Barbut
50★,Militia Cuirass
50★,Militia Gauntlets
50★,Militia Mitt Gauntlets
50★,Militia Sabatons
50★,Armorer's Visor
50★,Hamlet Digger's Helmet
50★,Blacksmith's Workboots
50★★,Darksteel Ingot
50★★,Darksteel Couters
50★★,Darksteel Breastplate
50★★,Darksteel Gauntlet Plates
50★★,Darksteel Scutum
50★★,Darksteel Buckler
50★★,Darksteel Chain Coif
50★★,Darksteel Haubergeon
50★★,Heavy Darksteel Armor
50★★,Light Steel Galerus
50★★,Darksteel Mitt Gauntlets
50★★,Heavy Darksteel Gauntlets
50★★,Darksteel Tassets
50★★,Heavy Darksteel Flanchard
50★★,Light Steel Subligar
50★★,Darksteel Sollerets
50★★★,Tidal Barding
51,Mythrite Nugget
51,Mythrite Sallet of Fending
51,Mythrite Sallet of Maiming
51,Mythrite Tassets of Fending
51,Mythrite Tassets of Maiming
51,Mythrite Rivets
51,Mythrite Scutum
51,Mythrite Hauberk of Fending
51,Mythrite Hauberk of Maiming
51,Mythrite Gauntlets of Fending
51,Mythrite Gauntlets of Maiming
51,Mythrite Sabatons of Fending
51,Mythrite Sabatons of Maiming
52,Mythrite Ingot
52,Mythrite Alembic
52,Frypan Caliente
53,Mythrite Bladed Lantern Shield
53,Titanium Plate Belt of Fending
53,Titanium Plate Belt of Maiming
54,Titanium Nugget
54,Titanium Rivets
54,Hardsilver Alembic
54,Titanium Frypan
54,Titanium Mask of Fending
54,Titanium Sallet of Maiming
54,Titanium Mask of Striking
54,Titanium Mask of Scouting
54,Titanium Mask of Aiming
55,Titanium Kite Shield
55,Titanium Mail of Fending
55,Titanium Cuirass of Maiming
55,Titanium Gauntlets of Fending
