Level,Name
1,Bronze Ingot
1,Bronze Hatchet
2,Bronze Bastard Sword
2,Amateur's File
3,Bronze Rivets
3,Bronze War Axe
3,Amateur's Pliers
4,Bronze Saw
4,Amateur's Awl
5,Bronze Daggers
5,Amateur's Claw Hammer
5,Bronze Cross-pein Hammer
5,Bronze Doming Hammer
6,Amateur's Mortar
6,Amateur's Culinary Knife
7,Viking Sword
7,Bronze Labrys
7,Bronze Chaser Hammer
8,Bronze Knives
8,Bronze Head Knife
8,Bronze Pickaxe
9,Cloud Axe
9,Bronze Claw Hammer
10,Bronze Baselards
10,Amateur's Cross-pein Hammer
10,Bronze File
10,Bronze Pliers
10,Amateur's Chaser Hammer
10,Bronze Mortar
11,Amateur's Doming Hammer
11,Amateur's Head Knife
11,Bronze Awl
11,Amateur's Pickaxe
11,Bronze Scythe
12,Amateur's Saw
12,Bronze Ornamental Hammer
12,Bronze Culinary Knife
12,Bronze Sledgehammer
12,Amateur's Hatchet
13,Bronze Spatha
13,Bronze Knuckles
14,Spiked Bronze Labrys
14,Brass Daggers
14,Brass Head Knife
15,Iron Clapper
15,Birdsbeak Hammer
15,Bronze Raising Hammer
16,Iron Ingot
16,Iron Nails
16,Brass Bastard Sword
16,Brass Knuckles
16,Brass Knives
16,Chocobotail Saw
16,Plumed Bronze Pickaxe
17,Iron War Axe
17,Iron Labrys
17,Iron Hatchet
18,Iron Rivets
18,Iron Cross-pein Hammer
18,Iron Doming Hammer
18,Iron Chaser Hammer
19,Initiate's Head Knife
19,Iron Awl
19,Initiate's Sledgehammer
19,Initiate's Hatchet
20,Brass Viking Sword
20,Carnage Sword
20,Iron Daggers
20,Initiate's Saw
20,Iron Claw Hammer
20,Iron Pickaxe
21,Inferno Axe
21,Initiate's Cross-pein Hammer
21,Initiate's Doming Hammer
21,Initiate's Chaser Hammer
21,Iron Mortar
21,Iron Culinary Knife
21,Iron Scythe
22,Iron Shortsword
22,Iron Pugiones
22,Iron File
22,Iron Pliers
22,Initiate's Pickaxe
23,Spiked Knuckles
23,Initiate's Awl
23,Iron Sledgehammer
24,Iron Bill
24,Bas-relief Iron Saw
24,Initiate's Claw Hammer
24,Initiate's Mortar
24,Brass Hatchet
25,Iron Spatha
25,Iron Round Knife
25,Initiate's Culinary Knife
25,Initiate's Scythe
26,Steel Ingot
26,Thunderstorm Axe
26,Steel Daggers
26,Crowsbeak Hammer
26,Iron Raising Hammer
26,Iron Ornamental Hammer
27,Steel Nails
27,Initiate's File
27,Initiate's Pliers
27,Iron Dolabra
28,Steel Broadsword
28,Spiked Steel Labrys
28,Iron Chocobotail Saw
29,Steel Rivets
29,Steel Claws
29,Heavy Crowsbeak Hammer
29,Wrapped Iron Raising Hammer
29,Iron Head Knife
29,Plumed Iron Hatchet
30,Steel Knives
30,Bas-relief Steel Saw
30,Steel Chaser Hammer
30,Silver Head Knife
30,Steel Pickaxe
30,Steel Sledgehammer
31,Steel Falchion
31,Steel Claw Hammer
31,Steel Awl
32,Steel Bardiche
32,Steel Cross-pein Hammer
32,Steel Ornamental Hammer
32,Steel Mortar
32,Steel Culinary Knife
33,Steel Dolabra
33,Wrapped Steel Sledgehammer
33,Steel Hatchet
33,Steel Scythe
34,Steel Zweihander
34,Steel Baselards
34,Steel-barreled Musketoon
34,Steel Crowsbeak Hammer
34,Steel File
34,Steel Doming Hammer
35,Steel Bhuj
35,Crosscut Saw
35,Steel Pliers
35,Heavy Steel Mortar
35,Wrapped Steel Culinary Knife
35,Plumed Steel Hatchet
35,Wrapped Steel Scythe
35,Vintage Bastard Sword
36,Wrapped Steel Claw Hammer
36,Steel Round Knife
36,Wrapped Steel Awl
37,Steel Longsword
38,Mythril Ingot
38,Mythril Broadsword
38,Mythril Claymore
38,Mythril Knives
38,Mythril-barreled Carbine
38,Wrapped Crowsbeak Hammer
38,Steel Raising Hammer
38,Plumed Mythril Pickaxe
38,Mythril Hatchet
38,Vintage Viking Sword
39,Mythril Rivets
39,Spiked Mythril Labrys
39,Mythril Claws
39,Mythril Saw
39,Mythril Head Knife
40,Mythril Bhuj
40,Mythril Claw Hammer
40,Mythril File
40,Mythril Ornamental Hammer
40,Mythril Awl
41,Mythril Zweihander
41,Mythril Baselards
41,Mythril-barreled Musketoon
41,Mythril Mortar
41,Mythril Culinary Knife
41,Mythril Sledgehammer
41,Mythril Scythe
42,Cobalt Ingot
42,Cobalt Katzbalger
42,Cobalt Knuckles
42,Mythril Chocobotail Saw
42,Cobalt Cross-pein Hammer
42,Mythril Pliers
42,Mythril Lapidary Hammer
42,Mythril Round Knife
42,Goblin Scimitar
43,Cobalt Rivets
43,Cobalt Shamshir
43,Buccaneer's Bardiche
43,Cobalt Doming Hammer
43,Cobalt Dolabra
43,Cobalt Hatchet
44,Cobalt Nails
44,Cobalt Claw Hammer
44,Cobalt Pliers
44,Cobalt Awl
44,Cobalt Culinary Knife
44,Cobalt Sledgehammer
45,Demilune Bhuj
45,Cobalt Claymore
45,Mythril Pugiones
45,Cobalt-barreled Carbine
45,Wrapped Hawksbeak Hammer
45,Cobalt File
45,Cobalt Mortar
45,Cobalt Scythe
45,Goblin Longsword
46,Bas-relief Cobalt Saw
46,Electrum Head Knife
47,Cobalt Raising Hammer
47,Electrum Lapidary Hammer
47,Vintage Bill
48,Cobalt Zweihander
48,Cobalt-barreled Musketoon
48,Egret Dolabra
49,Cobalt Winglet
49,Spiked Cobalt Labrys
49,Cobalt Claws
49,Cobalt Baselards
49,Horned Hatchet
50★,Darksteel Nugget
50★,Darksteel Rivets
50★,Aeolian Scimitar
50★,Barbarian's Bardiche
50★,Militia Claw Hammer
50★,Militia File
50★,Militia Pliers
50★,Militia Awl
50★,Militia Mortar
50★,Militia Culinary Knife
50★,Militia Sledgehammer
50★,Militia Scythe
50★★,Darksteel Ingot
50★★,Avenger Grips
50★★,Obelisk Head
50★★,Mailbreaker Blade
50★★,Rampager Head
50★★,Misericorde Blades
50★★,Mailbreaker
50★★,Rampager
50★★,Subduer
50★★,Obelisk
50★★,Avengers
50★★,Misericordes
50★★,Darksteel-barreled Blunderbuss
50★★★★,Model Magitek Bit
51,Mythrite Nugget
51,Mythrite Uchigatana
51,Mythrite Rivets
51,Mythrite Katzbalger
51,Mythrite War Axe
51,Mythrite Claymore
51,Mythrite Patas
51,Mythrite Pugiones
51,Mythrite-barreled Arquebus
52,Mythrite Ingot
52,Mythrite Tachi
52,Mythrite Halfheart Saw
52,Mythrite Lump Hammer
52,Mythrite Raising Hammer
52,Mythrite Lapidary Hammer
52,Mythrite Round Knife
52,Mythrite Pickaxe
52,Mythrite Hatchet
53,Mythrite Flametongue
53,Mythrite Labrys
53,Mythrite Zweihander
53,Mythrite Jamadhars
53,Mythrite Stilettos
53,Mythrite-barreled Musketoon
53,Mythrite Claw Hammer
53,Mythrite File
53,Mythrite Pliers
53,Mythrite Awl
53,Mythrite Mortar
53,Mythrite Culinary Knife
53,Mythrite Sledgehammer
53,Mythrite Scythe
54,Titanium Nugget
54,Titanium Rivets
54,Titanium Bastard Sword
54,Titanium Axe
54,Titanium Claymore
54,Titanium Jamadhars
54,Titanium Uchigatana
54,Titanium Pugiones
54,Titanium-barreled Arquebus
55,Hardsilver Saw
55,Titanium Cross-pein Hammer
55,Titanium Ball-pein Hammer
55,Hardsilver Texture Hammer
55,Titanium Creasing Knife
55,Hardsilver Dolabra
55,Titanium Hatchet
56,Titanium Ingot
56,Titanium Tachi
56,Titanium Claw Hammer
56,Titanium File
56,Titanium Pliers
56,Titanium Awl
56,Titanium Mortar
56,Titanium Culinary Knife
56,Titanium Sledgehammer
56,Titanium Scythe
57,Titanium Longsword
57,Titanium Battleaxe
57,Titanium Greatsword
57,Titanium Knuckles
57,Titanium Kris
57,Titanium-barreled Snaphance
57,Titanium Halfheart Saw
57,Titanium Lump Hammer
57,Titanium Raising Hammer
57,Hardsilver Lapidary Hammer
57,Hardsilver Round Knife
57,Titanium Pickaxe
57,Hardsilver Hatchet
58,Adamantite Nugget
58,Adamantite Rivets
58,Adamantite Broadsword
58,Adamantite Bill
58,Adamantite Zweihander
58,Adamantite Jamadhars
58,Adamantite Uchigatana
58,Adamantite Knives
58,Adamantite Revolver
59,Adamantite Claw Hammer
59,Adamantite File
59,Adamantite Pliers
59,Adamantite Awl
59,Adamantite Mortar
59,Adamantite Culinary Knife
59,Adamantite Sledgehammer
59,Adamantite Scythe
61,High Steel Nugget
61,High Steel Katzbalger
61,High Steel Headsman's Axe
61,High Steel Guillotine
61,High Steel Gunblade
61,High Steel Knuckles
61,High Steel Tachi
61,High Steel Main Gauches
61,High Steel Culverin
61,High Steel Chakrams
61,High Steel Saw
61,High Steel Cross-pein Hammer
61,High Steel Doming Hammer
61,Koppranickel Ornamental Hammer
61,High Steel Head Knife
61,High Steel Dolabra
61,High Steel Hatchet
62,High Steel Ingot
62,High Steel Claw Hammer
62,High Steel File
62,High Steel Pliers
62,High Steel Awl
62,High Steel Mortar
62,High Steel Culinary Knife
62,High Steel Sledgehammer
62,High Steel Scythe
63,High Steel Longsword
63,High Steel Battleaxe
63,Folded High Steel Greatsword
63,High Steel Bayonet
63,Folded High Steel Knuckles
63,High Steel Uchigatana
63,High Steel Kris
63,High Steel-barreled Snaphance
63,Hight Steel War Quoits
64,Oroshigane Ingot
64,Doman Iron Longsword
64,Doman Iron War Axe
64,Doman Iron Gunblade
64,Doman Iron Claws
64,Doman Iron Glaives
64,Doman Iron Halfheart Saw
64,Doman Iron Lump Hammer
64,Doman Iron Raising Hammer
64,Durium Texture Hammer
64,Doman Iron Head Knife
64,Doman Iron Pickaxe
64,Doman Iron Hatchet
65,Doman Iron Greatsword
65,Doman Iron Uchigatana
65,Doman Iron Daggers
65,Doman Iron Culverin
65,Doman Iron Claw Hammer
65,Doman Iron File
65,Doman Iron Pliers
65,Doman Iron Awl
65,Doman Iron Mortar
65,Doman Iron Culinary Knife
65,Doman Iron Sledgehammer
65,Doman Iron Scythe
66,Tama-hagane Ingot
66,Doman Steel Longsword
66,Doman Steel Battleaxe
66,Doman Steel Gunblade
66,Doman Steel Patas
66,Doman Steel War Quoits
66,Doman Steel Saw
66,Doman Steel Cross-pein Hammer
66,Doman Steel Raising Hammer
66,Durium Lapidary Hammer
66,Doman Steel Round Knife
66,Plumed Doman Steel Pickaxe
66,Doman Steel Hatchet
67,Doman Steel Greatsword
67,Doman Steel Tachi
67,Doman Steel Main Gauches
67,Doman Steel-barreled Musketoon
67,Doman Steel Claw Hammer
67,Doman Steel File
67,Doman Steel Pliers
67,Doman Steel Awl
67,Doman Steel Mortar
67,Doman Steel Culinary Knife
67,Doman Steel Sledgehammer
67,Doman Steel Scythe
68,Molybdenum Ingot
68,Molybdenum Longsword
68,Molybdenum War Axe
68,Molybdenum Longblade
68,Molybdenum Gunblade
68,Molybdenum Knuckles
68,Molybdenum Uchigatana
68,Molybdenum Daggers
68,Molybdenum Rimfire
68,Molybdenum Chakrams
69,Molybdenum Halfheart Saw
69,Molybdenum Lump Hammer
69,Molybdenum Ball-pein Hammer
69,Palladium Texture Hammer
69,Molybdenum Creasing Knife
69,Molybdenum Pickaxe
69,Molybdenum Hatchet
70,Molybdenum Claw Hammer
70,Molybdenum File
70,Molybdenum Pliers
70,Molybdenum Awl
70,Molybdenum Mortar
70,Molybdenum Culinary Knife
70,Molybdenum Sledgehammer
70,Molybdenum Scythe
71,Deepgold Nugget
71,Deepgold Anelace
71,Deepgold Battleaxe
71,Deepgold Claymore
71,Deepgold Gunblade
71,Deepgold Katars
71,Deepgold Blade
71,Deepgold Cinquedeas
71,Deepgold Revolver
71,Deepgold War Quoits
71,Deepgold Saw
71,Deepgold Claw Hammer
71,Deepgold Cross-pein Hammer
71,Deepgold File
71,Deepgold Raising Hammer
