Level,Name
1,Maple Lumber
1,Maple Clogs
2,Maple Shortbow
3,Bone Harpoon
4,Amateur's Grinding Wheel
4,Maple Pattens
5,Amateur's Spinning Wheel
5,Square Maple Shield
6,Bronze Spear
6,Maple Cane
7,Maple Longbow
8,Maple Crook
8,Maple Fishing Rod
9,Plumed Maple Shortbow
9,Round Shield
10,Ash Lumber
10,Ash Macuahuitl
10,Ramhorn Harpoon
11,Ragstone Grinding Wheel
12,Ash Spinning Wheel
12,Amateur's Fishing Rod
13,Feathered Harpoon
13,Ash Radical
14,Brass Spear
14,Ash Mask
14,Ash Pattens
15,Wrapped Maple Longbow
15,Ash Shortbow
15,Square Ash Shield
16,Elm Lumber
16,Elm Fishing Rod
17,Iron Spear
18,Elm Cane
19,Elm Longbow
19,Elm Crook
19,Initiate's Spinning Wheel
20,Blank Grade 1 Orchestrion Roll
20,Iron Lance
20,Initiate's Fishing Rod
20,Ash Mask (Lapis Lazuli)
21,Yew Lumber
21,Elm Velocity Bow
21,Yew Radical
22,Iron Guisarme
22,Mudstone Grinding Wheel
23,Elm Spinning Wheel
24,Wrapped Elm Longbow
24,Yew Crook
24,Elm Pattens
25,Walnut Lumber
25,Initiate's Grinding Wheel
25,Yew Fishing Rod
26,Ash Composite Bow
26,Pastoral Yew Cane
26,Viper-crested Round Shield
27,Silver Battle Fork
28,Elm Macuahuitl
29,Steel Halberd
29,Walnut Cane
29,Staghorn Fishing Rod
30,Steel Spear
30,Plumed Yew Crook
31,Ash Cavalry Bow
32,Oak Lumber
32,Walnut Fishing Rod
33,Walnut Spinning Wheel
33,Walnut Pattens
34,Walnut Macuahuitl
34,Siltstone Grinding Wheel
35,Heavy Steel Lance
35,Oak Longbow
35,Oak Radical
35,Vintage Square Shield
36,Yarzonshell Harpoon
36,Mythril Cavalry Bow
37,Pastoral Oak Cane
37,Horn Fishing Rod
38,Mythril Lance
38,Vintage Cane
39,Mahogany Lumber
39,Oak Pattens
40,Oak Composite Bow
40,Mahogany Spinning Wheel
40,Mahogany Fishing Rod
41,Plumed Oak Macuahuitl
42,Sprouting Rosewood Radical
43,Garnet Grinding Wheel
43,Vintage Round Shield
44,Cobalt Halberd
44,Jade Crook
45,Rosewood Lumber
45,Cobalt Cavalry Bow
45,Rosewood Spinning Wheel
45,Rosewood Fishing Rod
45,Eagle-crested Round Shield
45,Vintage Guisarme
46,Yew Longbow
47,Cobalt Trident
47,Basilisk Grinding Wheel
47,Vintage Bow
48,Pastoral Mahogany Cane
48,Gilded Rosewood Fishing Rod
48,Mahogany Pattens
49,Hart Guisarme
49,Crab Bow
50★,Spruce Lumber
50★,Champion's Lance
50★,Longarm's Composite Bow
50★,Militia Grinding Wheel
50★,Militia Spinning Wheel
50★★,Treated Spruce Lumber
50★★,Sarnga Limb
50★★,Sarnga
50★★,Spruce Round Shield
50★★,Spruce Pattens
50★★,Magicked Stable Broom
50★★★,Blank Grade 2 Orchestrion Roll
50★★★,Magic Broom
51,Cedar Lumber
51,Mythrite Trident
51,Cedar Longbow
51,Cedar Crook
52,Holy Cedar Lumber
52,Mythrite Pugil Stick
52,Holy Cedar Composite Bow
52,Cedar Fishing Rod
53,Astral Grinding Wheel
53,Holy Cedar Spinning Wheel
53,Holy Cedar Armillae
53,Holy Cedar Ring
54,Dark Chestnut Lumber
54,Titanium Lance
54,Dark Chestnut Longbow
54,Dark Chestnut Rod
54,Holy Cedar Necklace
55,Dark Chestnut Fishing Rod
56,Hallowed Chestnut Lumber
56,Titanium Fork
56,Hallowed Chestnut Composite Bow
56,Cloud Mica Grinding Wheel
56,Dark Chestnut Spinning Wheel
56,Hallowed Chestnut Mask of Aiming
56,Hallowed Chestnut Mask of Casting
56,Hallowed Chestnut Mask of Healing
57,Hallowed Chestnut Fishing Rod
57,Hallowed Chestnut Ring
58,Birch Lumber
58,Adamantite Spear
58,Birch Longbow
58,Birch Signum
58,Hallowed Chestnut Armillae
59,Dragonscale Grinding Wheel
59,Birch Spinning Wheel
59,Hallowed Chestnut Necklace
60,Blank Grade 3 Orchestrion Roll
61,Beech Lumber
61,Beech Rod
61,Beech Mask of Healing
61,High Steel Trident
61,Beech Composite Bow
61,Muudhorn Fishing Rod
61,Beech Mask of Casting
62,Larch Lumber
62,High Steel Fork
62,Larch Composite Bow
62,Larch Wand
62,Stiperstone Grinding Wheel
62,Larch Spinning Wheel
63,Larch Earrings
63,Larch Necklace
63,Larch Bracelets
63,Larch Ring
64,Pine Lumber
64,Doman Iron Lance
64,Pine Composite Bow
64,Pine Cane
65,Slate Grinding Wheel
65,Pine Spinning Wheel
65,Pine Fishing Rod
66,Persimmon Lumber
66,Doman Steel Halberd
66,Persimmon Bow
66,Persimmon Cane
66,Gazelle Horn Fishing Rod
67,Polished Slate Grinding Wheel
67,Persimmon Spinning Wheel
67,Persimmon Earrings
67,Persimmon Necklace
67,Persimmon Bracelets
67,Persimmon Ring
68,Zelkova Lumber
68,Molybdenum Trident
68,Zelkova Longbow
68,Zelkova Cane
69,Zelkova Earrings
69,Zelkova Necklace
69,Zelkova Bracelets
69,Zelkova Ring
70,Almandine Grinding Wheel
70,Zelkova Spinning Wheel
70,Zelkova Fishing Rod
71,White Oak Lumber
71,White Oak Partisan
71,White Oak Composite Bow
71,White Oak Rod
71,White Oak Cane
71,White Oak Grinding Wheel
71,White Oak Spinning Wheel
71,White Oak Fishing Rod
71,White Oak Earrings
71,White Oak Necklace
71,White Oak Bracelets
71,White Oak Ring
72,Miracle Apple Lumber
72,Applewood Spear
72,Applewood Longbow
73,Applewood Staff
73,Applewood Cane
74,White Ash Lumber
74,Bluespirit Spear
74,Bluespirit Cane
74,White Ash Grinding Wheel
74,White Ash Spinning Wheel
74,White Ash Fishing Rod
75,White Ash Earring of Fending
75,White Ash Earring of Slaying
75,White Ash Erraing of Aiming
75,White Ash Earring of Casting
75,White Ash Earring of Healing
75,White Ash Earring
75,White Ash Necklace
75,White Ash Bracelet
75,White Ash Ring
76,Sandteak Lumber
76,Sandteak Fauchard
76,Sandteak Longbow
76,Sandteak Rod
76,Sandteak Cane
77,Sandteak Grinding Wheel
77,Sandteak Spinning Wheel
77,Sandteak Fishing Rod
78,Lignum Vitae Lumber
78,Dwarven Lignum Lance
78,Dwarven Lignum Bow
78,Dwarven Lignum Pole
78,Dwarven Lignum Cane
79,Lignum Vitae Earrings
79,Lignum Vitae Necklace
79,Lignum Vitae Bracelet
79,Lignum Vitae Ring
80,Lignum Vitae Grinding Wheel
80,Lignum Vitae Spinning Wheel
80,Lignum Vitae Fishing Rod
50★★,Spruce Plywood
50★★,Beach Chair
50★★,Round Stage
50★★★,Reinforced Spruce Plywood
50★★★,Petrified Orb
50★★★,Ancient Lumber
50★★★,Perfect Firewood
50★★★,Artisan's Grinding Wheel
50★★★,Artisan's Spinning Wheel
50★★★,Oriental Deck
50★★★,Glade Partition Door
50★★★,Oasis Partition Door
50★★★,Staggered Shelf
50★★★,Portable Stepladder
50★★★,Glade Bachelor's Desk
56,Cassia Lumber
50★★★★,Ebony Lumber
50★★★★,Wootz Spear
50★★★★,Mighty Thunderbolt
50★★★★,Ebony Longbow
50★★★★,Mighty Thunderdart
50★★★★,Ebony Staff
50★★★★,Ebony Cane
50★★★★,High Adjudicator's Gavel
50★★★★,Artisan's Sandals
58,The Unending Journey
60,Adamantite Trident
60,Birch Composite Bow
60,Birch Rod
60,Birch Fishing Rod
60,Hive Ceiling Fan
60★,Cassia Block
60★,Dispelling Arrow
60★,Clockwork Barrow
60★,Unfinished Interior Wall
60★,Unfinished Wood Flooring
60★,Magnificent Mogdelier
60★,Deep Hive Ceiling Fan
60★,Bar Stool
60★,Gordian Bureau
60★,Bar Counter
60★,Stuffed Carbuncle
60★★,Astral Birch Lumber
60★★,Sun Mica Grinding Wheel
60★★,Astral Birch Spinning Wheel
60★★,Astral Birch Necklace
60★★,Astral Birch Armillae
60★★,Astral Birch Ring
60★★,Mhachi Coffin
60★★,Savage Gordian Bureau
60★★,Tiny Bronco Miniature
60★★,Invincible Miniature
60★★,Enterprise Miniature
60★★,Invincible II Miniature
60★★,Odyssey Miniature
60★★,Tatanora Miniature
60★★,Viltgance Miniature
60★★,Camphorwood Lumber
60★★,Endless Expanse Partisan
60★★,Dead Hive Spear
60★★,Endless Expanse Longbow
60★★,Dead Hive Bow
60★★,Endless Expanse Cane
60★★,Dead Hive Cane
60★★,Shishi-odoshi
60★★,Orchestrion
60★★,Pudding Desk
60★★,Troupe Stage
60★★,Tier 3 Aquarium
60★★★,Treated Camphorwood Lumber
60★★★,Halberd of the Round
60★★★,Pike of the Fiend
60★★★,Seeing Horde Spear
60★★★,Pike of the Goddess
60★★★,Bow of the Round
60★★★,Bow of the Fiend
60★★★,Seeing Horde Bow
60★★★,Bow of the Goddess
60★★★,Cane of the Round
60★★★,Cane of the Fiend
60★★★,Camphorwood Necklace of Fending
60★★★,Camphorwood Necklace of Slaying
60★★★,Camphorwood Necklace of Aiming
60★★★,Camphorwood Necklace of Casting
60★★★,Camphorwood Necklace of Healing
60★★★,Camphorwood Armillae of Fending
60★★★,Camphorwood Armillae of Slaying
