Level,Name
1,Copper Ingot
2,Bone Hora
3,Bone Brand
4,Copper Rings
5,Bone Staff
5,Copper Gorget
5,Copper Wristlets
6,Ragstone Whetstone
6,Copper Earrings
7,Copper Ring
7,Bone Ring
8,Copper Needle
8,Bone Necklace
9,Ramhorn Staff
9,Copper Choker
10,Ramhorn Claws
10,Copper Scepter
10,Bone Armillae
11,Copper Ear Cuffs
12,Bronze Scepter
12,Amateur's Needle
13,Sunstone
13,Danburite
13,Fluorite
13,Decorated Bone Staff
14,Sphene
14,Malachite
14,Lapis Lazuli
14,Brass Ingot
14,Brass Cudgel
14,Brass Spectacles
15,Brass Rings
15,Fang Earrings
15,Brass Gorget
15,Brass Wristlets
16,Bat Fang Needle
16,Brass Wristlets of Crafting
17,Toothed Ramhorn Staff
17,Brass Earrings
17,Fang Necklace
18,Brass Circlet (Sunstone)
18,Brass Circlet (Danburite)
18,Brass Circlet (Fluorite)
19,Staghorn Staff
19,Brass Circlet (Sphene)
19,Brass Circlet (Malachite)
19,Brass Circlet (Lapis Lazuli)
19,Coral Armillae
20,Mudstone Whetstone
20,Decorated Copper Scepter
20,Brass Ring
20,Brass Ring of Crafting
20,Crow Fly
21,Brass Ear Cuffs
21,Brass Choker
21,Coral Ring
22,Eye of Ice
22,Eye of Water
22,Eye of Lightning
22,Brass Needle
22,Floating Minnow
23,Eye of Earth
23,Eye of Wind
23,Eye of Fire
23,Silver Ingot
23,Wind Brand
23,Sanguine Horn Staff
23,Oval Spectacles
23,Contemporary Pince-nez
23,Brass Spoon Lure
24,Silver Rings
24,Initiate's Needle
24,Silver Spectacles
24,Horn Earrings
25,Ice Brand
25,Toothed Staghorn Staff
25,Silver Magnifiers
25,Silver Gorget
25,Silver Wristlets
25,Silver Wristlets of Crafting
25,Flawless Band
26,Silver Scepter
26,Silver Needle
26,Silver Earrings
26,Horn Necklace
26,Silver Ring
26,Silver Ring of Crafting
27,Sunstone Earrings
27,Danburite Earrings
27,Sunstone Choker
27,Danburite Choker
27,Sunstone Bracelet
27,Danburite Bracelet
27,Sunstone Ring
27,Danburite Ring
27,Chocobo Fly
28,Fluorite Earrings
28,Lapis Lazuli Earrings
28,Fluorite Choker
28,Lapis Lazuli Choker
28,Fluorite Bracelet
28,Lapis Lazuli Bracelet
28,Fluorite Ring
28,Lapis Lazuli Ring
29,Sphene Earrings
29,Sphene Choker
29,Sphene Bracelet
29,Sphene Ring
30,Cut Stone
30,Siltstone Whetstone
30,Malachite Earrings
30,Malachite Choker
30,Malachite Bracelet
30,Malachite Ring
31,Goathorn Staff
31,Silver Ear Cuffs
31,Silver Choker
31,Horn Armillae
31,Horn Ring
32,Aquamarine
32,Amethyst
32,Garnet
32,Goshenite
32,Heliodor
32,Peridot
32,Worm Fang Needle
32,Silver Monocle
32,Steel Jig
32,Silver Spoon Lure
33,Silver Circlet (Aquamarine)
33,Silver Circlet (Amethyst)
33,Silver Circlet (Garnet)
33,Silver Circlet (Goshenite)
33,Silver Circlet (Heliodor)
33,Silver Circlet (Peridot)
34,Mythril Ingot
34,Crabshell Hora
34,Earth Brand
34,Decorated Silver Scepter
34,Silver Star Globe
34,Steel Goggles
34,Mythril Magnifiers
34,Mythril Spectacles
34,Sinking Minnow
35,Mythril Rings
35,Fire Brand
35,Toothed Goathorn Staff
35,Wolf Earrings
35,Mythril Earrings
35,Mythril Gorget
35,Mythril Wristlets
35,Mythril Wristlets of Crafting
35,Vintage Cudgel
36,Pearl
36,Mythril Needle
36,Wolf Necklace
36,Mythril Ring
36,Mythril Ring of Crafting
36,Wildfowl Fly
37,Aquamarine Choker
37,Amethyst Choker
37,Garnet Choker
37,Goshenite Choker
37,Heliodor Choker
37,Peridot Choker
37,Pearl Choker
38,Mythril Star Globe
38,Aquamarine Bracelet
38,Amethyst Bracelet
38,Garnet Bracelet
38,Goshenite Bracelet
38,Heliodor Bracelet
38,Peridot Bracelet
38,Pearl Bracelet
39,Aquamarine Earrings
39,Amethyst Earrings
39,Garnet Earrings
39,Goshenite Earrings
39,Aquamarine Ring
39,Amethyst Ring
39,Garnet Ring
39,Goshenite Ring
39,Spinner
40,Jadeite
40,Basilisk Whetstone
40,Altered Mythril Magnifiers
40,Classic Spectacles
40,Oval Reading Glasses
40,Heliodor Earrings
40,Peridot Earrings
40,Red Coral Armillae
40,Heliodor Ring
40,Peridot Ring
40,Heavy Steel Jig
41,Amber
41,Zircon
41,Spinel
41,Turquoise
41,Tourmaline
41,Rubellite
41,Horn Staff
41,Mythril Planisphere
41,Pearl Earrings
41,Mythril Ear Cuffs
41,Mythril Choker
41,Pearl Ring
41,Mythril Spoon Lure
42,Electrum Ingot
42,Tortoiseshell Hora
42,Lightning Brand
42,Wolf Fang Needle
42,Mythril Circlet (Amber)
42,Mythril Circlet (Zircon)
42,Mythril Circlet (Spinel)
42,Mythril Circlet (Turquoise)
42,Mythril Circlet (Tourmaline)
42,Mythril Circlet (Rubellite)
43,Electrum Rings
43,Electrum Scepter
