Level,Name
1,Leather
1,Leather Calot
2,Leather Wristguards
2,Leather Duckbills
3,Leather Shepherd's Belt
3,Merchant's Purse
3,Leather Duckbills of Gathering
4,Leather Eyepatch
4,Fingerless Leather Gloves
4,Leather Belt
4,Leather Shoes
5,Leather Culottes
5,Leather Crakows
5,Altered Thighboots
5,Leather Choker
6,Leather Lightmitts
6,Leather Ringbands
6,Leather Mitts
6,Leather Boots
7,Leather Himantes
7,Leather Wristbands
8,Hard Leather
8,Hard Leather Pot Helm
8,Leather Sandals
8,Leather Leggings
8,Altered Leather Thighboots
9,Amateur's Smithing Gloves
9,Amateur's Thighboots
9,Amateur's Duckbills
10,Leather Jacket
10,Hard Leather Wristguards
10,Hard Leather Merchant's Pouch
11,Amateur's Headgear
11,Leather Survival Belt
11,Hard Leather Shoes
12,Hard Leather Harness
12,Hard Leather Satchel Belt
12,Leather Jackboots
12,Hard Leather Sandals
13,Leather Targe
13,Hard Leather Armguards
13,Hard Leather Hunting Belt
14,Hard Leather Himantes
14,Hard Leather Eyepatch
14,Hard Leather Lightmitts
14,Hard Leather Lightpouch
14,Hard Leather Subligar
14,Hard Leather Kecks
14,Hard Leather Caligae
14,Hard Leather Thighboots
15,Fingerless Hard Leather Gloves
15,Hard Leather Boots
15,Hard Leather Crakows
15,Hard Leather Choker
16,Hard Leather Ringbands
16,Hard Leather Shepherd's Belt
16,Hard Leather Belt
17,Aldgoat Leather
17,Hard Leather Skullcap
17,Hard Leather Espadrilles
17,Hard Leather Wristbands
17,Hard Leather Wristbands of Gathering
18,Hard Leather Cesti
18,Goatskin Wristguards
18,Goatskin Mitts
19,Goatskin Pot Helm
19,Goatskin Tool Belt
19,Goatskin Leggings
20,Initiate's Gloves
20,Goatskin Ring
21,Padded Leather Duckbills
21,Padded Leather Duckbills of Gathering
21,Initiate's Thighboots
22,Initiate's Headgear
22,Goatskin Jacket
22,Goatskin Armguards
22,Goatskin Brais
23,Goatskin Eyepatch
23,Goatskin Lightmitts
23,Voyager's Belt
23,Goatskin Leg Guards
24,Goatskin Satchel Belt
24,Goatskin Belt
24,Goatskin Breeches
24,Goatskin Duckbills
25,Fingerless Goatskin Gloves
25,Fingerless Goatskin Gloves of Gathering
25,Goatskin Espadrilles
26,Toad Leather
26,Goatskin Crakows
26,Goatskin Choker
27,Goatskin Ringbands
27,Toadskin Survival Belt
27,Goatskin Crakows of Gathering
27,Goatskin Boots
27,Altered Goatskin Moccasins
27,Goatskin Wristbands of Gathering
28,Toadskin Cesti
28,Toadskin Hunting Belt
29,Goatskin Targe
29,Toadskin Brais
29,Goatskin Wristbands
30,Toadskin Jerkin
30,Toadskin Jacket
30,Toadskin Armguards
30,Toadskin Boots
31,Toadskin Voyager's Belt
31,Toadskin Culottes
31,Toadskin Leg Guards
31,Toadskin Workboots
32,Toadskin Belt
32,Toadskin Breeches
32,Toadskin Ring
33,Boar Leather
33,Boarskin Himantes
33,Skull Eyepatch
33,Fingerless Boarskin Gloves
33,Boarskin Satchel Belt
34,Fingerless Boarskin Gloves of Gathering
34,Boarskin Choker
35,Boarskin Survival Hat
35,Toadskin Duckbills
35,Boarskin Crakows
35,Boarskin Crakows of Gathering
35,Altered Boarskin Thighboots
35,Boarskin Survival Boots
35,Vintage Shepherd's Belt
36,Boarskin Ringbands
36,Boarskin Wristbands
36,Boarskin Wristbands of Gathering
37,Boarskin Pot Helm
37,Altered Boarskin Pot Helm
37,Boarskin Harness
37,Boarskin Shepherd's Belt
37,Boarskin Subligar
37,Vintage Chef's Belt
38,Peiste Leather
38,Fingerless Peisteskin Gloves
38,Boarskin Breeches
38,Peisteskin Crakows
38,Peisteskin Crakows of Gathering
39,Peisteskin Harness
39,Fingerless Peisteskin Gloves of Gathering
39,Boarskin Thighboots
39,Boarskin Ring
39,Vintage Smithy's Gloves
40,Highland Hood
40,Highland Smock
40,Boarskin Smithy's Gloves
40,Highland Mitts
40,Peisteskin Hunting Belt
40,Boarskin Tool Belt
40,Boarskin Survival Belt
40,Boarskin Duckbills
40,Highland Boots
40,Highland Barding
41,Raptor Leather
41,Boarskin Belt
41,Peisteskin Subligar
41,Boarskin Culottes
41,Boarskin Skirt
41,Boarskin Moccasins
41,Vintage Thighboots
42,Raptorskin Targe
42,Boarskin Workboots
43,Uraeus Leather
