Level,Name
1,Hull Interior Component
1,Bladder Component
1,Bladder Lining Component
1,Starboard Hull Component
1,Larboard Hull Component
3,Propulsion Engine Component
3,Gyrodrive Component
3,Rigging Component
3,Deck Component
3,Engine Casing Component
3,Crafting Tool Component
6,Engine Jointing Component
6,Cockpit Exterior Component
6,Cockpit Interior Component
6,Ballast Component
6,Instrument Panel Component
6,Aerodynamo Component
10,Starboard Wing Component
10,Larboard Wing Component
10,Starboard Wing Control Component
10,Larboard Wing Control Component
10,Transmission Component
10,Heat Vent Component
15,Helm Component
15,Speaking Tube Component
15,Lamp Component
15,Exhaust Outlet Component
15,Disposal Unit Component
15,Ceruleum Tank Component
15,Steering Mechanism Component
16,Escape Flyer Component
16,Spare Tank Component
16,Refabrication Component
16,Isolator Component
16,Hyperconductor Component
16,Auxiliary Aerodynamo Component
16,Decorative Plating Component
18,Finishing Component
18,Figurehead Component
30,Abyssal Blue Dye
30,Celeste Green Dye
30,Colibri Pink Dye
30,Dalamud Red Dye
30,Deepwood Green Dye
30,Honey Yellow Dye
30,Hunter Green Dye
30,Kobold Brown Dye
30,Loam Brown Dye
30,Lotus Pink Dye
30,Millioncorn Yellow Dye
30,Morbol Green Dye
30,Ochu Green Dye
30,Othard Blue Dye
30,Plum Purple Dye
30,Pumpkin Orange Dye
30,Regal Purple Dye
30,Royal Blue Dye
30,Snow White Dye
30,Soot Black Dye
30,Storm Blue Dye
30,Sunset Orange Dye
30,Void Blue Dye
30,Wine Red Dye
30,Woad Blue Dye
50,Training Supplies
50,Repurposed Construction Component
50,Foundation Component
50,Basket Component
50,Wall Repair Supplies
50,Gathering Tool Component
50,Veneer Component
50,Aetheric Shielding
50,Stonemasonry Supplies
50,Exploding Kupo Nut
50,Austere Offering
50,Shearing Machine Component
50,Water Filter Component
50,Mogstew Miscellany
50,Moogle Statuette
50,Makeshift Toy Airship
50,Dragonscale Rasp
50,Cloudfish Lure
50,Ishgardian Cuisine Miscellany
50,Treadwheel Crane Components
50,Moogle Molifier
50,Fake Kupo Nut
50,Horn Component
50,Moogle Tool Component
50,Statue Supplies
50,Tablet Supplies
50★★,Magitek Repair Materials
57,Near Eastern Antique Component
57,Near Eastern Antique
58,Coerthan Souvenir Component
58,Coerthan Souvenir
59,Maelstrom Material Component
59,Maelstrom Material
60,Heartfelt Gift Component
60,Heartfelt Gift
60★,Orphanage Donation Component
60★,Orphanage Donation
61,Gold Saucer Consolation Prize Component
61,Gold Saucer Consolation Prize
62,Gyr Abanian Remedy Components
62,Gyr Abanian Remedies
62,Harpoon Materials
62,Anti-shark Harpoon
62,M Tribe Sundry Component
62,M Tribe Sundries
63,Cold-weather Gear Components
63,Coerthan Cold-weather Gear
63,Resistance Material Component
63,Resistance Material
63,Sui-no-Sato Special Components
63,Sui-no-Sato Special
64,Cloud Pearl Components
64,Cloud Pearl
66,Ishgardian Culinary Materials
66,Ishgardian Culinary Essentials
66,Juice Fermenting Supplies
66,Fermented Juice
67,Signature Buuz Cookware Materials
67,Signature Buuz Cookware
67,Decorative Tavern Furnishing Materials
67,Hard Place Decorative Furnishings
68,Arkhi Brewing Vat Materials
68,Arkhi Brewing Set
70,Flyer Printing Set
70★,Kholusian Cuisine Set
71,Honeybee Trappings
72,Airship Fittings
73,Beehive Souvenir
