Level,Name
1,Hempen Yarn
2,Undyed Hempen Cloth
2,Hempen Halfgloves
2,Hempen Underpants
2,Hempen Pantalettes
3,Hempen Coif
3,Hempen Undershirt
3,Hempen Camise
3,Hempen Breeches of Crafting
4,Hempen Coif of Gathering
4,Hempen Kurta
4,Hempen Dalmatica
4,Hempen Shepherd's Slops
4,Hempen Breeches
5,Hempen Bandana
5,Hempen Dalmatica of Gathering
5,Hempen Tunic
5,Hempen Cowl
5,Hempen Sarouel
5,Hempen Chausses
5,Hempen Tights
6,Hempen Hat
6,Hempen Tabard
6,Hempen Shepherd's Tunic
6,Hempen Shortgloves
7,Hempen Halfrobe
7,Hempen Work Gloves
7,Hempen Sash
8,Hempen Acton
8,Hempen Kecks
8,Hempen Gaskins
9,Amateur's Kurta
9,Amateur's Doublet Vest
9,Hempen Bottoms
9,Amateur's Slops
10,Amateur's Hempen Coif
10,Amateur's Dalmatica
10,Hempen Trousers
10,Amateur's Breeches
11,Straw Hat
11,Hempen Bracers
11,Hempen Dress Gloves
12,Cotton Yarn
12,Stablemaid's Hat
12,Hempen Doublet Vest of Gathering
12,Hempen Doublet Vest of Crafting
12,Hempen Robe
13,Undyed Cotton Cloth
13,Cotton Turban
13,Stablehand's Hat
13,Altered Cotton Bandana
13,Striped Cotton Slops
14,Cotton Shirt
14,Cotton Cowl
14,Cotton Longsash
14,Cotton Sarouel
14,Cotton Chausses
14,Cotton Tights
15,Cotton Scarf
15,Cotton Halfgloves
15,Cotton Shepherd's Slops
16,Hunting Hat
16,Cotton Shepherd's Tunic
16,Cotton Tabard
16,Rope Belt
16,Padded Hempen Trousers
17,Cotton Dalmatica
17,Cotton Dalmatica of Gathering
17,Altered Cotton Dalmatica
17,Cotton Trousers
18,Cotton Canvas
18,Cotton Kurta
19,Cotton Coif
19,Cotton Coif of Gathering
19,Cotton Acton
19,Cotton Breeches
19,Cotton Breeches of Crafting
20,Initiate's Doublet Vest
20,Cotton Work Gloves
20,Initiate's Slops
20,Padded Cotton Trousers
21,Cotton Dress Gloves
21,Cotton Sash
22,Cotton Halfrobe
22,Cotton Gaskins
22,Cotton Dress Shoes
23,Dew Thread
23,Cotton Sugarloaf Hat
23,Cotton Doublet Vest of Gathering
23,Cotton Doublet Vest of Crafting
23,Cotton Trapper's Tunic
23,Cotton Bracers
24,Undyed Velveteen
24,Initiate's Gown
24,Cotton Robe
24,Velveteen Halfgloves
24,Cotton Kecks
24,Velveteen Chausses
25,Velveteen Bandana
25,Velveteen Sarouel
25,Velveteen Sarouel of Gathering
25,Striped Velveteen Slops
26,Velveteen Turban
26,Altered Velveteen Bandana
26,Velveteen Shirt
26,Tarred Velveteen Longsash
27,Velveteen Wedge Cap of Crafting
27,Velveteen Cowl
27,Velveteen Rope Belt
27,Velveteen Tights
28,Velveteen Wedge Cap of Gathering
28,Velveteen Coatee of Gathering
28,Velveteen Half Apron
28,Velveteen Trousers
28,Velveteen Gaiters
29,Velveteen Beret
29,Velveteen Coatee of Crafting
29,Velveteen Shortgloves
30,Velveteen Gown
30,Velveteen Work Gloves
30,Velveteen Bottom
30,Padded Velveteen Trousers
30,Velveteen Dress Shoes
31,Velveteen Robe
31,Velveteen Bliaud
31,Velveteen Dress Gloves
31,Velveteen Gloves
31,Velveteen Sash
31,Velveteen Gaskins
31,Altered Velveteen Hose
32,Linen Yarn
32,Velveteen Sugarloaf Hat
32,Velveteen Doublet Vest of Crafting
33,Undyed Linen
33,Velveteen Doublet Vest of Gathering
33,Linen Halfgloves
33,Linen Chausses
34,Linen Turban
34,Linen Bandana
34,Linen Shirt
34,Linen Sarouel
34,Linen Sarouel of Gathering
35,Linen Hat
35,Linen Robe
35,Linen Survival Shirt
35,Extreme Survival Shirt
35,Linen Tights
35,Altered Linen Chausses
35,Linen Survival Halfslops
35,Extreme Survival Slops
35,Vintage Half Apron
36,Linen Canvas
36,Angler's Hat
36,Linen Cowl
36,Altered Linen Cowl
36,Linen Longsash
36,Linen Trousers
37,Linen Wedge Cap of Crafting
37,Linen Half Apron
37,Linen Bottom
37,Linen Gaiters
37,Vintage Coatee
38,Woolen Yarn
38,Linen Wedge Cap of Gathering
38,Linen Coatee of Crafting
38,Linen Coatee of Gathering
38,Linen Shortgloves
38,Vintage Doublet Vest
39,Undyed Woolen Cloth
39,Woolen Coif
39,Woolen Turban
39,Woolen Shirt
39,Linen Bliaud
39,Altered Woolen Shirt
39,Woolen Sash
39,Linen Gaskins
39,Padded Linen Trousers
40,Woolen Coif of Gathering
40,Woolen Hat
40,Linen Deerstalker
40,Red Beret
40,Woolen Sarouel
40,Woolen Sarouel of Gathering
40,Vintage Chef's Apron
41,Green Beret
41,Woolen Robe
41,Linen Smock
41,Altered Woolen Gown
41,Woolen Dress Gloves
41,Woolen Tights
41,Altered Woolen Chausses
41,Vintage Chef's Hat
42,Felt Lining
42,Woolen Beret
42,Ranger's Hat
42,Woolen Cavalier's Hat
42,Altered Woolen Hat
42,White Beret
42,Linen Doublet
42,Woolen Gown
42,Ranger's Tunic
42,Woolen Tunic
42,Woolen Bracers
42,Altered Woolen Bracers
42,Linen Slops
42,Woolen Chausses
42,Woolen Kecks
42,Woolen Gaskins
42,Woolen Dress Shoes
43,Undyed Felt
43,Felt Coif
43,Woolen Bliaud
43,Woolen Halfgloves
43,Woolen Work Gloves
43,Woolen Trousers
43,Altered Woolen Trousers
43,Vintage Hose
44,Felt Coif of Gathering
44,Woolen Deerstalker
44,Felt Hat
44,Woolen Smock
44,Woolen Doublet
44,Felt Robe
44,Woolen Slops
44,Vintage Seneschal Coatee
45,Rainmaker's Hat
45,Flat Cap
45,Wool Knit Cap
45,Woolen Cowl
45,Rainmaker's Tunic
45,Felt Gown
45,Altered Woolen Cowl
45,Wool Suspenders
45,Felt Halfgloves
45,Felt Sash
45,Felt Chausses
45,Felt Kecks
45,Cropped Wool Slops
45,Vintage Jester's Cap
46,Felt Beret
46,Felt Bracers
46,Felt Work Gloves
46,Felt Dress Shoes
46,Vintage Coif
47,Felt Cavalier's Hat
47,Altered Felt Hat
47,Felt Gaskins
47,Padded Woolen Trousers
47,Woolen Trousers Of Fending
47,Felt Breeches
47,Vintage Robe
48,Felt Bliaud
48,Altered Felt Robe
48,Felt Dress Gloves
48,Felt Gloves
48,Felt Trousers
49,Woolen Bandana
50,Patrician's Wedge Cap
50,Patrician's Coatee
50,Patrician's Gloves
50,Patrician's Bottoms
50,Patrician's Gaiters
50,Wind-up Qiqirn
50,Wind-up Aldgoat
50★,Silk Thread
50★,Jute Yarn
50★,Imperial Operative Hat
50★,Militia Hat
50★,Coronal Straw Hat
50★,Moonfire Hat
50★,Imperial Operative Dalmatica
50★,Militia Robe
50★,Sailor Shirt
50★,Moonfire Vest
50★,Moonfire Halter
50★,Militia Tights
50★,Militia Trousers
50★,Sailor Brais
50★,Moonfire Trunks
50★,Moonfire Tanga
50★,Weaver's Gibus
50★,Carpenter's Hood
50★,Hamlet Cutter's Hat
50★,Culinarian's Hat
50★,Carpenter's Gown
50★,Armorer's Gown
50★,Goldsmith's Doublet
50★,Weaver's Swallowtail
50★,Alchemist's Coat
50★,Culinarian's Apron
50★,Alchemist's Gloves
50★,Culinarian's Mitts
50★,Botanist's Gloves
50★,Blacksmith's Slops
50★,Armorer's Slops
50★,Goldsmith's Trousers
50★,Leatherworker's Trousers
50★,Weaver's Trousers
50★,Alchemist's Trousers
50★,Culinarian's Trousers
50★,Botanist's Slops
50★,Fisher's Gaskins
50★★,Vanya Silk
50★★,Vanya Silk Robe Lining
50★★,Vanya Silk Crakow Lining
50★★,Vanya Silk Glove Lining
50★★,Vanya Silk Hat Lining
50★★,Vanya Hat of Casting
50★★,Vanya Hat of Healing
50★★,Vanya Robe of Casting
50★★,Vanya Robe of Healing
50★★,Taffeta Shawl
50★★,Vanya Gloves of Casting
50★★,Vanya Gloves of Healing
50★★,Vanya Sash of Healing
50★★,Vanya Sash of Casting
50★★,Vanya Trousers
50★★,Vanya Breeches of Casting
50★★,Vanya Breeches of Healing
50★★,Taffeta Loincloth
50★★,Vanya Crakows
50★★★,Spring Straw Hat
50★★★,Cloche
50★★★,Spring Dress
50★★★,Coronal Wristband
50★★★,Spring Skirt
50★★★,Plain Long Skirt
50★★★,Spring Dress Shoes
50★★★,Plush Cushion
50★★★★,Nana Bear
51,Rainbow Cloth
51,Rainbow Thread
51,Rainbow Coif of Scouting
51,Rainbow Cap of Aiming
51,Rainbow Cap of Casting
51,Rainbow Cap of Healing
51,Rainbow Halfgloves of Scouting
51,Rainbow Sash of Scouting
51,Rainbow Sash of Aiming
51,Rainbow Sash of Casting
51,Rainbow Sash of Healing
51,Rainbow Bolero of Striking
51,Rainbow Shirt of Scouting
51,Rainbow Robe of Aiming
51,Rainbow Robe of Casting
51,Rainbow Robe of Healing
51,Rainbow Justaucorps
51,Rainbow Bustle
51,Rainbow Culottes of Striking
51,Rainbow Sarouel of Scouting
51,Rainbow Slops of Aiming
51,Rainbow Slops of Casting
51,Rainbow Slops of Healing
51,Rainbow Breeches
51,Rainbow Ribbon of Fending
51,Rainbow Ribbon of Slaying
51,Rainbow Ribbon of Aiming
51,Rainbow Ribbon of Casting
51,Rainbow Ribbon of Healing
52,Holy Rainbow Cloth
52,Holy Rainbow Scarf of Scouting
52,Holy Rainbow Hat of Aiming
52,Holy Rainbow Sarouel of Fending
52,Holy Rainbow Sarouel of Maiming
52,Holy Rainbow Sarouel of Striking
52,Holy Rainbow Sarouel of Scouting
52,Holy Rainbow Sarouel of Aiming
52,Holy Rainbow Sarouel of Casting
52,Holy Rainbow Sarouel of Healing
53,Holy Rainbow Wedge Cap
53,Holy Rainbow Hat
53,Holy Rainbow Shirt of Fending
53,Holy Rainbow Shirt of Maiming
53,Holy Rainbow Shirt of Striking
53,Holy Rainbow Shirt of Scouting
53,Holy Rainbow Shirt of Aiming
53,Holy Rainbow Shirt of Casting
53,Holy Rainbow Shirt of Healing
53,Holy Rainbow Gloves
53,Holy Rainbow Work Gloves
54,Ramie Cloth
54,Ramie Thread
54,Holy Rainbow Hat of Healing
54,Holy Rainbow Coatee
54,Ramie Halfgloves of Casting
54,Ramie Halfgloves of Healing
54,Holy Rainbow Apron
54,Holy Rainbow Bottoms
54,Holy Rainbow Shoes
54,Ramie Ribbon of Fending
54,Ramie Ribbon of Slaying
54,Ramie Ribbon of Aiming
54,Ramie Ribbon of Casting
54,Ramie Ribbon of Healing
55,Ramie Turban of Crafting
55,Ramie Hood
55,Ramie Robe of Casting
55,Ramie Robe of Healing
55,Ramie Tabard
55,Ramie Poncho
55,Ramie Trousers of Striking
55,Ramie Trousers of Scouting
55,Ramie Trousers of Aiming
55,Ramie Tonban of Casting
55,Ramie Tonban of Healing
55,Ramie Kecks
55,Ramie Pantalettes
55,Ramie Slops
56,Hallowed Ramie Cloth
56,Ramie Doublet of Crafting
56,Ramie Shirt
56,Hallowed Ramie Sash of Aiming
56,Hallowed Ramie Sash of Casting
56,Hallowed Ramie Sash of Healing
56,Ramie Skirt
56,Ramie Trousers of Gathering
56,Orthodox Barding
57,Crawler Silk
57,Hallowed Ramie Doublet of Aiming
57,Hallowed Ramie Doublet of Casting
57,Hallowed Ramie Doublet of Healing
57,Hallowed Ramie Gaskins of Aiming
57,Hallowed Ramie Gaskins of Casting
57,Hallowed Ramie Gaskins of Healing
58,Chimerical Felt
58,Chimerical Felt Cap of Striking
58,Chimerical Felt Cap of Scouting
58,Chimerical Felt Cap of Aiming
58,Chimerical Felt Klobuk of Healing
58,Chimerical Felt Gloves of Healing
58,Chimerical Felt Corset of Casting
58,Chimerical Felt Corset of Healing
59,Chimerical Felt Cyclas of Striking
59,Chimerical Felt Cyclas of Scouting
59,Chimerical Felt Cyclas of Aiming
59,Chimerical Felt Robe of Casting
59,Chimerical Felt Alb of Healing
59,Chimerical Felt Hose of Striking
59,Chimerical Felt Hose of Scouting
59,Chimerical Felt Hose of Aiming
59,Chimerical Felt Breeches of Casting
59,Chimerical Felt Chausses of Healing
61,Bloodhempen Cloth
61,Bloodhempen Yarn
61,Bloodhempen Armguards of Striking
61,Bloodhempen Armguards of Scouting
61,Bloodhempen Brais of Striking
61,Bloodhempen Brais of Scouting
61,Bloodhempen Culottes of Casting
61,Bloodhempen Culottes of Healing
61,Bloodhempen Turban of Crafting
61,Bloodhempen Vest of Striking
61,Bloodhempen Vest of Scouting
61,Bloodhempen Chestwrap of Casting
61,Bloodhempen Chestwrap of Healing
61,Bloodhempen Doublet of Crafting
61,Bloodhempen Skirt
61,Bloodhempen Trousers of Gathering
62,Ruby Cotton Cloth
62,Ruby Cotton Yarn
