Level,Name,Location
4,One Enchanted Eve,"Jadeite Thick (25,18)"
5,Clever Girls,"Jadeite Thick (25,19)"
5,Training Day,"Jadeite Thick (21,18)"
7,Lady Killer,"Greentear (29,21)"
8,A Mother Scorned,"Greentear (30,23)"
8,Something in the Water,"Jadeite Thick (23,24)"
9,Leader of the Pack,"Greentear (31,21)"
9,Alux of the Draw,"Greentear (25,25)"
10,Spirithold Run,"Greentear (27,24)"
10,Lethe on My Mind,"Bentbranch (18,19)"
11,The Sting,"Bentbranch (27,29)"
11,Love is in the Air,"Bentbranch (22,26)"
12,Sleep Tight,"Bentbranch (18,27)"
13,Bleeding Green,"Bentbranch (20,30)"
14,There's Something About Lou,"Bentbranch (14,25)"
30,Sprig Cleaning,"Sorrel Haven (15,17)"
30,What's Your Poison (FATE),"Sorrel Haven (15,20)"
31,Revenant Things,"Sorrel Haven (13,19)"
31,My Baby Green,"Sorrel Haven (13,22)"
31,The Lindwurm Has Turned,"Sorrel Haven (15,17)"
33,If I Only Had a Soul,"The Standing Corses (11,16)"
34,Asipatra Attacks,"Sorrel Haven (17,22)"
43,In Spite of It All,"The Standing Corses (11,18)"
50,Steel Reign,"Sorrel Haven (14,18)"
3,Dschubba Snacks,"Treespeak (25,28)"
3,Breaking Bud,"Treespeak (25,28)"
5,No Birds Allowed,"Treespeak (27,23)"
7,The Magical Fruit,"Peacegarden (28,19)"
8,Micromanaging,"Peacegarden (26,21)"
25,The Big Issue,"Alder Springs (22,26)"
27,Hare Today,"Alder Springs (14,25)"
27,It Ziz What It Is,"Alder Springs (18,26)"
28,That Which Binds Us (FATE),"Alder Springs (17,28)"
28,Waiting for a Moon to Fall,"Alder Springs (15,31)"
37,Smells Like Tree Spirit,"Proud Creek (23,24)"
37,Don't Disturb this Grove,"Proud Creek (22,23)"
47,Air Supply,"Proud Creek (19,20)"
48,Rude Awakening,"Proud Creek (21,19)"
11,Now I See Bees I Won,"The Honey Yard (11,24)"
11,Carrion Baggage,"The Honey Yard (12,26)"
16,Royal Rumble,"Nine Ivies (19,27)"
17,Stopping the Spread,"Nine Ivies (21,26)"
19,Jack of All Trades,"Nine Ivies (20,29)"
19,Ivy League,"Nine Ivies (20,29)"
20,Protecting the Patch,"The Bramble Patch (18,25)"
20,Lazy for You,"Nine Ivies (23,29)"
21,What Have You Done for Mead Lately,"Nine Ivies (17,26)"
23,Thunderstruck,"The Bramble Patch (19,21)"
40,All Vine and No Popotoes,"Larkscall (26,23)"
40,Collecting Keepsakes,"Larkscall (26,24)"
42,The Enemy of My Enemy,"Larkscall (27,21)"
42,A Wrench in the Works,"Larkscall (29,21)"
42,The Enmity of My Enemy,"Larkscall (27,21)"
43,The Squirrel Trapper's Wife,"Larkscall (23,20)"
44,Below His Station,"Larkscall (32,20)"
46,Got Milkroot,"Sylphlands (28,17)"
47,Breaking Dawn,"Sylphlands (32,14)"
47,Bush Blade,"Sylphlands (29,13)"
49,Everything's Better,"Larkscall (23,14)"
49,Handful of Dreams,"Sylphlands (24,11)"
49,The Gale that Rocks the Cradle,"Sylphlands (20,10)"
49,What a Boar,"Sylphlands (23,17)"
21,Stag Parting,"Upper Paths (15,18)"
22,To Whom the Toll Goes,"Upper Paths (20,20)"
22,Kickin' it with the Kedtraps,"Upper Paths (22,21)"
22,Another Round,"Upper Paths (17,20)"
23,The Hunted,"Upper Paths (19,22)"
24,Conspiracy Theory,"Upper Paths (16,22)"
28,The Negotiators,"Silent Arbor (26,22)"
29,Robbin' Goblins,"Silent Arbor (27,20)"
29,The Coeurl King,"Silent Arbor (30,19)"
29,Hide and Seek,"Silent Arbor (28,21)"
30,To Train a Tortoise,"Lower Paths (16,27)"
31,Fate is a Fecal Mistress,"Lower Paths (16,29)"
32,Breaching the Hive,"Upper Paths (22,18)"
32,Clearing the Hive,"Upper Paths (22,17)"
32,Defending the Hive,"Upper Paths (22,17)"
32,A Tale of Two-tails,"Lower Paths (15,33)"
33,Rogue on the Water,"Rootslake (19,29)"
34,Eft for Dead,"Lower Paths (21,29)"
46,What Gored Before,"Urth's Gift (32,25)"
