Level,Name,Location
52,"Glawackus On, Glawackus Off","The Dravanian Forelands (36,8)"
52,The Migas Touch,"Chocobo Forest (22,30)"
52,Bear Apparent,"Chocobo Forest (30,16)"
52,Ladies First,"Chocobo Forest (35,26)"
52,Nothing but the Truth,"The Smoldering Wastes (25,22)"
52,Long Live the Coeurl,"Chocobo Forest (35,25)"
52,"Run, Run Away","Chocobo Forest (38,20)"
52,Drone Under,"The Smoldering Wastes (26,33)"
52,Who's the Moss,"Chocobo Forest (35,17)"
52,By the Horns,"Chocobo Forest (34,31)"
52,Birds of a Feather,"Chocobo Forest (32,19)"
52,Dead Meat,"The Smoldering Wastes (24,20)"
52,The Whole Truth,"The Smoldering Wastes (24,21)"
52,The Rite Stuff,"Chocobo Forest (26,13)"
53,The Mourning After,"Mourn (18,6)"
53,Stamp the Yard,"The Dravanian Forelands (15,20)"
53,Special Tarasque Force,"Avalonia Fallen (13,36)"
53,Hearing Voices,"Mourn (13,18)"
53,Cerf's Up,"Avalonia Fallen (19,27)"
53,El Miacid,"Chocobo Forest (22,33)"
53,Elephant in the Brume,"Avalonia Fallen (16,35)"
57,Ware the Maiden Fair,"Avalonia Fallen (12,38)"
57,Come to My Arms,"Chocobo Forest (27,8)"
57,Coeurls Chase Boys,"Chocobo Forest (27,21)"
60,Coeurls Chase Boys Chase Coeurls,"Mourn (12,10)"
54,Glycon Air,"Landlord Colony (32,25)"
54,The Nuts,"Eil Tohm (30,27)"
54,End of the Rainbow,"Ohl Tahn (13,24)"
54,How to Cane Your Dragon,"Four Arms (17,32)"
54,Aevis Has Left the Building,"Four Arms (17,32)"
54,Mogicide,"Landlord Colony (22,21)"
54,"It's the Moogle, Reinvented","Four Arms (19.0,28.8)"
54,Sprite Club,"Eil Tohm (33,34)"
54,Vouivre Believre,"Landlord Colony (25,19)"
54,"Asah, I Came, I Conquered","Landlord Colony (21,29)"
54,Whole Food,"Landlord Colony (29,23)"
54,Ain't Misbehaving,"Four Arms (17,31)"
54,Wave Good-bye,"Eil Tohm (27,32)"
54,Corporal Pomishment,"Landlord Colony (20,23)"
54,Say it Tulihand,"Landlord Colony (27,20)"
54,Waugyl Waugyl Waugyl,"Eil Tohm (33,16)"
54,Supper Time,"Eil Tohm (36,32)"
55,Treehouse of the Spirits,"Ohl Tahn (8,14)"
55,Waiting for Fjalar to Stall,"Ohl Tahn (13,21)"
55,Infamous,"Four Arms (12,26)"
55,Darkscale Devoureth,"Ohl Tahn (18,9)"
55,Darkscale Descendeth,"Ohl Tahn (18,12)"
55,Coin Toss,"Landlord Colony (34,21)"
55,Rastaban Vibration,"Ohl Tahn (14,13)"
55,Darkscale Disappeareth,"Ohl Tahn (18,12)"
55,From Dusk Till Gone,"Ohl Tahn (20,17)"
56,As the World Burns,"Ohl Tahn (25,8)"
56,Don't Know Wyvern,"Ohl Tahn (8,17)"
56,Vedrfolnir Devoteth,"Greensward (11,36)"
58,Revenge of the Vengeful Revengeance,"The Collectors' Quarter (22,18)"
58,Silkworm,"The Answering Quarter (14,19)"
58,Ratel and Hum,"The Makers' Quarter (37,25)"
58,Pop Goes the Whizzle,"The Collectors' Quarter (21,18)"
58,Out of the Woodwork,"The Answering Quarter (10,25)"
58,"Sun Bear, Sun Bear, What Do You Eat","The Answering Quarter (16,22)"
58,"Tarantula Hawk, Pro Stinger","The Ruling Quarter (27,30)"
58,Toss 'Em Back,"The Answering Quarter (11,31)"
58,Wild Wilde Death,"The Makers' Quarter (33,26)"
58,Tome Raider,"The Answering Quarter (13,23)"
58,The Birds and the Bears,"The Answering Quarter (14,29)"
58,The Bear Up There,"The Answering Quarter (7,20)"
58,Olympus Has Pollen,"The Makers' Quarter (23,25)"
58,On Melancholic Hill,"The Answering Quarter (12,23)"
58,Gets the Red Out,"The Makers' Quarter (38,22)"
58,"Feed Me, See More","The Makers' Quarter (36,24)"
58,Dobharch Did It for the Best,"The Makers' Quarter (28,26)"
58,Metal Gears Revengeance,"The Makers' Quarter (32,22)"
58,Infant Vangob,"The Makers' Quarter (26,23)"
58,Metal Gears Revengeance 2,"The Makers' Quarter (31,22)"
58,Metal Gears Rising,"The Makers' Quarter (32,24)"
59,Morbol Man,"The Answering Quarter (13,31)"
59,Come Shells or High Water,"The Answering Quarter (15,33)"
59,Toad Alone,"The Answering Quarter (11,34)"
59,Poroggo Stuck,"The Answering Quarter (10,30)"
59,Makes the Very Best...Nests,"The Ruling Quarter (26,34)"
59,Cockatrice Block,"The Ruling Quarter (25,38)"
59,How Do You Feed a Hungry Manlike Monster,"The Ruling Quarter (14,36)"
59,Frog Days of Summer,"The Ruling Quarter (20,37)"
