Level,Name,Location
1,Unsafety Dance,Heartbreak Holt (14.1,21.8)
2,The Shadow Over Anemos,The Val River Swale (27.8,28.2)
3,Teles House,The Orchard (26.0,26.8)
4,The Swarm Never Sets,The Orchard (17.2,23.9)
5,One Missed Callisto,The Orchard (27.8,23.3)
6,By Numbers,The Orchard (23.2,22.7)
7,Disinherit the Wind,The Orchard (19.1,19.6)
8,Prove Your Amemettle,Klauser's Peace (14.7,15.9)
9,Caym What May,Klauser's Peace (12.6,12.4)
10,The Killing of a Sacred Bombadier,The Val River Swale (28.5,20.5)
11,Short Serket 2,The Val River Swale (24,20)
12,"Don't Judge Me, Morbol",The Val River Swale (22.2,14.9)
13,When You Ride Alone,The Val River Swale (20.0,13.4)
14,"Sing, Muse",The Anemos Seam (26.2,15.0)
15,Simurghasbord,The Anemos Seam (28.8,13.3)
16,To the Mat,Uncanny Valley (35.2,19.7)
17,Wine and Honey,Uncanny Valley (34.6,21.9)
18,I Amarok,Newvoid (8.2,17.9)
19,Drama Lamashtu,Newvoid (8.2,25.3)
20,Wail in the Willows,Newvoid (7.3,21.7)
20,Down the Rabbit Hole,Frozen Lake (18.2,26.9)
20,Eternity,Frozen Lake (21,26)
21,Cairn Blight 451,The Val River Belly (25,28)
22,Ash the Magic Dragon,The Val River Belly (29,30)
23,Conqueror Worm,The Val River Belly (32,26)
24,Melting Point,The Val River Belly (34,21)
25,The Wobbler in Darkness,The Val River Belly (28.5,22.4)
26,Does It Have to Be a Snowman,Brushtip Gap (17.4,16.2)
27,Disorder in the Court,Hot Water (10.5,10.5)
28,Cows for Concern,Hot Water (10.0,18.2)
29,Morte Arthro,Hot Water (8.5,15.5)
30,Brothers,The Bull's Pen (14.0,18.5)
31,Apocalypse Cow,Agaric Rock (26.0,17.1)
31,Curiouser and Curiouser,Brushtip Gap (21.1,21.4)
32,Third Impact,Agaric Rock (31.4,19.0)
33,Eye of Horus,The Mold Beds (25.5,20.2)
34,Eye Scream for Ice Cream,Corse Rise (24.4,25.3)
35,Cassie and the Copycats,The Barren Arena (22.0,14.5)
35,Louhi on Ice,Icebloom Cavern (35.7,18.7)
35,Medias Res,Northeastern Ice Needles (26.6,26.3)
35,We're All Mad Here,Northeastern Ice Needles (24.2,26.3)
36,High Voltage,Northeastern Ice Needles (29.1,29.6)
37,On the Non-Existent,Northeastern Ice Needles (31.9,32.0)
38,Creepy Doll,Southwestern Ice Needles (23.7,37.3)
39,"Quiet, Please",Southwestern Ice Needles (19.3,28.1)
40,Up and Batym,West Flamerock (17.9,14.3)
41,Rondo Aetolus,West Flamerock (10.2,14.0)
42,Scorchpion King,West Flamerock (12.8,11.5)
43,Burning Hunger,West Flamerock (15.4,6.6)
44,Dry Iris,West Flamerock (21.5,11.9)
45,Thirty Whacks,East Flamerock (22.0,7.9)
46,Put Up Your Dux,East Flamerock (27.0,9.1)
46,Uncommon Nonsense,East Flamerock (24.9,10.9)
47,You Do Know Jack,East Flamerock (30.0,11.6)
48,Mister Bright-eyes,East Flamerock (31.6,14.9)
49,Haunter of the Dark,The Cavern of the Second Cant (11,34)
50,Heavens' Warg,Southwestern Ice Needles , The Garden of Despite (23.9,30.0)
50,Lost Epic,East Flamerock - The Ring of Fire (35.5,6.1)
50,Drink Me,The Val River Source (13.8,21.6)
50,"I Ink, Therefore I Am",The West Val River Bank (10.8,25.6)
51,From Tusk till Dawn,The West Val River Bank (10.4,17.2)
52,Bullheaded Berserker,The West Val River Bank (8.1,21.8)
53,"Mad, Bad, and Fabulous to Know",The West Val River Bank (7.1,14.5)
54,Fearful Summetry,The West Val River Bank (8.2,26.1)
55,Crawling Chaos,The East Val River Bank (24.2,19.0)
56,Duty-free,The East Val River Bank (29.1,23.0)
57,Leukewarm,The East Val River Bank (37.4,26.4)
58,Robbing Barong,The East Val River Bank (32.2,25.3)
59,Stone-cold Killer,The East Val River Bank (36.3,14.0)
60,Crystalline Provenance,The Crystal Dragon's Bloom (32.8,19.5)
60,I Don't Want to Believe,The Val River Source (26.3,29.2)
60,The Baldesion Arsenal: Expedition Support ,The Val River Source (18.7,28.4)
