Level,Name,Location
3,I Melt with You,"Moraby Bay (26,25)"
4,You Call that a Toad,"Moraby Bay (24,22)"
5,Fight the Flower,"Cedarwood (30,19)"
7,Caving In,"Cedarwood (27,17)"
8,Man of the Flour,"Cedarwood (35,15)"
9,One Pickman Enters,"Cedarwood (31,12)"
9,Enter Beastmen,"Cedarwood (31,15)"
10,Under the Bridge,"The Gods' Grip (20,33)"
10,In the Name of Love,"The Gods' Grip (20,38)"
11,Away in a Bilge Hold,"The Gods' Grip (21,38)"
12,Don't Drink the Water,"The Gods' Grip (21,34)"
13,One Prince,"The Gods' Grip (19,37)"
3,On the Lamb,"Zephyr Drift (22,24)"
4,Taking It to the Streams,"Summerford (20,22)"
5,Yellow-bellied Greenbacks,"Zephyr Drift (24,27)"
5,Overnight Migration,"Summerford (22,20)"
6,Thwack-a-Mole,"Summerford (23,18)"
7,Crying over Spilled Salt,"Summerford (18,24)"
7,"Hello, Work","Summerford (22,18)"
8,Menuis at Work,"Summerford (18,17)"
9,The Orange Boxes,"Summerford (21,15)"
10,Shearing is Caring,"Three-malm Bend (16,14)"
12,Sister Crustacean,"Three-malm Bend (16,12)"
13,Go Wespe,"Three-malm Bend (14,15)"
14,The Truth Is out There,"Three-malm Bend (16,9)"
14,The Boy Who Cried Jackal,"Three-malm Bend (17,9)"
14,"A Mad, Mad, Mad Sergeant","Three-malm Bend (17,5)"
20,Poor Maid's Mess,"Poor Maid's Mill (12,24)"
20,Poor Maid's Misfortune,"Poor Maid's Mill (12,24)"
20,Poor Maid's Mishap,"Poor Maid's Mill (12,24)"
21,Giant Enemy Crab,"Oakwood (13,24)"
23,Simurgh Is the Word,"Oakwood (8,21)"
30,The Road More Traveled,"Bronze Lake (32,24)"
30,Truth in Faerie Tales,"Bronze Lake (34,24)"
31,Shell Shocked,"Bronze Lake (28,24)"
31,Nine-ilm Snails,"Bronze Lake (33,24)"
33,Peeping Ja,"Bronze Lake (28,23)"
33,"Hop, Skip, and a Jump","Bronze Lake (28,22)"
34,Surprise,"Zelma's Run (26,18)"
10,Barometz Soup,"Quarterstone (36,28)"
10,Shredding Wheat,"Quarterstone (34,29)"
12,Tender Buttons,"Quarterstone (32,28)"
12,The Last Straw,"Quarterstone (33,29)"
13,(I Just) Died in Six Arms Tonight,"Quarterstone (30,29)"
15,Goblin Chain,"Skull Valley (27,24)"
15,Between Aurochs,"Skull Valley (29,25)"
16,"Absolutely, Positively","Skull Valley (26,25)"
16,In the Sac,"Skull Valley (22,23)"
17,Don't Call Him a Fishback,"Skull Valley (24,23)"
17,Letters from Tidegate,"Skull Valley (24,24)"
18,Tryp Fantastic,"Skull Valley (26,22)"
18,Iron Contra Affair,"Skull Valley (28,24)"
40,Dead Man's Rest,"The Isles of Umbra (16,32)"
40,The King's Justice,"The Isles of Umbra (14,34)"
44,Gauging North Tidegate,"Halfstone (20,19)"
44,Breaching North Tidegate,"Halfstone (21,19)"
44,Sharknado,"Halfstone (17,19)"
45,Breaching South Tidegate,"Halfstone (18,22)"
45,Gauging South Tidegate,"Halfstone (18,21)"
45,The Mandragoras,"The Isles of Umbra (16,35)"
46,Tail of a Whale,"Sapsa Spawning Grounds (17,16)"
48,Watch Your Tongue,"Halfstone (14,17)"
49,Making Waves,"Sapsa Spawning Grounds (11,13)"
30,Careless Whiskers,"Bloodshore (29,34)"
30,Crab and Go,"Bloodshore (29,35)"
31,Just a Matter of Rut,"Bloodshore (29,26)"
32,Jewels of the Isle,"Bloodshore (26,32)"
32,The Pelican Briefing,"Raincatcher Gully (20,31)"
32,The Thirst,"Raincatcher Gully (16,24)"
32,9 to 5,"Raincatcher Gully (23,19)"
32,Say My Name,"Raincatcher Gully (18,24)"
32,It's Not Lupus,"Bloodshore (31,34)"
32,Finding Wine,"Raincatcher Gully (21,23)"
32,Cliff Hanger,"Raincatcher Gully (18,34)"
33,Them,"Raincatcher Gully (16,27)"
33,Thrill of the Hunt,"Raincatcher Gully (20,29)"
33,"Consigned, Sealed, and Undelivered","Bloodshore (30,29)"
33,Long Way Home,"Raincatcher Gully (17,31)"
33,Sweeter than Honey,"Raincatcher Gully (16,28)"
33,Follow the Light,"Bloodshore (30,28)"
33,No Lip,"Bloodshore (32,24)"
33,Ho Ho Ho,"Raincatcher Gully (17,31)"
34,Closing Time,"Raincatcher Gully (17,28)"
30,"Peryton, Perhaps","The Long Climb (15,18)"
34,Restless in O'Ghomoro,"The Long Climb (19,15)"
34,The Only Way Is Up,"The Long Climb (17,16)"
34,When the Coeurl's Away,"The Long Climb (14,11)"
34,Overlooking the Obvious,"Iron Lake (22,17)"
34,By a Whisker,"The Long Climb (15,15)"
34,"I'm a Rock, Not a Number","The Long Climb (14,15)"
41,Schism,"Iron Lake (25,16)"
41,Make it Rain,"Iron Lake (25,17)"
41,Fire In the Hole,"The Long Climb (21,16)"
44,The Miner in the Mirror,"Iron Lake (23,12)"
47,Stopping the Shakes,"U'Ghamaro Mines (23,8)"
47,Making the Rounds,"U'Ghamaro Mines (22,6)"
49,Full Metal Alchemist,"U'Ghamaro Mines (24,6)"
