Level,Name,Location
44,Mud About You,"Fogfens (14,12)"
44,Good to Be Bud,"Fogfens (13,12)"
44,V for Vinedetta,"Fogfens (13,10)"
45,The Prodigal Son,"Fogfens (22,8)"
45,Among Giants,"North Silvertear (26,11)"
45,Black and Nburu,"Fogfens (15,13)"
45,Toll Collector,"Fogfens (19,9)"
46,"Another Day, Another Demon","North Silvertear (27,10)"
46,That's What Adventurers Are For,"North Silvertear (29,14)"
46,One Giant Leap,"North Silvertear (29,13)"
46,Standing Guard,"Fogfens (12,12)"
46,Gone with the Shadow,"North Silvertear (27,6)"
46,Home Is Where the Horn Is,"North Silvertear (32,11)"
48,Another Notch on the Torch,"North Silvertear (31,5)"
