Level,Name,Location
"71","A Beast Among Men","The Forest of the Lost Shepherd (14.6,18.5)"
"71","Behind Anemone Lines","The Thirstless Shore (20.6,28.1)"
"71","Calm a Chameleon","The Thirstless Shore (20.6,28.1)"
"71","Creeping Nightshade","The Forest of the Lost Shepherd - Mortal Irons (10.3,22.1)"
"71","Cry Not Wolf","The Forest of the Lost Shepherd (19.4,21.5)"
"71","Deadly Nightshade","Weathering - The Stay (17.6,12.0)"
"71","Don't Feed the Gremlins","The Forest of the Lost Shepherd (32.6,17.6)"
"71","Draconian Measures","Weathering - Northern Staging Point (34.7,9.8)"
"71","Economic Peril","Weathering (29.1,23.2)"
"71","Flowering Nightshade","The Forest of the Lost Shepherd (24.1,26.2)"
"71","Little Gate of Horrors","The Forest of the Lost Shepherd (18.2,13.6)"
"71","Looming Nightshade","Weathering - Hare Among Giants (8.6,9.8)"
"71","Pick-up Sticks","The Forest of the Lost Shepherd (21.8,24.1)"
"71","Subtle Nightshade","Weathering (26.0,13.0)"
"71","Toxic Nightshade","Weathering - The Stay (17.6,12.0)"
"70","Bitter Barley","Shadow Fault (18.1,30.8)"
"70","JELL-NO","The Bright Cliff - Cracked Shell Beach (31.3,33.3)"
"70","One-punch Mantis","Shadow Fault (8.6,30.3)"
"70","Roadside Dinner","The Bright Cliff (25.0,27.1)"
"70","Shadow of Stilltide","The Bright Cliff (31.8,24.8)"
"70","The Wright Stuff","Shadow Fault (12.6,27.3)"
"78","A Family Most Formidable","Scree (25.7,20.8)"
"78","Foes Most Formidable","Scree (22.6,13.5)"
"78","Ironbeard Builders - Rebuilt","Scree (25.6,17.0)"
"78","Ironbeard Builders - Resist","Scree (18.0,14.8)"
"78","Ironbeard Builders - Revolt","Scree (16.2,21.4)"
"78","Knockout","Scree (23.3,9.0)"
"78","Not Today","Scree (11.5,15.1)"
"78","Season of our Discord","Scree (15.5,10.0)"
"78","The Amity Village Horror","Scree (18.6,19.1)"
"80","A Finale Most Formidable","The Bright Cliff (33,26)"
"72","Bear Necessities","Timh Gyeus (17.2,35.3)"
"72","Hedge Mazed","Timh Gyeus (6.8,27.0)"
"72","Locus Terribilis","Timh Gyeus (11.0,28.8)"
"72","Mad Magic","Timh Gyeus (10.7,35.7)"
"72","Once Upon a Time","Timh Gyeus (10.3,23.5)"
"72","Thrice Upon a Time","Timh Gyeus (7.7,19.5)"
"72","Twice Upon a Time","Timh Gyeus (13.1,23.8)"
"72","Weave 'Em and Weep","Timh Gyeus (8.3,31.7)"
"73","Back and Fuath","Mithai Glorianda (24.5, 17.7)"
"73","Brute Fuath","Mithai Glorianda (25.1,21.5)"
"73","Breaking the Fuath Wall","Timh Gyeus (8.3, 14.3)"
"73","Frog Standard","Voeburtenburg - Sextuplet Shallow (23.7,11.1)"
"73","Fuath of Habit","Voeburtenburg (30.2,13.1)"
"73","Fuath to Be Reckoned With","Voeburtenburg (32.6, 5.6)"
"73","Go Fuath a Conqueror","Voeburtenburg (20.7, 10.4)"
"73","Great Daens","Voeburtenburg (27.3,10.0)"
"74","Attack of the Killer Tomatl","The Citia Swamps"
"74","Dark Matters","The Citia Swamps (13.5,35.0)"
"74","I'll Be Bark","The Citia Swamps (14.5,28.3)"
"74","Picking Up the Pieces","The Citia Swamps - The Trip (15.8,36.4)"
"74","Six Fulm Turkeys","The Citia Swamps - The Trip (17.4,32.1)"
"74","We Are Venom","Lake Tusi Mek'ta (12.8,30.2)"
"75","Attack the Block","The K'mul Astropolis (20.6,12.8)"
"75","Barking Mad","The Blind Forest of Yx'Maja (32.0,20.1)"
"75","Creepy Crawlers","The Blind Forest of Yx'Maja - Bowrest (32.2,25.4)"
"75","Monkeying Around","The K'mul Astropolis (23.2,14.5)"
"75","Nest of Kin","The K'mul Astropolis - The Great Pyramid of Ux'ner (27.1,10.7)"
"75","Pluck of the Draw","The Blind Forest of Yx'Maja (23.6, 29.6)"
"75","Queen of the Harpies","The K'mul Astropolis (22.7,11.7)"
"75","Shot Through the Hart","The K'mul Astropolis (28.2,14.1)"
"75","The End of the Sentry","The Blind Forest of Yx'Maja (25.4,21.7)"
"75","Tojil Annihilation","The Blind Forest of Yx'Maja (30.4,22.3)"
"75","Tojil Carnage","The Blind Forest of Yx'Maja - The Wild Fete (25.8,27.2)"
"75","Tojil Eclipse","The Blind Forest of Yx'Maja - Mjrl's Regret (24.5,34.4)"
"75","Tojil War","The Blind Forest of Yx'Maja - Bowrest (34.9,24.3)"
"70","Bayawak Attack","The Fields of Amber (32.4,14.2)"
"70","Cactus Makes Perfect","The Fields of Amber (25.5,24.7)"
"70","Harbingers of Bloom","Qasr Sharl (33.5,11.3)"
"70","Pray Destroy the Waking Sands","The Fields of Amber (28.6,13.6)"
"70","Reptilian Roadblock","The Fields of Amber (33.2,25.2)"
"70","Scavengers Hunted","The Fields of Amber (31.9,19.5)"
"70","Theft from Above","The Fields of Amber (34.4,27.6)"
"70","Tolba No. 1","The Fields of Amber (31.5,16.8)"
"76","Armadillo Peccadillo","The Central Hills of Amber - Kelk (20.1,20.8)"
"76","Baddie Longlegs","The Central Hills of Amber - Mount Biran Mines (21.6,13.1)"
"76","Bloody Simple","The Northern Hills of Amber (14.5,13.8)"
"76","Let's Dance (with Swords)","The Central Hills of Amber (15.5,20.5)"
"76","Sand and Deliver","The Central Hills of Amber (17.4,16.0)"
"76","The Elderblade","The Central Hills of Amber (22.4,26.0)"
"76","This Time, It's Personal","The Central Hills of Amber (14.3,17.6)"
"77","Anti-eruption Measures","The Southern Hills of Amber (9.6,32.2)"
"77","The Odd Couple","The Southern Hills of Amber (17.0,32.6)"
"79","A Lot to Swallow","The Norvrandt Slope (36.7,14.0)"
"79","Coral Support","The Norvrandt Slope - Where the Dry Return (35.3,9.4)"
"79","Hydrozoan of the Enders","The Caliban Gorge (12.1,14.0)"
"79","Lookin' Back On the Track","The Caliban Gorge - The Trinculo Shelf (23.6,19.1)"
"79","Low Coral Fiber","The Norvrandt Slope - Where the Dry Return (36.0,5.2)"
"79","My Friend's Enemy is Anemone of Mine","The Norvrandt Slope (33.2,10.9)"
"79","Natural Prawn Killers","The Norvrandt Slope (29.4,16.6)"
"79","Nothing Like a Trappin' Life","The Caliban Gorge (26.9, 24.7)"
"79","Ondo of Blood","The Norvrandt Slope (29.2,11.9)"
"79","Pearls Apart","The Norvrandt Slope - The Crock of Pearls (38.9,17.5)"
"79","The Devil in the Deep Blue Sea","The Norvrandt Slope (17.7,10.7)"
"79","The Nets Best Thing","The Caliban Gorge (18.9,18.3)"
"79","The Seashells He Sells","The Caliban Gorge (29.2,29.9)"
"79","Where Has the Dagon","The Caliban Gorge (24.6,21.0)"
"80","The Head, the Tail, the Whole Damned Thing","The Caliban Gorge (27.1, 26.5)"
