Level,Name,Location
5,Let them Eat Cactus,"Black Brush (23,16)"
5,Something to Prove,"Spineless Basin (21,23)"
5,Like an Eft out of Water,"Black Brush (21,23)"
6,Survivor Rats,"Black Brush (18,20)"
7,Wrecked Rats,"Black Brush (19,20)"
7,A Warm Welcome,"Black Brush (18,23)"
7,Big Time,"Black Brush (15,22)"
9,For the Queen,"Black Brush (19,15)"
9,Cracked,"Black Brush (17,19)"
11,A Few Arrows Short of a Quiver,"Black Brush (23,20)"
12,Leaving the Nest,"Black Brush (17,15)"
14,Cold-blooded,"The Clutch (28,19)"
14,Orobon Part Two The Spawning,"The Clutch (29,20)"
5,Needles to Slay,"Hammerlea (23,25)"
5,A Matter of Rust,"Hammerlea (23,25)"
6,Things that Make You Go Home,"Hammerlea (23,26)"
8,The Cores,"Hammerlea (17,29)"
8,Deface the Facts,"Hammerlea (20,28)"
8,"Please Hammers, Don't Hurt Them","Hammerlea (18,28)"
9,The Villain,"Hammerlea (22,23)"
9,Doomed,"Hammerlea (24,21)"
10,Pound for Pound,"Horizon's Edge (23,21)"
10,Dog Eat Dog,"Horizon's Edge (25,19)"
10,Copied Peistes,"Horizon's Edge (24,20)"
13,Bigger Fish to Fry,"The Footfalls (15,16)"
13,Bubble Trouble,"The Footfalls (15,16)"
20,Staying Dead,"The Footfalls (13,11)"
21,There Might Be Giants,"The Footfalls (13,10)"
22,Tripped up by the Fruit of Another,"The Footfalls (14,9)"
22,He's Got Legs,"The Footfalls (14,6)"
23,Juggernaut Down,"The Footfalls (13,7)"
15,License to Quill,"Drybone (12,27)"
17,Bazaar Blood Triangle,"Drybone (11,16)"
17,Deep in the Heart of Sagolii,"Drybone (17,24)"
17,Grim Undertakings,"Drybone (14,17)"
17,Simple Minds,"Drybone (12,19)"
17,Almost Paradise,"Drybone (13,20)"
18,Westward Bound,"Drybone (16,26)"
18,Bad Camp,"Sandgate (17,27)"
19,Men Who See Goats,"Drybone (17,29)"
23,Attack on Highbridge Act III,"Wellwick Wood (23,23)"
26,Desert Rose,"Wellwick Wood (27,17)"
26,Attack on Highbridge Denouement,"Wellwick Wood (23,22)"
26,Attack on Highbridge Act II,"Wellwick Wood (22,21)"
26,Attack on Highbridge Prelude,"Wellwick Wood (21,22)"
26,Attack on Highbridge Act I,"Wellwick Wood (22,21)"
27,Manifest Destiny,"Wellwick Wood (24,20)"
29,Spare the Hair,"Wellwick Wood (26,21)"
40,A Man Rides Through,"The Burning Wall (29,23)"
42,Quartz Coupling,"The Burning Wall (26,24)"
42,Bad Hair Day,"The Burning Wall (27,24)"
42,The Big Bagoly Theory,"The Burning Wall (30,25)"
25,Downwind,"Broken Water (15,14)"
26,Run Like a Flame,"The Red Labyrinth (18,18)"
27,The Corpse Bribe,"Broken Water (20,8)"
28,"Harder, Bigger, Faster, Stronger","Broken Water (16,12)"
28,Bump and Grind,"Broken Water (23,10)"
28,Adventures in Throat Slitting,"Broken Water (22,9)"
29,Soul Man,"Broken Water (25,12)"
31,Revenge of the Worms,"Sagolii Desert (14,30)"
31,Fish out of Water,"Sagolii Desert (14,38)"
31,Children of the Sands,"Sagolii Desert (14,32)"
32,"Blood, Augur, Hex, Magicks","Sagolii Desert (25,34)"
32,From Point A,"Sagolii Desert (19,34)"
45,Taken,"Zanr'ak (18,20)"
45,Heroes of the 2nd,"Zanr'ak (21,16)"
46,Full of Rigormortis,"Zanr'ak (19,27)"
46,Bigger than Life,"Zanr'ak (20,20)"
46,Fallen Corpses Writhe in Style,"Zanr'ak (16,25)"
46,Book of Pride,"Zanr'ak (21,19)"
46,"Tempered, Tempered","Zanr'ak (16,23)"
46,"Call Me, Mayhaps","Zanr'ak (22,18)"
48,An Inconvenient Truth,"Zanr'ak (23,21)"
48,Diamond in the Rough,"Zanr'ak (18,24)"
48,Future Shock,"Zanr'ak (22,25)"
48,He's a Firestarter,"Zahar'ak (26,21)"
49,Spark off the Bench,"Zahar'ak (32,19)"
49,Gyve Talk,"Zahar'ak (29,20)"
49,Hunters and the Hunted,"Zanr'ak (23,27)"
49,Quenching the Flame,"Zahar'ak (32,20)"
49,Return to Cinder,"Zanr'ak (24,26)"
49,The Ceruleum Road,"Bluefog (21,29)"
49,Reverse Engineering,"Raubahn's Push (18,15)"
49,Knock on Steel,"Raubahn's Push (18,14)"
49,The Red Baron,"Bluefog (24,23)"
49,"Twinkle, Twinkle Little Trap","Bluefog (20,26)"
49,With One Eye Open,"Bluefog (25,0)"
49,Under the Nails,"Bluefog (24,21)"
49,Just a Sip,"Bluefog (22,23)"
49,"Go, Go, Gorgimera","Raubahn's Push (17,14)"
49,Dark Devices - The Bait,"Bluefog (26,22)"
49,Core Blimey,"Bluefog (22,22)"
49,Dark Devices - The End,"Bluefog (26,22)"
49,Dark Devices - The Plea,"Bluefog (26,22)"
49,East Meets Worst,"Bluefog (22,24)"
49,Dark Devices - The Switch,"Bluefog (26,22)"
49,Boom Goes the Ceruleum,"Raubahn's Push (18,18)"
