Name,Level,Zone,Location
Zephyr Drift,1,Middle La Noscea,"Zephyr Drift (18,21)"
Rogue River,1,Middle La Noscea,"Zephyr Drift (21,21)"
West Agelyss River,1,Middle La Noscea,"Summerford (20,17)"
Summerford,5,Middle La Noscea,"Summerford (14,15)"
Nym River,5,Middle La Noscea,"Summerford (17,14)"
Woad Whisper Canyon,15,Middle La Noscea,"Three-malm Bend (21,12)"
The Mourning Widow,1,Lower La Noscea,"Moraby Bay (24,23)"
Moraby Bay,5,Lower La Noscea,"Moraby Bay (26,25)"
Cedarwood,10,Lower La Noscea,"Cedarwood (34,17)"
Oschon's Torch,10,Lower La Noscea,"The Gods' Grip (24,39)"
Candlekeep Quay,10,Lower La Noscea,"The Gods' Grip (20,38)"
Moraby Drydocks,15,Lower La Noscea,"The Gods' Grip (26,34)"
Empty Heart,15,Lower La Noscea,"The Gods' Grip (21,34)"
The Salt Strand,20,Lower La Noscea,"The Gods' Grip (17,36)"
Blind Iron Mines,20,Lower La Noscea,"Cedarwood (27,15)"
Costa del Sol,30,Eastern La Noscea,"Bloodshore (35,29)"
South Bloodshore,25,Eastern La Noscea,"Bloodshore (32,34)"
North Bloodshore,35,Eastern La Noscea,"Bloodshore (32,24)"
Rhotano Sea (Privateer Forecastle),50,Eastern La Noscea,"Bloodshore (39,24)"
Rhotano Sea (Privateer Sterncastle),50,Eastern La Noscea,"Bloodshore (38,24)"
Hidden Falls,35,Eastern La Noscea,"Bloodshore (30,23)"
East Agelyss River,40,Eastern La Noscea,"Raincatcher Gully (22,25)"
Raincatcher Gully,40,Eastern La Noscea,"Raincatcher Gully (20,30)"
The Juggernaut,40,Eastern La Noscea,"Raincatcher Gully (17,32)"
Red Mantis Falls,45,Eastern La Noscea,"Raincatcher Gully (15,27)"
North Isle of Endless Summer,50,Eastern La Noscea,"Bloodshore (36,26)"
Swiftperch,10,Western La Noscea,"Quarterstone (34,32)"
Skull Valley,15,Western La Noscea,"Skull Valley (25,27)"
The Brewer's Beacon,15,Western La Noscea,"Skull Valley (30,30)"
Halfstone,35,Western La Noscea,"Halfstone (17,20)"
Isles of Umbra Northshore,40,Western La Noscea,"The Isles of Umbra (15,29)"
The Ship Graveyard,45,Western La Noscea,"The Isles of Umbra (15,35)"
Sapsa Spawning Grounds,45,Western La Noscea,"Sapsa Spawning Grounds (17,15)"
Isles of Umbra Southshore,50,Western La Noscea,"The Isles of Umbra (12,36)"
Reaver Hide,50,Western La Noscea,"Sapsa Spawning Grounds (14,12)"
Oakwood,20,Upper La Noscea,"Oakwood (13,24)"
Fool Falls,20,Upper La Noscea,"Oakwood (9,20)"
Bronze Lake Shallows,30,Upper La Noscea,"Bronze Lake (33,24)"
Northeast Bronze Lake,35,Upper La Noscea,"Bronze Lake (27,22)"
The Long Climb,40,Outer La Noscea,"The Long Climb (15,11)"
Northwest Bronze Lake,35,Outer La Noscea,"The Long Climb (19,18)"
Mist,30,Mist,Mist
Jadeite Flood,5,Gridania,"New Gridania (12,13)"
Lower Black Tea Brook,5,Gridania,"New Gridania (10,11)"
Whispering Gorge,5,Gridania,"Old Gridania (15,6)"
Upper Black Tea Brook,5,Gridania,"Old Gridania (8,8)"
The Vein,5,Central Shroud,"Jadeite Thick (22,21)"
The Mirror,15,Central Shroud,"Bentbranch (26,28)"
