Level,Name,Zone,Location
1,Copper Ore,Western Thanalan,Hammerlea
1,Fire Shard,Western Thanalan,Hammerlea
1,Ice Shard,Western La Noscea,Skull Valley
1,Wind Shard,Central Thanalan,Spineless Basin
1,Earth Shard,Lower La Noscea,Cedarwood
1,Lightning Shard,Central Thanalan,Spineless Basin
1,Water Shard,Western Thanalan,Hammerlea
3,Muddy Water,Western Thanalan,Hammerlea
5,Bone Chip,Central Thanalan,Spineless Basin
6,Tin Ore,Western Thanalan,Hammerlea
7,Raw Sunstone,Lower La Noscea,Cedarwood
7,Raw Lapis Lazuli,North Shroud,Treespeak
8,Soiled Femur,Western Thanalan,Hammerlea
9,Zinc Ore,Western Thanalan,Hammerlea
10,Obsidian,Western Thanalan,Hammerlea
10,Potter's Clay,North Shroud,Treespeak
14,Iron Ore,Western Thanalan,Horizon's Edge
16,Raw Malachite,Eastern Thanalan,Drybone
17,Raw Sphene,North Shroud,Peacegarden
17,Raw Fluorite,Eastern Thanalan,Drybone
18,Raw Danburite,Western La Noscea,Skull Valley
19,Sunrise Tellin,Western La Noscea,Skull Valley
19,Alumen,Eastern Thanalan,Drybone
24,Effervescent Water,South Shroud,Upper Paths
25,Silver Ore,South Shroud,Upper Paths
26,Fire Crystal,The Dravanian Forelands,Chocobo Forest
26,Ice Crystal,Coerthas Western Highlands,Riversmeet
26,Wind Crystal,The Dravanian Hinterlands,The Makers' Quarter
26,Earth Crystal,The Peaks,Sleeping Stones
26,Lightning Crystal,The Sea of Clouds,Voor Sian Siran
26,Water Crystal,The Sea of Clouds,Voor Sian Siran
28,Wyvern Obsidian,Eastern Thanalan,Wellwick Wood
30,Saltpeter,Eastern Thanalan,Wellwick Wood
31,Raw Garnet,Eastern La Noscea,Bloodshore
31,Granite,Central Shroud,Hopeseed Pond
31,Little Worm,Southern Thanalan,Sagolii Desert
32,Raw Heliodor,Southern Thanalan,Sagolii Desert
33,Raw Goshenite,Eastern La Noscea,Bloodshore
33,Raw Peridot,Central Shroud,Hopeseed Pond
34,Mythril Ore,Southern Thanalan,Sagolii Desert
34,Raw Amethyst,Central Shroud,Hopeseed Pond
35,Raw Aquamarine,Eastern La Noscea,Bloodshore
36,Raw Tourmaline,South Shroud,Urth's Gift
37,Raw Spinel,South Shroud,Urth's Gift
38,Raw Zircon,Coerthas Central Highlands,Dragonhead
39,Jade,Coerthas Central Highlands,Dragonhead
40,Black Alumen,South Shroud,Urth's Gift
41,Raw Turquoise,Upper La Noscea,Bronze Lake
43,Electrum Ore,Upper La Noscea,Bronze Lake
44,Raw Amber,Eastern Thanalan,Drybone
45,Raw Rubellite,Eastern Thanalan,Drybone
46,Basilisk Egg,Northern Thanalan,Bluefog
47,Cobalt Ore,Northern Thanalan,Bluefog
49,Adamantoise Shell,Northern Thanalan,Bluefog
50,Ogre Horn,Northern Thanalan,Bluefog
50,Lightning Cluster,Lakeland,The Church of the First Light
50,Water Cluster,The Sea of Clouds,Voor Sian Siran
50★,Gold Ore,Eastern Thanalan,The Burning Wall
50★,Darksteel Ore,Coerthas Central Highlands,Dragonhead
50★,Coblyn Larva,Eastern Thanalan,The Burning Wall
50★,Unaspected Crystal,Eastern Thanalan,The Burning Wall
50★,Gregarious Worm,Eastern Thanalan,The Burning Wall
50★★,Ferberite,Northern Thanalan,Raubahn's Push
