Level,Name,Zone,Location
1,Fire Shard,Middle La Noscea,Three-malm Bend
1,Ice Shard,Western La Noscea,Skull Valley
1,Wind Shard,East Shroud,Nine Ivies
1,Earth Shard,Upper La Noscea,Oakwood
1,Lightning Shard,Central Thanalan,Black Brush
1,Water Shard,Western Thanalan,Horizon's Edge
11,Fine Sand,Central Thanalan,Black Brush
11,Copper Sand,Western Thanalan,Horizon's Edge
12,Rock Salt,Central Thanalan,Black Brush
13,Ragstone,Central Thanalan,Black Brush
14,Iron Sand,Western Thanalan,Horizon's Edge
15,Cinnabar,Western Thanalan,Horizon's Edge
17,Limestone,Western La Noscea,Skull Valley
20,Mudstone,Western La Noscea,Skull Valley
20,Grade 1 Carbonized Matter,Middle La Noscea,Three-malm Bend
21,Earth Rock,South Shroud,Upper Paths
22,Silver Sand,South Shroud,Upper Paths
23,Fire Rock,Upper La Noscea,Oakwood
23,Ice Rock,South Shroud,Upper Paths
24,Wind Rock,South Shroud,Upper Paths
24,Lightning Rock,Upper La Noscea,Oakwood
25,Water Rock,Upper La Noscea,Oakwood
26,Bomb Ash,Southern Thanalan,Sagolii Desert
26,Fire Crystal,Eastern Thanalan,Wellwick Wood
26,Ice Crystal,Western La Noscea,Quarterstone
26,Wind Crystal,East Shroud,Nine Ivies
26,Earth Crystal,Lower La Noscea,Blind Iron Mines
26,Lightning Crystal,Southern Thanalan,Broken Water
26,Water Crystal,Western Thanalan,Nophica's Wells
27,Silex,Southern Thanalan,Sagolii Desert
28,Blue Pigment,Western Thanalan,Nophica's Wells
28,Red Pigment,Eastern Thanalan,Wellwick Wood
28,Yellow Pigment,Lower La Noscea,Blind Iron Mines
28,Grey Pigment,Western La Noscea,Quarterstone
28,Brown Pigment,Lower La Noscea,Blind Iron Mines
28,Green Pigment,East Shroud,Nine Ivies
28,Purple Pigment,Southern Thanalan,Broken Water
29,Brimstone,Upper La Noscea,Oakwood
30,Siltstone,Upper La Noscea,Oakwood
30,Grade 1 La Noscean Topsoil,Lower La Noscea,Cedarwood
30,Grade 1 Shroud Topsoil,East Shroud,Nine Ivies
30,Grade 1 Thanalan Topsoil,Eastern Thanalan,Wellwick Wood
33,Mythril Sand,Southern Thanalan,The Red Labyrinth
40,Grenade Ash,Northern Thanalan,Bluefog
42,Electrum Sand,Upper La Noscea,Bronze Lake
45,Marble,Upper La Noscea,Bronze Lake
46,Grade 2 La Noscean Topsoil,Lower La Noscea,The Gods' Grip
46,Grade 2 Shroud Topsoil,East Shroud,The Bramble Patch
46,Grade 2 Thanalan Topsoil,Western Thanalan,Nophica's Wells
50,Black Limestone,Western La Noscea,Quarterstone
50,Fire Cluster,Mor Dhona,North Silvertear
50,Ice Cluster,Mor Dhona,North Silvertear
50,Wind Cluster,Mor Dhona,North Silvertear
50,Earth Cluster,Mor Dhona,North Silvertear
50,Lightning Cluster,Mor Dhona,North Silvertear
50,Water Cluster,Mor Dhona,North Silvertear
