Rank,Name,Location
B,Alteci,Coerthas Western Highlands
B,False gigantopithecus,The Dravanian Hinterlands
B,Gnath Cometdrone,The Dravanian Forelands
B,Kreutzet,Coerthas Western Highlands
B,Lycidas,Azys Lla
B,Omni,Azys Lla
B,Pterygotus,The Dravanian Hinterlands
B,Sanu Vali of Dancing Wings,The Sea of Clouds
B,Scitalis,The Churning Mists
B,Squonk,The Sea of Clouds
B,The Scarecrow,The Churning Mists
B,Thextera,The Dravanian Forelands
A,Agathos,The Churning Mists
A,Bune,The Churning Mists
A,Campacti,Azys Lla
A,Enkelados,The Sea of Clouds
A,Lord of the Wyverns,The Dravanian Forelands
A,Lyuba,Coerthas Western Highlands
A,Mirka,Coerthas Western Highlands
A,Pylraster,The Dravanian Forelands
A,Sisiutl,The Sea of Clouds
A,Slipkinx Steeljoints,The Dravanian Hinterlands
A,Stench Blossom,Azys Lla
A,Stolas,The Dravanian Hinterlands
S,Bird of Paradise,The Sea of Clouds
S,Gandarewa,The Churning Mists
S,Kaiser Behemoth,Coerthas Western Highlands
S,Leucrotta,Azys Lla
S,Senmurv,The Dravanian Forelands
S,The Pale Rider,The Dravanian Hinterlands
