Rank,Name,Location
B,Aswang,The Azim Steppe
B,Buccaboo,The Peaks
B,Deidar,Yanxia
B,Gauki Strongblade,The Ruby Sea
B,Guhuo Niao,The Ruby Sea
B,Gwas-y-neidr,The Peaks
B,Gyorai Quickstrike,Yanxia
B,Kiwa,The Lochs
B,Kurma,The Azim Steppe
B,Manes,The Lochs
B,Ouzelum,The Fringes
B,Shadow-dweller Yamini,The Fringes
A,Angada,Yanxia
A,Aqrabuamelu,The Peaks
A,Erle,The Fringes
A,Funa Yurei,The Ruby Sea
A,Gajasura,Yanxia
A,Girimekhala,The Azim Steppe
A,Luminare,The Lochs
A,Mahisha,The Lochs
A,Oni Yumemi,The Ruby Sea
A,Orcus,The Fringes
A,Sum,The Azim Steppe
A,Vochstein,The Peaks
S,Bone Crawler,The Peaks
S,Gamma,Yanxia
S,Okina,The Ruby Sea
S,Orghana,The Azim Steppe
S,Salt and Light,The Lochs
S,Udumbara,The Fringes
