Rank,Name,Location
B,La Velue,Lakeland
B,Itzpapalotl,Lakeland
B,Domovoi,Il Mheg
B,Vulpangue,Il Mheg
B,Coquecigrue,Kholusia
B,Indomitable,Kholusia
B,Worm of the Well,Amh Araeng
B,Juggler Hecatomb,Amh Araeng
B,Mindmaker,The Rak'tika Greatwood
B,Pachamama,The Rak'tika Greatwood
B,Deacon,The Tempest
B,Gilshs Aath Swiftclaw,The Tempest
A,Nariphon,Lakeland
A,Nuckelavee,Lakeland
A,O Poorest Pauldia,Il Mheg
A,The Mudman,Il Mheg
A,Li'l Murderer,Kholusia
A,Huracan,Kholusia
A,Maliktender,Amh Araeng
A,Sugaar,Amh Araeng
A,Grassman,The Rak'tika Greatwood
A,Supay,The Rak'tika Greatwood
A,Baal,The Tempest
A,Rusalka,The Tempest
S,Tyger,Lakeland
S,Aglaope,Il Mheg
S,Forgiven Pedantry,Kholusia
S,Tarchia,Amh Araeng
S,Ixtab,The Rak'tika Greatwood
S,Gunitt,The Tempest
SS,The Forgiven Rebellion,Norvrandt
SS,Formidable,Special
SS,Archaeotania,Special
