Name,Level,Zone,Location,Type,NPC
A Long and Winding Road,1,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
Ain't Nobody Got Time for Rats,1,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
Bug Bites,1,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
Bug Looks Like a Lady,1,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
On the Lamb (Leve),1,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
Berries Got Bucked,1,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Either Love Them or Kill Them,1,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Nothing Compares to Shrews,1,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Observe and Protect,1,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Road Rage,1,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Nutbreaker Suite,1,Central Shroud,The Bannock,Battlecraft,Muriaule
Picking up the Piercers,1,Central Shroud,The Bannock,Battlecraft,Muriaule
Scourge of the Saplings,1,Central Shroud,The Bannock,Battlecraft,Muriaule
Stay for a Vile,1,Central Shroud,The Bannock,Battlecraft,Muriaule
"Water, Water Everywhere",1,Central Shroud,The Bannock,Battlecraft,Muriaule
Far from the Vine,5,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
March of the Mandragoras,5,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
"No Pain, No Grain",5,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
Red Stead Redemption,5,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
The Cure,5,Lower La Noscea,Red Rooster Stead,Battlecraft,Wyrkholsk
A Spoonful of Poison,5,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Needles to Say,5,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Procession of the Noble,5,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
The Ore the Better,5,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
Two Yalms Under,5,Western Thanalan,Scorpion Crossing,Battlecraft,Graceful Song
A Full Stomach,5,Central Shroud,The Bannock,Battlecraft,Muriaule
A Vine Finer than Twine,5,Central Shroud,The Bannock,Battlecraft,Muriaule
Compost with the Most,5,Central Shroud,The Bannock,Battlecraft,Muriaule
River Raid,5,Central Shroud,The Bannock,Battlecraft,Muriaule
Wrangling Raptors,5,Central Shroud,The Bannock,Battlecraft,Muriaule
A Tall Odor,10,Western La Noscea,Swiftperch,Battlecraft,Swygskyf
