Name,Level,Zone,Location,Type,NPC
Breaking Beacons,50,Coerthas Western Highlands,Falcon's Nest,Mining (Large-scale),Eloin
The Basics of Forgery,50,Coerthas Western Highlands,Falcon's Nest,Mining (Large-scale),Eloin
For Vares Beyond Compare,50,Coerthas Western Highlands,Falcon's Nest,Mining (Large-scale),Eloin
Polished Till They Shine,52,The Dravanian Forelands,Tailfeather,Mining (Large-scale),Eloin
Forging Lance Base,52,The Dravanian Forelands,Tailfeather,Mining (Large-scale),Eloin
Rose Never Lets Go,52,The Dravanian Forelands,Tailfeather,Mining (Large-scale),Eloin
History Needs Some Revisions,54,The Churning Mists,Moghome,Mining (Large-scale),Eloin
All of These Bases Belong to Us,54,The Churning Mists,Moghome,Mining (Large-scale),Eloin
There's Sand in My Water,54,The Churning Mists,Moghome,Mining (Large-scale),Eloin
The Puppets of War,56,The Sea of Clouds,Camp Cloudtop,Mining (Large-scale),Eloin
Fool Me Once,56,The Sea of Clouds,Camp Cloudtop,Mining (Large-scale),Eloin
A Spire for New Hights,56,The Sea of Clouds,Camp Cloudtop,Mining (Large-scale),Eloin
Not So Crystal Clear,58,The Dravanian Hinterlands,The Paths of Creation,Mining (Large-scale),Eloin
Pommeling the Enemy,58,The Dravanian Hinterlands,The Paths of Creation,Mining (Large-scale),Eloin
Sharlayan Sympathizers,58,The Dravanian Hinterlands,The Paths of Creation,Mining (Large-scale),Eloin
The Primrose Path,1,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
Who Needs the Paperwork,1,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
Rubble Bubble,1,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
Miners' Holiday,1,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
Pipikkuli's Ship Comes In,5,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
Do They Ore Don't They,5,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
Vanishing Point,5,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
I Don't Zinc It's A Coincidence,5,Western Thanalan,Scorpion Crossing,Mining,Graceful Song
We Do This the Hard Way,10,Western Thanalan,Horizon,Mining,Totonowa
That's Why They Call It Fool's Gold,10,Western Thanalan,Horizon,Mining,Totonowa
It Peiste to Listen,10,Western Thanalan,Horizon,Mining,Totonowa
Break It Up,10,Western Thanalan,Horizon,Mining,Totonowa
A Man's Gotta Dream,15,Eastern Thanalan,Camp Drybone,Mining,Poponagu
Earth Sprites Are Easy,15,Eastern Thanalan,Camp Drybone,Mining,Poponagu
Eiderdown for Eidolons,15,Eastern Thanalan,Camp Drybone,Mining,Poponagu
The Doom that Came to Belah'dia,15,Eastern Thanalan,Camp Drybone,Mining,Poponagu
Look How They Shine for You,20,South Shroud,Quarrymill,Mining,Nyell
"Location, Location, Location",20,South Shroud,Quarrymill,Mining,Nyell
Elemental Housekeeping,20,South Shroud,Quarrymill,Mining,Nyell
Rock My Wall,20,South Shroud,Quarrymill,Mining,Nyell
Can't Start a Fire,25,South Shroud,Quarrymill,Mining,Nyell
Fool Me Twice,25,South Shroud,Quarrymill,Mining,Nyell
"Baby, Light My Way",25,South Shroud,Quarrymill,Mining,Nyell
"Tag, You're It",25,South Shroud,Quarrymill,Mining,Nyell
Shell Game,30,Eastern La Noscea,Costa del Sol,Mining,Nahctahr
The Midden Fair,30,Eastern La Noscea,Costa del Sol,Mining,Nahctahr
I Kidd You Not,30,Eastern La Noscea,Costa del Sol,Mining,Nahctahr
That's What the Money Is For,30,Eastern La Noscea,Costa del Sol,Mining,Nahctahr
Rocks for Brains,35,Coerthas Central Highlands,Observatorium,Mining,Cimeaurant
There Are No Good Answers,35,Coerthas Central Highlands,Observatorium,Mining,Cimeaurant
Mythril Madness,35,Coerthas Central Highlands,Observatorium,Mining,Cimeaurant
Eye for an Eye,35,Coerthas Central Highlands,Observatorium,Mining,Cimeaurant
Breach and Build,40,Coerthas Central Highlands,Whitebrim Front,Mining,Voilinaut
Brother in Arms,40,Coerthas Central Highlands,Whitebrim Front,Mining,Voilinaut
Nature Is a Monster,40,Coerthas Central Highlands,Whitebrim Front,Mining,Voilinaut
Not Losing Our Heads This Time,40,Coerthas Central Highlands,Whitebrim Front,Mining,Voilinaut
Hybrid Hypotheses,45,Mor Dhona,Saint Coinach's Find,Mining,K'leytai
Sucker Seer,45,Mor Dhona,Saint Coinach's Find,Mining,K'leytai
Metal Has No Master,45,Mor Dhona,Saint Coinach's Find,Mining,K'leytai
Crystal Mess,45,Mor Dhona,Saint Coinach's Find,Mining,K'leytai
The Merits of Upcycling,50,Coerthas Western Highlands,Falcon's Nest,Mining,Eloin
The Road to Pilgrimage,50,Coerthas Western Highlands,Falcon's Nest,Mining,Eloin
Taken for Granite,50,Coerthas Western Highlands,Falcon's Nest,Mining,Eloin
I'll Show You My Battle Shards,52,The Dravanian Forelands,Tailfeather,Mining,Eloin
Permit for Destruction of Religious Property,52,The Dravanian Forelands,Tailfeather,Mining,Eloin
Halone's Jewelry Box,52,The Dravanian Forelands,Tailfeather,Mining,Eloin
"Dreams of War, Dreams of Liars, Dreams of Dragon Fire",54,The Churning Mists,Moghome,Mining,Eloin
Talk about Boundaries,54,The Churning Mists,Moghome,Mining,Eloin
From Creepers to Squatters,54,The Churning Mists,Moghome,Mining,Eloin
Mortarin',56,The Sea of Clouds,Camp Cloudtop,Mining,Eloin
What Goes Up,56,The Sea of Clouds,Camp Cloudtop,Mining,Eloin
Fake-icite,56,The Sea of Clouds,Camp Cloudtop,Mining,Eloin
Sticking It Out,58,The Dravanian Hinterlands,The Paths of Creation,Mining,Eloin
Dragonproofing,58,The Dravanian Hinterlands,The Paths of Creation,Mining,Eloin
Crystal Chronicles,58,The Dravanian Hinterlands,The Paths of Creation,Mining,Eloin
Cermet Breaker,60,The Fringes,The Striped Hills,Mining,Keltraeng
Set In Stone,60,The Fringes,The Striped Hills,Mining,Keltraeng
Axe To Grind,60,The Fringes,The Striped Hills,Mining,Keltraeng
Ready Ore Not,62,The Ruby Sea,Rasen Kaikyo,Mining,Keltraeng
Hit Rock Bottom,62,The Ruby Sea,Rasen Kaikyo,Mining,Keltraeng
Coral-lary,62,The Ruby Sea,Rasen Kaikyo,Mining,Keltraeng
No Stone Unturned,64,Yanxia,Eastern Ryurin Bridge,Mining,Keltraeng
Simply Marble Us,64,Yanxia,The Gensui Chain,Mining,Keltraeng
Scraptacular,64,Yanxia,Casrum Fluminis,Mining,Keltraeng
Dunes of Our Lives,66,The Azim Steppe,Ceol Aen,Mining,Keltraeng
Bead Em Up,66,The Azim Steppe,Nhaama's Retreat,Mining,Keltraeng
O Say Can You Rock,66,The Azim Steppe,Onsal Hakair,Mining,Keltraeng
The Ores Have It,68,The Peaks,Mount Yorn,Mining,Keltraeng
"Adios, Ala Mhigo",68,The Peaks,Wightrock,Mining,Keltraeng
Mine All Mine,68,The Peaks,Wightrock,Mining,Keltraeng
Barmy for Ballistas,70,The Crystarium,The Baldaquin,Mining,Eirikur
Jewelry for All,70,The Crystarium,The Baldaquin,Mining,Eirikur
The Search for Slag,70,The Crystarium,The Baldaquin,Mining,Eirikur
Secret Stones,72,The Crystarium,The Baldaquin,Mining,Eirikur
New Necklaces,72,The Crystarium,The Baldaquin,Mining,Eirikur
Crystalized Revenge,72,The Crystarium,The Baldaquin,Mining,Eirikur
Knowledge Is Power,74,The Crystarium,The Baldaquin,Mining,Eirikur
Jewels for Jewelry,74,The Crystarium,The Baldaquin,Mining,Eirikur
