Name,Level,Zone,Location,Type,NPC
One for the Books,1,Ul'dah,Ul'dah,Alchemy,Eustace
Mercury Rising,1,Ul'dah,Ul'dah,Alchemy,Eustace
Root Rush,1,Ul'dah,Ul'dah,Alchemy,Eustace
The Bleat Is On,1,Western Thanalan,Scorpion Crossing,Alchemy,Graceful Song
Met a Sticky End,1,Western Thanalan,Scorpion Crossing,Alchemy,Graceful Song
Days of Chunder,1,Western Thanalan,Scorpion Crossing,Alchemy,Graceful Song
On the Drip,5,Ul'dah,Ul'dah,Alchemy,Eustace
"Distill, My Heart",5,Ul'dah,Ul'dah,Alchemy,Eustace
A Jawbreaking Weapon of Staggering Weight,5,Ul'dah,Ul'dah,Alchemy,Eustace
The Hexster Runoff,5,Western Thanalan,Scorpion Crossing,Alchemy,Graceful Song
Gotta Bounce,5,Western Thanalan,Scorpion Crossing,Alchemy,Graceful Song
Don't Be So Tallow,5,Western Thanalan,Scorpion Crossing,Alchemy,Graceful Song
Wand-full Tonight,10,Ul'dah,Ul'dah,Alchemy,Eustace
Morning Glass of Ether,10,Ul'dah,Ul'dah,Alchemy,Eustace
Using Your Arcane Powers for Fun and Profit,10,Ul'dah,Ul'dah,Alchemy,Eustace
Unbreak My Heart,10,Western Thanalan,Horizon,Alchemy,Totonowa
"You Grow, Girl",10,Western Thanalan,Horizon,Alchemy,Totonowa
One for the Road,10,Western Thanalan,Horizon,Alchemy,Totonowa
Shut Up and Take My Gil,15,Ul'dah,Ul'dah,Alchemy,Eustace
Book and a Hard Place,15,Ul'dah,Ul'dah,Alchemy,Eustace
Kiss of Life,15,Ul'dah,Ul'dah,Alchemy,Eustace
Devil Take the Foremost,15,Eastern Thanalan,Camp Drybone,Alchemy,Poponagu
Sanity Points,15,Eastern Thanalan,Camp Drybone,Alchemy,Poponagu
There's Something about Bury,15,Eastern Thanalan,Camp Drybone,Alchemy,Poponagu
Everything Is Impossible,20,Ul'dah,Ul'dah,Alchemy,Eustace
Don't Forget to Take Your Meds,20,Ul'dah,Ul'dah,Alchemy,Eustace
The Writing Is Not on the Wall,20,Ul'dah,Ul'dah,Alchemy,Eustace
Dripping with Venom,20,South Shroud,Quarrymill,Alchemy,Nyell
Hush Little Wailer,20,South Shroud,Quarrymill,Alchemy,Nyell
Blind Man's Bluff,20,South Shroud,Quarrymill,Alchemy,Nyell
Automata for the People,25,Ul'dah,Ul'dah,Alchemy,Eustace
Sophomore Slump,25,Ul'dah,Ul'dah,Alchemy,Eustace
Glazed and Confused,25,Ul'dah,Ul'dah,Alchemy,Eustace
You Put Your Left Hand In,25,South Shroud,Quarrymill,Alchemy,Nyell
Conspicuous Conjuration,25,South Shroud,Quarrymill,Alchemy,Nyell
The Wailers' First Law of Potion,25,South Shroud,Quarrymill,Alchemy,Nyell
Riches' Brew,30,Ul'dah,Ul'dah,Alchemy,Eustace
Stuck in the Moment,30,Ul'dah,Ul'dah,Alchemy,Eustace
Just Give Him a Serum,30,Ul'dah,Ul'dah,Alchemy,Eustace
Eye of the Beholder,30,Eastern La Noscea,Costa del Sol,Alchemy,Nahctahr
The Write Stuff,30,Eastern La Noscea,Costa del Sol,Alchemy,Nahctahr
Growing Is Knowing,30,Eastern La Noscea,Costa del Sol,Alchemy,Nahctahr
The House Always Wins,35,Ul'dah,Ul'dah,Alchemy,Eustace
Always have an Exit Plan,35,Ul'dah,Ul'dah,Alchemy,Eustace
Alive and Unwell,35,Ul'dah,Ul'dah,Alchemy,Eustace
Open Your Grimoire to Page 42,35,Coerthas Central Highlands,Observatorium,Alchemy,Cimeaurant
The Sting of Conscience,35,Coerthas Central Highlands,Observatorium,Alchemy,Cimeaurant
Going Nowhere Fast,35,Coerthas Central Highlands,Observatorium,Alchemy,Cimeaurant
A Bile Business,40,Ul'dah,Ul'dah,Alchemy,Eustace
Your Courtesy Wake-up Call,40,Ul'dah,Ul'dah,Alchemy,Eustace
A Patch-up Place,40,Ul'dah,Ul'dah,Alchemy,Eustace
No Accounting for Waste,40,Coerthas Central Highlands,Whitebrim Front,Alchemy,Voilinaut
