Level,Name
50,Coming to Ishgard
50,Taking in the Sights
50,The Better Half
50,Over the Wall
50,Work in Progress
50,The First and Foremost
50,From on High
50,Reconnaissance Lost
50,At the End of Our Hope
50,Knights Be Not Proud
50,Onwards and Upwards
50,An Indispensable Ally
50,Meeting the Neighbors
50,Sense of Urgency
50,Hope Springs Eternal
50,A Series of Unfortunate Events
50,A Reward Long in Coming
50,Divine Intervention
50,Disclosure
51,Flame General Affairs
51,In Search of Raubahn
51,Keeping the Flame Alive
51,To Siege or Not to Siege
51,Alphinaud's Way
51,In Search of Iceheart
51,From One Heretic to Another
51,Sounding Out the Amphitheatre
51,Camp of the Convictors
51,"Purple Flame, Purple Flame"
52,Where the Chocobos Roam
52,Worse than Dragons
52,The Trine Towers
52,Gifts for the Outcasts
52,The Nonmind
53,A Gnathic Deity
53,Breaking into Hives
53,Lord of the Hive
53,Mourn in Passing
53,Beyond the Clouds
54,Mountaintop Diplomacy
54,Moghan's Trial
54,Mogmug's Trial
54,Mogwin's Trial
54,Moglin's Judgment
54,Leaving Moghome
54,The Road to Zenith
54,Waiting for the Wind to Change
54,Heart of Ice
54,The Wyrm's Lair
54,"New Winds, Old Friends"
54,A General Summons
54,Awakening in Ul'dah
54,A Brave Resolution
55,Ready to Fly
55,Into the Aery
55,The Song Begins
56,Unrest in Ishgard
56,He Who Would Not Be Denied
56,Ill-weather Friends
56,The Spice of Life
56,Noble Indiscretions
56,A Child Apart
56,Bloodlines
57,Fire and Blood
57,A Knight's Calling
57,The Sins of Antiquity
57,In Search of the Soleil
57,Into the Blue
57,Familiar Faces
57,Devourer of Worlds
57,Black and the White
57,"Bolt, Chain, and Island"
57,A Difference of Opinion
57,One Good Turn
57,An Engineering Enterprise
57,Aetherial Trail
57,Lost in the Lifestream
57,Tataru's Surprise
57,Onward to Sharlayan
58,A Great New Nation
58,Golems Begone
58,An Illuminati Incident
58,Leaving Idyllshire
59,Matoya's Cave
59,Forbidden Knowledge
59,An Eye for Aether
59,Hour of Departure
59,The First Flight of the Excelsior
59,Systematic Exploration
59,In Node We Trust
59,Chimerical Maintenance
59,Close Encounters of the VIth Kind
59,Fetters of Lament
60,Heavensward
