Level,Name
15,Sastasha
16,The Tam-Tara Deepcroft
17,Copperbell Mines
20,Halatali
24,The Thousand Maws of Toto-Rak
28,Haukke Manor
32,Brayflox's Longstop
35,The Sunken Temple of Qarn
38,Cutter's Cry
41,The Stone Vigil
44,Dzemael Darkhold
47,The Aurum Vale
50,The Wanderer's Palace
50,Amdapor Keep
50,Pharos Sirius
50,Copperbell Mines (Hard)
50,Haukke Manor (Hard)
50,The Lost City of Amdapor
50,Halatali (Hard)
50,Brayflox's Longstop (Hard)
50,Hullbreaker Isle
50,The Stone Vigil (Hard)
50,The Tam-Tara Deepcroft (Hard)
50,Snowcloak
50,Sastasha (Hard)
50,The Sunken Temple of Qarn (Hard)
50,The Keeper of the Lake
50,The Wanderer's Palace (Hard)
50,Amdapor Keep (Hard)
50,Castrum Meridianum
50,The Praetorium
51,The Dusk Vigil
53,Sohm Al
55,The Aery
57,The Vault
59,The Great Gubal Library
60,The Aetherochemical Research Facility
60,Neverreap
60,The Fractal Continuum
60,Saint Mocianne's Arboretum
60,Pharos Sirius (Hard)
60,The Antitower
60,The Lost City of Amdapor (Hard)
60,Sohr Khai
60,Hullbreaker Isle (Hard)
60,Xelphatol
60,The Great Gubal Library (Hard)
60,Baelsar's Wall
60,Sohm Al (Hard)
61,The Sirensong Sea
63,Shisui of the Violet Tides
65,Bardam's Mettle
67,Doma Castle
69,Castrum Abania
70,Ala Mhigo
70,Kugane Castle
70,The Temple of the Fist
70,The Drowned City of Skalla
70,Hells' Lid
70,The Fractal Continuum (Hard)
70,The Swallow's Compass
70,The Burn
70,Saint Mocianne's Arboretum (Hard)
70,The Ghimlyt Dark
71,Holminster Switch
73,Dohn Mheg
75,The Qitana Ravel
77,Malikah's Well
79,Mt. Gulg
80,Amaurot
80,The Twinning
80,Akadaemia Anyder
80,The Grand Cosmos
