Level,Name
50,The Binding Coil of Bahamut - Turn 1
50,The Binding Coil of Bahamut - Turn 2
50,The Binding Coil of Bahamut - Turn 3
50,The Binding Coil of Bahamut - Turn 4
50,The Binding Coil of Bahamut - Turn 5
50,The Second Coil of Bahamut - Turn 1
50,The Second Coil of Bahamut - Turn 2
50,The Second Coil of Bahamut - Turn 3
50,The Second Coil of Bahamut - Turn 4
50,The Final Coil of Bahamut - Turn 1
50,The Final Coil of Bahamut - Turn 2
50,The Final Coil of Bahamut - Turn 3
50,The Final Coil of Bahamut - Turn 4
50,The Second Coil of Bahamut - Turn 1 (Savage)
50,The Second Coil of Bahamut - Turn 2 (Savage)
50,The Second Coil of Bahamut - Turn 3 (Savage)
50,The Second Coil of Bahamut - Turn 4 (Savage)
60,Alexander - The Fist of the Father
60,Alexander - The Cuff of the Father
60,Alexander - The Arm of the Father
60,Alexander - The Burden of the Father
60,Alexander - The Fist of the Father (Savage)
60,Alexander - The Cuff of the Father (Savage)
60,Alexander - The Arm of the Father (Savage)
60,Alexander - The Burden of the Father (Savage)
60,Alexander - The Fist of the Son
60,Alexander - The Cuff of the Son
60,Alexander - The Arm of the Son
60,Alexander - The Burden of the Son
60,Alexander - The Fist of the Son (Savage)
60,Alexander - The Cuff of the Son (Savage)
60,Alexander - The Arm of the Son (Savage)
60,Alexander - The Burden of the Son (Savage)
60,Alexander - The Eyes of the Creator
60,Alexander - The Breath of the Creator
60,Alexander - The Heart of the Creator
60,Alexander - The Soul of the Creator
60,Alexander - The Eyes of the Creator (Savage)
60,Alexander - The Breath of the Creator (Savage)
60,Alexander - The Heart of the Creator (Savage)
60,Alexander - The Soul of the Creator (Savage)
70,Deltascape V1.0
70,Deltascape V2.0
70,Deltascape V3.0
70,Deltascape V4.0
70,Deltascape V1.0 (Savage)
70,Deltascape V2.0 (Savage)
70,Deltascape V3.0 (Savage)
70,Deltascape V4.0 (Savage)
70,The Unending Coil of Bahamut (Ultimate)
70,Sigmascape V1.0
70,Sigmascape V2.0
70,Sigmascape V3.0
70,Sigmascape V4.0
70,Sigmascape V1.0 (Savage)
70,Sigmascape V2.0 (Savage)
70,Sigmascape V3.0 (Savage)
70,Sigmascape V4.0 (Savage)
70,The Minstrel's Ballad: The Weapon's Refrain (Ultimate)
70,Alphascape V1.0
70,Alphascape V2.0
70,Alphascape V3.0
70,Alphascape V4.0
70,Alphascape V1.0 (Savage)
70,Alphascape V2.0 (Savage)
70,Alphascape V3.0 (Savage)
70,Alphascape V4.0 (Savage)
80,Eden's Gate - Resurrection
80,Eden's Gate - Descent
80,Eden's Gate - Inundation
80,Eden's Gate - Sepulture
80,Eden's Gate - Resurrection (Savage)
80,Eden's Gate - Descent (Savage)
80,Eden's Gate - Inundation (Savage)
80,Eden's Gate - Sepulture (Savage)
80,The Epic of Alexander (Ultimate)
50,Labyrinth of the Ancients
50,Syrcus Tower
50,The World of Darkness
60,The Void Ark
60,The Weeping City of Mhach
60,Dun Scaith
70,The Royal City of Rabanastre
70,The Ridorana Lighthouse
70,The Orbonne Monastery
80,The Copied Factory
