Level,Name
20,The Bowl of Embers
34,The Navel
44,The Howling Eye
49,Cape Westwind
50,The Chrysalis
50,The Steps of Faith
50,A Relic Reborn: The Chimera
50,A Relic Reborn: The Hydra
50,Battle on the Big Bridge
50,The Dragon's Neck
50,Battle in the Big Keep
50,The Bowl of Embers (Hard)
50,The Howling Eye (Hard)
50,The Navel (Hard)
50,Thornmarch (Hard)
50,The Whorleater (Hard)
50,The Striking Tree (Hard)
50,Akh Afah Amphitheatre (Hard)
50,Urth's Fount
50,The Minstrel's Ballad: Ultima's Bane
50,The Howling Eye (Extreme)
50,The Navel (Extreme)
50,The Bowl of Embers (Extreme)
50,Thornmarch (Extreme)
50,The Whorleater (Extreme)
50,The Striking Tree (Extreme)
50,Akh Afah Amphitheatre (Extreme)
53,Thok ast Thok (Hard)
57,The Limitless Blue (Hard)
60,The Singularity Reactor
60,The Final Steps of Faith
60,Containment Bay S1T7
60,Containment Bay P1T6
60,Containment Bay Z1T9
60,The Limitless Blue (Extreme)
60,Thok ast Thok (Extreme)
60,The Minstrel's Ballad: Thordan's Reign
60,The Minstrel's Ballad: Nidhogg's Rage
60,Containment Bay S1T7 (Extreme)
60,Containment Bay P1T6 (Extreme)
60,Containment Bay Z1T9 (Extreme)
63,The Pool of Tribute
67,Emanation
70,The Royal Menagerie
70,The Jade Stoa
70,Castrum Fluminis
70,The Great Hunt
70,Emanation (Extreme)
70,The Pool of Tribute (Extreme)
70,The Minstrel's Ballad: Shinryu's Domain
70,The Jade Stoa (Extreme)
70,The Minstrel's Ballad: Tsukuyomi's Pain
70,The Great Hunt (Extreme)
70,Hell's Kier
70,The Wreath of Snakes
70,Kugane Ohashi
70,Hell's Kier (Extreme)
70,The Wreath of Snakes (Extreme)
73,The Dancing Plague
79,The Crown of the Immaculate
80,The Dancing Plague (Extreme)
80,The Crown of the Immaculate (Extreme)
80,The Dying Gasp
80,The Minstrel's Ballad: Hades' Elegy
