Level,Name
50,A Recurring Problem
50,"Ifrit Bleeds, We Can Kill It"
50,In for Garuda Awakening
50,In a Titan Spot
50,Primal Nature
50,Gale-force Warning
50,Quake Me Up Before You O'Ghomoro
50,Ifrit Ain't Broke
50,To Tussle with Gods
50,Primal Focus
50,The King Lives
50,Whorl of a Time
50,Judgment Bolts and Lightning
50,Drop Dead Shiva
50,Fear and Odin in the Shroud
50,Primal Awakening
50,Alisaie's Pledge
50,Another Turn in the Coil
50,Alisaie's Resolve
50,Fragments of Truth
50,Alisaie's Path
50,Legacy of Allag
50,Sanding It Down
50,A Performance for the Ages
50,Labyrinth of the Ancients (Quest)
50,For Prosperity
50,Syrcus Tower (Quest)
50,The World of Darkness (Quest)
50,The Light of Hope
50,But I Hardly Noah
50,The Gift of the Archmagus
60,Disarmed
60,Steel and Steam
60,"Tinker, Seeker, Soldier, Spy"
60,The Pulsing Heart
60,Enigma
60,Rearmed
60,The Folly of Youth
60,Toppling the Tyrant
60,One Step Behind
60,A Gob in the Machine
60,The Coeurl and the Colossus
60,Biggs and Wedge's Excellent Adventure
60,Thus Spake Quickthinx
60,Judgment Day
60,Of Endings and Beginnings
60,Gods of Eld
60,When the Bough Wakes
60,The Fate of Stars
60,Balance unto All
60,The Last Pillar to Fall
60,The Diabolical Bismarck
60,Thok Around the Clock
60,A Fiendish Likeness
60,A Deific Simulacrum
60,A Demonic Duplicate
60,Sky Pirates
60,To Rule the Skies
60,The Weeping City
60,Freedom for Our Skies
60,Unidentified Flying Object
60,Where Shadows Reign
60,A Redbill Farewell
70,The Hunt for Omega
70,Into the Deltascape
70,A Catastrophe Waiting
70,The Croak Queen
70,A Void at All Costs
70,The Anomaly
70,Return to the Rift
70,No Slowing Down
70,An Unfinished Masterpiece
70,Won't Let You Pass
70,Test World of Ruin
70,"In the Beginning, There Was Chaos"
70,And Like Fire Was His Mane
70,"In the End, There is Omega"
70,To Kweh Under Distant Skies
70,Dramatis Personae
70,A City Fallen
70,Uninvited
70,"My Power, My Pleasure, My Pain"
70,Desire
70,Annihilation
70,The Path of Most Resistance
70,Welcome to Their Jungle
70,The City of Lost Angels
70,In Bad Taste
70,Wok on By
1,Makin' Bacon (Bread)
70,An Auspicious Encounter
70,Tortoise in Time
70,The Fire-bird Down Below
70,Surpassing the Samurai
70,The Fifth Lord
80,In the Middle of Nowhere
80,Deploy the Core
80,One Fell Swoop
80,Nor Any Drop to Drink
80,Super Seismic
80,The Next Piece of the Puzzle
70,Word about Komra
80,A Scandal in Komra
80,On the Threshold
80,An Academic Dispute
80,"Heads, I Win"
80,"Tails, You Lose"
