Level,Name
52,Some Bad News
52,Something's Bugging the Chocobos
52,Why Does the Caged Bird Sing
52,Saving the Bait
52,Clever Chicks
52,A Trap to Yawn For
52,Needs More Salt
52,Wet Strings Attached
52,Uninvited Guests
52,What Remaclon Saw
52,I Wanna Be the Hunter
52,A Natural Instinct
52,First Impressions
52,The Man Who Slew Too Much
52,A Budding Partnership
52,Persistence Makes Perfect
52,To Each His Own
52,Low-hanging Fruit
52,Freedom of Choice
52,Aggressive Pruning
52,Stolen Munitions
52,Feat of Clay
52,Natural Repellent
53,The Hunter Becomes the Kweh
53,Chocobo's Last Stand
53,Treason and Plot
53,Yellow Stones
53,Vindictive Vath Vendetta
53,A Curious Herb
53,Awakened
53,It's the Thought That Counts
53,Advanced Vathematics
53,Something Worth Protecting
53,Nipped in the Bud
53,How to Feed Your Dragon
53,Hungry for Seconds
53,A Taste of the Peculiar
53,A Lesson in Humility
53,Back in the Game
53,Where Dragons Lie
53,No Smoking Allowed
53,Like Gnaths to a Flame
53,Fit to Be Tied
53,Blunders in Dragonsitting
53,When Mother Calls
53,A Dragon and His Boy
53,Between Friends and Family
53,The Heart of a Dragon
53,Let Bygones Be Bygones
57,Smarter Than the Average Beast
57,Getting a Legtrap Up
57,Pest Control
57,A Step in the Right Direction
57,Garbage Duty
57,A Hunter's True Nature
57,Smells Like Team Spirit
57,The Best Defense
57,From the Jaws of Hunger
54,The Bathing Bully
54,A Show of Devotion
54,A Dream Blooms
54,Road Kill
54,Nut Job
54,Who's Got the Baskets
54,Where Dragons Tread
54,Something Needs to Change
54,My Friend the Enabler
54,Pom-Pom Panic
54,Hide Your Moogles
54,The Unceasing Gardener
54,Waiting to Inhale
54,A Pebble for Your Thoughts
54,Spineless Wadjets
54,Far from Home
54,A Nutty Initiation
55,I Won't Leaf You Behind
55,Something in the Water
55,Moogles' Marvelous Medicine
55,Worried Sick
55,A Secret from Everyone
55,Mallow in Sadness
55,An Immaculate Home
55,Just Another Bug Hunt
55,Wyvern Let Die
55,Root Maneuvers
55,Back to Baskets
55,If Living Is Without Nuts
55,The Nest Episode
55,There Will Be Blades
55,No Country for Young Moogles
55,The Mog Squad Assembles
55,Branching Out
55,What Learning Entails
55,A Rocky Start
55,Walking the Walk
55,Seedy Business
55,The Sins of our Landlords
55,Unwanted Attention
55,Walking on Eggshells
55,"It's Not a Bug, It's a Creature"
55,A Frightening Field Trip
55,Give Back My Precious
55,Protecting the Pom
55,Save the Pomguard
55,An Urgent Message
55,An Uneasy Feeling
55,A Moogle's Intuition
55,Trouble at Zenith
56,Respecting the Sheave
56,Spring Cleaning
56,No Nests Allowed
56,Bitter is the Night
56,Cleaning House
56,Finders Keepers
56,These Things Take Time
56,An Unwelcome Surprise
56,A Meter Too Far
56,Thar Be Dragons
56,Laying the First Brick
59,Classic Misdirection
59,A Moogle by Any Other Name
58,Louder than Words
58,A Bum Rap
58,Feltsmox Needs Bait
58,Feltsmox's Reel Problems
58,Feltsmox Can't Bear It
58,Feltsmox Tackles the Morbols
58,A Slimier Stymier
58,Mission Unpossible
58,What the Boat Brought In
58,Over My Dead Gobbie
58,Uncoordinated Defense
58,The Missing Logbook
60,An Overgrown Ambition
59,Saro Roggo's Common Life
59,A Straightforward Fancy
59,A Statuesque Interest
59,A Self-possessed Pastime
59,The Magic Word
59,Have I Toad You Lately
1,"Fiery Wings, Fiery Hearts"
58,Stop Bugging Me
58,Community Service
58,Cry Havoc
58,Sacking the Foe
58,Can You Hear Me Now
58,A New Leaf
58,Feltsmox Switches Bait
58,Ebb and Aetherflow
58,The Vangob Job
58,Many Hands Make Light Checkwork
58,Taking Stock
58,Watchcogs
58,The Pick of the Bunch
58,Administrative Difficulties
58,Red Tape
58,The Golden Rule
58,The New Arrivals
58,Notched Bone's Suspicions
58,Dedean's Doubts
58,Lean and Hungry Gentlemen
58,Private Investigations
58,Ancient Goblin Secrets
58,Cityfriends
59,Top Marks
60,A Striking Opportunity
60,Let Me Gubal That for You
60,Keeping Up with the Aliapohs
60,Arms Wide Open
60,The Fires of Sohm Al
66,Between a Rock and the Hard Place
66,"He Ain't Piggy, He's My Brother"
