Level,Name
70,A New Amano
70,A Costly Meal
70,By Way of Reparation
70,The Key Ingredient
70,The Path to Popularity
70,Painting for Praise
70,Gifts to Gladden
70,The Dependable Darling
70,A New Favorite
70,A Gift in Advance
70,A Hairy Request
70,A Lawful Trade
70,A Leafman and a Hero
70,A Rosy Problem
70,A Stranger Fuath
70,A Tale of a Tail
70,An Artist's Tale
70,An Eggshell a Day
70,Are You Being Served
70,Bewitched Books
70,Counting Pixies
70,Delightful Decorations
70,Duplicity in the Depths
70,Flowers of Fury
70,Growing Pla Enni
70,Help My Porxie
70,Hide and Seek
70,In His Mistress's Memory
70,In His Mistress's Name
70,Lurkers in the Lake
70,"Magic is Love, Magic is Life"
70,Marks of the Monarch
70,Much Ado About Giving
70,Not All Pixies
70,One Good Trick Deserves Another
70,Pushy for Patronage
70,Revolting Refreshments
70,Scents of Security
70,The Forbidden Lran
70,When Beaver's Cry
70,And Then There Were None
70,The Mushroom Menace
70,What's in a Name
