Discipline,Level,Name
Bard,30,A Song of Bards and Bowmen
Bard,30,Plucking the Heartstrings
Bard,35,The Archer's Anthem
Bard,40,Bard's-eye View
Bard,45,Doing It the Bard Way
Bard,45,Pieces of the Past
Bard,50,Requiem for the Fallen
Bard,50,A Relic Reborn (Artemis Bow)
Bard,50,On the Road Again
Bard,52,The Stiff and the Spent
Bard,54,Requiem on Ice
Bard,56,When Gnaths Cry
Bard,58,A Saint of Song
Bard,60,The Ballad of Oblivion
Bard,60,Three's a Company
Bard,63,Masked Motives
Bard,65,One Autumn's Secret
Bard,68,Sleeping Truths Lie
Bard,70,Sweet Dreams Are Made of Peace
Bard,80,A Harmony from the Heavens
Dancer,60,Shall We Dance
Dancer,60,Gamboling for Gil
Dancer,63,A Soirée in the Sultanate
Dancer,65,Dances with Duskwights
Dancer,68,High-steppin' in the Holy See
Dancer,70,Save the Last Dance for Me
Dancer,80,Rising to the Occasion
Dark Knight,50,Our End
Dark Knight,30,Ishgardian Justice
Dark Knight,35,The Voice in the Abyss
Dark Knight,40,Heroic Reprise
Dark Knight,45,Declaration of Blood
Dark Knight,50,Our Answer
Dark Knight,50,The Wages of Mercy
Dark Knight,52,The Knight and the Maiden Fair
Dark Knight,54,Kindred Spirits
Dark Knight,56,Original Sins
Dark Knight,58,The Flame in the Abyss
Dark Knight,60,Absolution
Dark Knight,60,In Memories We Walked
Dark Knight,63,The Widow and Her Love
Dark Knight,65,The Orphans and the Broken Blade
Dark Knight,68,We Can Never Go Home
Dark Knight,70,Our Compromise
Dark Knight,80,Our Closure
Dragoon,30,Eye of the Dragon
Dragoon,35,Lance of Fury
Dragoon,40,Unfading Skies
Dragoon,45,Double Dragoon
Dragoon,45,Fatal Seduction
Dragoon,50,Into the Dragon's Maw
Dragoon,50,A Relic Reborn (Gae Bolg)
Dragoon,50,Sky's the Limit
Dragoon,52,Days of Azure
Dragoon,52,Heart of Justice
Dragoon,54,Sworn Upon a Lance
Dragoon,56,Dragoon's Errand
Dragoon,58,Sanguine Dragoon
Dragoon,60,Dragoon's Fate
Dragoon,60,Friends through Eternity
Dragoon,63,Drowsy Dragons
Dragoon,65,Serpent and the Sea of Rubies
Dragoon,68,Dark as the Night Sky
Dragoon,70,Dragon Sound
Dragoon,80,Gone but Not Forgiven
Gunbreaker,60,The Makings of a Gunbreaker
Gunbreaker,60,Hired Gunblades
Gunbreaker,63,For Better or Worse
Gunbreaker,65,Confessions of a Flaming Mongrel
Gunbreaker,68,Of Defectors and Defenders
Gunbreaker,70,Steel against Steel
Gunbreaker,80,Gunblades of the Patriots
Machinist,50,Savior of Skysteel
Machinist,30,Master of Marksmanship
Machinist,35,Always the Last Place You Look
Machinist,40,Rook Before You Reap
Machinist,40,Securing the Locks
Machinist,45,A Suppressive Strategy
Machinist,45,Blood on the Sands
Machinist,50,Rage against the Machinists
Machinist,50,The Power of a Tourney
