Level,Name
70,Classical Condition
70,Stock and Barrel
70,Desperate Measures
70,His Secret Shame
70,A Much-needed Respite
70,Resolve Regained
70,On Her Own
70,Carrying On
70,In Father's Footsteps
70,Her True Calling
70,Flowering Friendships
70,All That Heavenly Glory
70,An Unreasonable Request
70,You've Got the Tatch
70,Beers for Fears
70,Bigger Fish to Dry
70,Imperative Repairs
70,Inglorious Bath Stewards
70,Lofty Goals
70,Loot Justice Mode
70,Of Graveyards and Gremlins
70,Rite of Passage
70,Scrumptious Squirmers
70,Simple Treasures
70,The Astute Amaro
70,The Sullen Man
70,Treasure Hunting Tykes
70,With Furious Anger
70,You Had One Jobb
70,A Cry for Help
70,A Dirty Trick
70,A Fitting Challenge
70,A Jobb Well Done
70,Scars of War
70,Do You Believe in Magic
70,From a Distance
70,His Own Medicine
70,Nuts to You
70,"Made, Not Born"
70,Rate and Review
70,Pour One Out
70,Simple Gifts
70,The Poet Doesn't Know It
70,Welcome to the Future
73,Two Nuts Too Nutty
76,How Do You Like Three Nuts
80,Too Many Nutters
80,By the Time You Hear This
