Level,Name
1,A Legend for a Legend
1,Simply to Dye For
15,A Self-improving Man
15,Submission Impossible
44,Crazy about Crystals
44,Passing the Smell Test
45,Leves of Saint Coinach's Find
45,Problem with Plasma
45,Dirt and Ashes
45,The Sons Also Rise
45,Playing the Postman
45,Hit the Hippogryphs
45,Straight Outta Abalathia
45,Moon Sliver and Me
45,Holier than Thou
45,Dropping Out
45,The Organ of Choice
45,The Trickster of the Toll
45,Heart of Cermet
50,Magiteknical Difficulties
50,Morbid Motivation
50,Maniac Manor
50,"Out of Sight, Out of Mine"
50,This Time's for Fun
50,Curds and Slay
50,Just Tooling Around
50,Blood for Stone
50,King of the Hull
50,It's Definitely Pirates
50,The Wrath of Qarn
50,For Keep's Sake
50,Not Easy Being Green
55,Beloved of the Builder
56,No Longer a Collectable
60,"Go West, Craftsman"
70,Recall of Duty
70,Take with a Tonze of Salt
