Level,Name
50,The Rise and Fall of Gentlemen
50,Back in the Saddle
50,After Her Own Heart
50,The Immaculate Deception
50,The Science of Deduction
50,The Hammer
50,Manderville Men
50,The Three Collectors
50,The Business of Betrothal
50,A Burst of Inspiration
50,Seeds of Rebellion
50,A Case of Indecency
50,Eight-armed and Dangerous
50,What Price Victory
50,The Trouble with Truffles
50,The Coliseum Conundrum
50,Shades of Sil'dih
50,Sibling Strife
50,Beneath the Mask
50,Truths Untold
50,Her Last Vow
60,"A Gentleman Falls, Rather than Flies"
60,Don't Call It a Comeback
60,The Gigi Situation
60,The Measure of a Mammet
60,A Gazebo to Call Our Own
60,Don't Trust Anyone over Sixty
60,The Proud and the Pointy-eyed
60,If I Could Turn Back Time
70,A Hingan Tale: Nashu Goes East
70,Life Imitates Art Imitates Life
70,Of Wolves and Gentlemen
70,In the Eye of the Hingan
70,The Blade Mislaid
70,The Black Heart Beneath
70,"Good Swords, Good Dogs"
70,The Past Is Never Past
70,Don't Do the Dewprism
56,Keeping the Ledger
60,Contradicting Convictions
60,The Benefits of Consultation
60,Balancing the Spear
60,More than Meets Her Eye
60,Divine Reckoning
60,Through the Grapevine
60,A Familial Resemblance
60,Finding Ulaa
60,The Student Body's Revenge
60,The Whipping Boy
60,Letters from No One
60,The Life and Lies of Father Saturnois
60,The Paths We Walk
60,The Oaths We Swear
60,The Legacies We Leave
60,The Triumphs We Share
60,The Burdens We Bear
50,The Ultimate Ballad
50,Sing Me Another Song
60,Thordan's Reign
60,Nidhogg's Rage
60,A Song of Steam and Steel
60,A Refrain for the Undaunted
60,"Who Lives, Who Dies, Who Retells Your Story"
70,And We Shall Call It Eureka
70,And We Shall Call It Pyros
70,And We Shall Call It Pagos
70,And We Shall Call It Hydatos
50,Of Errant Epistles
50,A Debt Unpaid
50,Carline Memories
50,Dream On
50,Spirits Most Foul
50,Dubious Dancing
50,Stroking the Haft
50,Thwack-a-Mole
50,"Sweet Words, Shadowy Dealings"
50,The Captain of Her Heart
50,Sudul Eht Nioj
50,Of Siblings and Side-whiskers
50,Death of a Mailman
50,All in the Family
50,Duel Personalities
50,Lone Survivor
50,"Guildmaster, Prelate, and Plot"
50,The Past Is a Story We Never Tell
50,Thanks For Your Support
50,Hostages to Fortune
50,A Qiqirn Always Pays His Debts
50,The Hazy Professor
50,Blues on Emerald Avenue
50,Better Left Unfound
50,The Little Postmoogle that Could
54,Toll Booty
54,Li'l Rascals
54,Short Arms of the Law
70,Precious Reclamation
70,A Thousand and One Farewells
70,It Takes an Enclave
70,Doman Reconstruction: Mitsuba
70,Doman Reconstruction: Kozakura
70,Doman Reconstruction: Tsuranuki
70,Doman Reconstruction: Araragi
70,Lighting the Way
80,One Final Journey
60,Towards the Firmament
