Level,Name
1,Coming to Ul'dah
1,Due Diligence
1,Motivational Speaking
1,Gil for Gold
1,Unholy Matrimony
1,The Great Gladiator
1,With Open Arms
1,No Lady Is an Island
2,"Decisions, Decisions"
2,Vox Populi
2,A Luxury Long Lost
2,The Wealth of Nations
3,Tougher than Leather
3,Beet-red Beetles Beat Red
3,In the Name of Science
4,Fantastic Voyage
4,Catch Your Breath
10,Leves of Horizon
14,"Help Me, Lord of the Dance"
15,In Could Happen to You
17,An Ill-conceived Venture (Ul'dah)
20,My Little Chocobo (Immortal Flames)
30,Gone to Pieces
38,Hold for Customer Support
38,Dishonor Before Death
38,A Tale of Three Cities
50,Corpse Groom
1,The Greatest Story Never Told
4,Nor Rain nor Heat nor Gloom of Night
5,A Dab'll Do Ya
5,Ticked Off
5,Where the Heart Is (The Goblet)
6,I Believe You Can Fly
6,Reasonable /Doubt
7,Greasing the Cogs
7,Getting Your Bearings
8,So Close Yet So Far
8,Tackle the Problem
9,Search and Seizure
10,Simply the Hest (Ul'dah)
10,By the Toe
10,For Their Eyes Only
11,The Scent of a Mongrel
11,No Tool Gets Left Behind
12,This Fishwife's Life
13,Lominsan Rubbish
13,Angling Ankle-biters
15,Color Your World
15,If I Had a Glamour
15,Absolutely Glamourous
17,Seeds of Change
20,Hallo Halatali
35,Braving New Depths
47,Going for Gold
50,The Weaponsmith of Legend
50,Trauma Queen
50,Ghosts of Amdapor
6,The Slaying of the Shrews
7,The Tasting of the Shrews
7,Listen to Your Fish
8,Bloodied and Bowed
9,In the Court of the Rat King
9,Sometimes the Old Ways Are Best
11,Need Not Apply in Person
12,Alternative Medicine
12,Fringe Benefits
19,Forging the Spirit
19,Waking the Spirit
19,Marvelously Mutable Materia
25,Melding Materia Muchly
15,World of Wonders
15,Triple Triad Trial
15,Scratch It Rich
15,Hitting the Cactpot
15,Passion for Fashion
15,Every Little Thing She Does Is Mahjong
15,So You Want to Be a Jockey
15,Like Sire Like Fledgling
15,Leves of Camp Drybone
17,A Dying Wish
17,The Circle of Life
17,Green Thumb
18,All Dogs Go to Hell
18,Buzzing at Church
18,Lichyard Lilies
18,Honoring the Dead
18,Dead Bodies Everywhere
19,Steaking Claims
19,Now Hiring
19,Impish Implications
19,There's Mythril in Them Thar Hills
19,Purging the Earth
24,Strawman Defense
24,"Buzz Off, Birds"
24,Hair Club for Hyur
25,Scholarly Funds
25,The Perils of Pilgrimage
25,Friendlier Skies
35,Plagued by Indecision
35,The Voyage of the Goobbue
35,Scent of Cinnamon
35,Mr. Slipshod and Ms. Uptight
35,Out of Whole Cloth
41,Tresses in Distress
41,D Is for Dead
25,Leves of Little Ala Mhigo
25,Bad Blood
25,Prickly Patients
25,Blast from the Past
27,Corpse Confrontation
27,What's Your Poison
27,Death from Above
31,Fetch the Freshman
31,Survey Says
31,Tools of Office
31,Minority Rapport
31,Heat of the Moment
31,The Eyes Have It
31,Mind Games
31,U Don't Know Me
47,What's It to U
47,Zombies Are People Too
47,U! Ow! That Stings
47,True U
70,For Wilred
70,Journey's Beginning
38,Thieves and Robbers
38,The Ceruleum Must Flow
40,Leves of Camp Bluefog
49,High Standards
49,Crate Expectations
49,Jumping on a Grenade
49,The Life of the Party
49,An Eye for Elixirs
46,Primal Fear
47,A Kobold Initiative
47,Can't Do It without U
48,Into the Valley of the Skull
